Number of processors:	16
Transmitters per processor:	5
Processes per node:	4
TIME:1350525028.95034003:	Read input data	8.87064900 sec
Spawning 16 workers to process 80 transmitters ...
TIME:1350525036.38513899:	Dynamic process spawning	7.43476800 sec
TIME:1350525078.61618304:	Common data distribution	42.23058200 sec
TIME:1350525078.61640310:	Transmitter data send (0)	0.00000700 sec
TIME:1350525078.61663103:	Transmitter data send (1)	0.00000400 sec
TIME:1350525078.61664701:	Transmitter data send (2)	0.00000500 sec
TIME:1350525078.61668491:	Transmitter data send (3)	0.00003000 sec
TIME:1350525078.61669993:	Transmitter data send (8)	0.00000500 sec
TIME:1350525078.61671996:	Transmitter data send (11)	0.00000500 sec
TIME:1350525078.61676908:	Transmitter data send (6)	0.00001200 sec
TIME:1350525078.61678290:	Transmitter data send (4)	0.00000400 sec
TIME:1350525078.61679506:	Transmitter data send (5)	0.00000400 sec
TIME:1350525078.61680698:	Transmitter data send (7)	0.00000400 sec
TIME:1350525078.61682701:	Transmitter data send (9)	0.00000500 sec
TIME:1350525078.61683893:	Transmitter data send (10)	0.00000500 sec
TIME:1350525078.61685205:	Transmitter data send (12)	0.00000400 sec
TIME:1350525078.61686492:	Transmitter data send (13)	0.00000400 sec
TIME:1350525078.61687708:	Transmitter data send (14)	0.00000400 sec
TIME:1350525078.61688900:	Transmitter data send (15)	0.00000400 sec
TIME:1350525087.88371801:	Calculation and result dump (9)	9.26688700 sec
TIME:1350525087.88373399:	Transmitter data send (9)	0.00000600 sec
TIME:1350525087.90924692:	Calculation and result dump (0)	9.29283600 sec
TIME:1350525087.90926003:	Transmitter data send (0)	0.00000400 sec
TIME:1350525088.71089292:	Calculation and result dump (14)	10.09401100 sec
TIME:1350525088.71090603:	Transmitter data send (14)	0.00000400 sec
TIME:1350525088.72117305:	Calculation and result dump (8)	10.10446900 sec
TIME:1350525088.72118592:	Transmitter data send (8)	0.00000400 sec
TIME:1350525088.72592497:	Calculation and result dump (11)	10.10920100 sec
TIME:1350525088.72593808:	Transmitter data send (11)	0.00000400 sec
TIME:1350525088.72980690:	Calculation and result dump (6)	10.11303300 sec
TIME:1350525088.72982001:	Transmitter data send (6)	0.00000400 sec
TIME:1350525088.74194598:	Calculation and result dump (15)	10.12505300 sec
TIME:1350525088.74195910:	Transmitter data send (15)	0.00000400 sec
TIME:1350525088.76154995:	Calculation and result dump (7)	10.14473100 sec
TIME:1350525088.76156306:	Transmitter data send (7)	0.00000400 sec
TIME:1350525088.76926208:	Calculation and result dump (5)	10.15246300 sec
TIME:1350525088.76927495:	Transmitter data send (5)	0.00000400 sec
TIME:1350525088.77475309:	Calculation and result dump (4)	10.15796500 sec
TIME:1350525088.77476597:	Transmitter data send (4)	0.00000500 sec
TIME:1350525089.03030396:	Calculation and result dump (13)	10.41343500 sec
TIME:1350525089.03031707:	Transmitter data send (13)	0.00000400 sec
TIME:1350525089.04880905:	Calculation and result dump (3)	10.43211900 sec
TIME:1350525089.04882193:	Transmitter data send (3)	0.00000400 sec
TIME:1350525089.54526806:	Calculation and result dump (1)	10.92863100 sec
TIME:1350525089.54528189:	Transmitter data send (1)	0.00000500 sec
TIME:1350525089.55197191:	Calculation and result dump (10)	10.93512900 sec
TIME:1350525089.55198503:	Transmitter data send (10)	0.00000400 sec
TIME:1350525089.55916405:	Calculation and result dump (2)	10.94251300 sec
TIME:1350525089.55917692:	Transmitter data send (2)	0.00000500 sec
TIME:1350525089.57573295:	Calculation and result dump (12)	10.95887700 sec
TIME:1350525089.57574701:	Transmitter data send (12)	0.00000500 sec
TIME:1350525096.03438902:	Calculation and result dump (9)	8.15065100 sec
TIME:1350525096.03440309:	Transmitter data send (9)	0.00000500 sec
TIME:1350525096.09388399:	Calculation and result dump (0)	8.18462000 sec
TIME:1350525096.09389710:	Transmitter data send (0)	0.00000500 sec
TIME:1350525096.57934308:	Calculation and result dump (11)	7.85340100 sec
TIME:1350525096.57935596:	Transmitter data send (11)	0.00000400 sec
TIME:1350525096.92731094:	Calculation and result dump (14)	8.21640000 sec
TIME:1350525096.92732406:	Transmitter data send (14)	0.00000400 sec
TIME:1350525096.94845390:	Calculation and result dump (8)	8.22726400 sec
TIME:1350525096.94846606:	Transmitter data send (8)	0.00000400 sec
TIME:1350525096.97165394:	Calculation and result dump (6)	8.24183000 sec
TIME:1350525096.97166610:	Transmitter data send (6)	0.00000400 sec
TIME:1350525096.99807811:	Calculation and result dump (5)	8.22879900 sec
TIME:1350525096.99809098:	Transmitter data send (5)	0.00000400 sec
TIME:1350525097.00700498:	Calculation and result dump (15)	8.26504200 sec
TIME:1350525097.00701809:	Transmitter data send (15)	0.00000500 sec
TIME:1350525097.01375794:	Calculation and result dump (7)	8.25219100 sec
TIME:1350525097.01377010:	Transmitter data send (7)	0.00000400 sec
TIME:1350525097.01838207:	Calculation and result dump (4)	8.24361200 sec
TIME:1350525097.01839399:	Transmitter data send (4)	0.00000300 sec
TIME:1350525097.24174404:	Calculation and result dump (13)	8.21142300 sec
TIME:1350525097.24175596:	Transmitter data send (13)	0.00000400 sec
TIME:1350525097.27074790:	Calculation and result dump (3)	8.22192200 sec
TIME:1350525097.27076006:	Transmitter data send (3)	0.00000400 sec
TIME:1350525097.41050601:	Calculation and result dump (2)	7.85132500 sec
TIME:1350525097.41051888:	Transmitter data send (2)	0.00000400 sec
TIME:1350525097.76868296:	Calculation and result dump (1)	8.22339700 sec
TIME:1350525097.76869607:	Transmitter data send (1)	0.00000400 sec
TIME:1350525097.77782202:	Calculation and result dump (10)	8.22583200 sec
TIME:1350525097.77783394:	Transmitter data send (10)	0.00000400 sec
TIME:1350525097.80459189:	Calculation and result dump (12)	8.22884100 sec
TIME:1350525097.80460501:	Transmitter data send (12)	0.00000400 sec
TIME:1350525104.20780396:	Calculation and result dump (9)	8.17339700 sec
TIME:1350525104.20781803:	Transmitter data send (9)	0.00000500 sec
TIME:1350525104.29946709:	Calculation and result dump (0)	8.20556600 sec
TIME:1350525104.29947996:	Transmitter data send (0)	0.00000400 sec
TIME:1350525104.79535294:	Calculation and result dump (11)	8.21599300 sec
TIME:1350525104.79536605:	Transmitter data send (11)	0.00000500 sec
TIME:1350525104.86709690:	Calculation and result dump (7)	7.85332300 sec
TIME:1350525104.86710906:	Transmitter data send (7)	0.00000400 sec
TIME:1350525105.15976310:	Calculation and result dump (14)	8.23243500 sec
TIME:1350525105.15977597:	Transmitter data send (14)	0.00000500 sec
TIME:1350525105.17920494:	Calculation and result dump (8)	8.23073500 sec
TIME:1350525105.17921805:	Transmitter data send (8)	0.00000500 sec
TIME:1350525105.21364594:	Calculation and result dump (6)	8.24197600 sec
TIME:1350525105.21365905:	Transmitter data send (6)	0.00000400 sec
TIME:1350525105.22496510:	Calculation and result dump (5)	8.22687000 sec
TIME:1350525105.22497797:	Transmitter data send (5)	0.00000500 sec
TIME:1350525105.24437594:	Calculation and result dump (15)	8.23735400 sec
TIME:1350525105.24439001:	Transmitter data send (15)	0.00000500 sec
TIME:1350525105.25571203:	Calculation and result dump (4)	8.23731400 sec
TIME:1350525105.25572491:	Transmitter data send (4)	0.00000400 sec
TIME:1350525105.47171402:	Calculation and result dump (13)	8.22995400 sec
TIME:1350525105.47172689:	Transmitter data send (13)	0.00000500 sec
TIME:1350525105.51137495:	Calculation and result dump (3)	8.24061100 sec
TIME:1350525105.51138806:	Transmitter data send (3)	0.00000400 sec
TIME:1350525105.62545705:	Calculation and result dump (2)	8.21493400 sec
TIME:1350525105.62546992:	Transmitter data send (2)	0.00000400 sec
TIME:1350525106.00253010:	Calculation and result dump (1)	8.23383000 sec
TIME:1350525106.00254297:	Transmitter data send (1)	0.00000400 sec
TIME:1350525106.00520110:	Calculation and result dump (10)	8.22736300 sec
TIME:1350525106.00521302:	Transmitter data send (10)	0.00000400 sec
TIME:1350525106.03159904:	Calculation and result dump (12)	8.22699000 sec
TIME:1350525106.03161097:	Transmitter data send (12)	0.00000400 sec
TIME:1350525112.35507298:	Calculation and result dump (9)	8.14725100 sec
TIME:1350525112.35508704:	Transmitter data send (9)	0.00000400 sec
TIME:1350525112.48158598:	Calculation and result dump (0)	8.18210200 sec
TIME:1350525112.48159909:	Transmitter data send (0)	0.00000400 sec
TIME:1350525112.64782095:	Calculation and result dump (11)	7.85245100 sec
TIME:1350525112.64783406:	Transmitter data send (11)	0.00000400 sec
TIME:1350525113.09215593:	Calculation and result dump (7)	8.22504300 sec
TIME:1350525113.09216809:	Transmitter data send (7)	0.00000400 sec
TIME:1350525113.40073490:	Calculation and result dump (14)	8.24095500 sec
TIME:1350525113.40074706:	Transmitter data send (14)	0.00000400 sec
TIME:1350525113.44407701:	Calculation and result dump (8)	8.26485500 sec
TIME:1350525113.44408989:	Transmitter data send (8)	0.00000400 sec
TIME:1350525113.45411611:	Calculation and result dump (6)	8.24045300 sec
TIME:1350525113.45412803:	Transmitter data send (6)	0.00000400 sec
TIME:1350525113.46132493:	Calculation and result dump (5)	8.23634300 sec
TIME:1350525113.46133804:	Transmitter data send (5)	0.00000400 sec
TIME:1350525113.47149992:	Calculation and result dump (2)	7.84602500 sec
TIME:1350525113.47151208:	Transmitter data send (2)	0.00000400 sec
TIME:1350525113.48328900:	Calculation and result dump (4)	8.22756000 sec
TIME:1350525113.48330092:	Transmitter data send (4)	0.00000400 sec
TIME:1350525113.48666811:	Calculation and result dump (15)	8.24227400 sec
TIME:1350525113.48668003:	Transmitter data send (15)	0.00000400 sec
TIME:1350525113.68259096:	Calculation and result dump (13)	8.21086000 sec
TIME:1350525113.68260407:	Transmitter data send (13)	0.00000400 sec
TIME:1350525113.72633910:	Calculation and result dump (3)	8.21494700 sec
TIME:1350525113.72635102:	Transmitter data send (3)	0.00000400 sec
TIME:1350525114.22482300:	Calculation and result dump (1)	8.22227500 sec
TIME:1350525114.22483492:	Transmitter data send (1)	0.00000400 sec
TIME:1350525114.24985290:	Calculation and result dump (10)	8.24463500 sec
TIME:1350525114.24986506:	Transmitter data send (10)	0.00000400 sec
TIME:1350525114.28765607:	Calculation and result dump (12)	8.25604000 sec
TIME:1350525114.28766799:	Transmitter data send (12)	0.00000300 sec
TIME:1350525120.50900888:	Calculation and result dump (9)	8.15391800 sec
TIME:1350525120.67696095:	Calculation and result dump (0)	8.19535700 sec
TIME:1350525120.84654808:	Calculation and result dump (11)	8.19871000 sec
TIME:1350525121.31604910:	Calculation and result dump (7)	8.22387700 sec
TIME:1350525121.32098389:	Calculation and result dump (6)	7.86685200 sec
TIME:1350525121.54628205:	Calculation and result dump (8)	8.10218800 sec
TIME:1350525121.61665201:	Calculation and result dump (14)	8.21590000 sec
TIME:1350525121.61836290:	Calculation and result dump (2)	8.14684600 sec
TIME:1350525121.66352296:	Calculation and result dump (5)	8.20218100 sec
TIME:1350525121.70705605:	Calculation and result dump (4)	8.22375000 sec
TIME:1350525121.72730088:	Calculation and result dump (15)	8.24061700 sec
TIME:1350525121.82503104:	Calculation and result dump (3)	8.09867600 sec
TIME:1350525121.89226007:	Calculation and result dump (13)	8.20965200 sec
TIME:1350525122.22124290:	Calculation and result dump (10)	7.97137400 sec
TIME:1350525122.25617409:	Calculation and result dump (1)	8.03133400 sec
TIME:1350525122.41434789:	Calculation and result dump (12)	8.12667500 sec
Process took 102 sec
