Number of processors:	2
Transmitters per processor:	40
Processes per node:	2
TIME:1350531838.60309601:	Read input data	8.86498400 sec
Spawning 2 workers to process 80 transmitters ...
TIME:1350531840.01385903:	Dynamic process spawning	1.41073200 sec
TIME:1350531858.74720097:	Common data distribution	18.73298600 sec
TIME:1350531858.74726510:	Transmitter data send (0)	0.00000600 sec
TIME:1350531858.74742603:	Transmitter data send (1)	0.00000400 sec
TIME:1350531866.71888399:	Calculation and result dump (0)	7.97161300 sec
TIME:1350531866.71889901:	Transmitter data send (0)	0.00000400 sec
TIME:1350531868.15604091:	Calculation and result dump (1)	9.40860900 sec
TIME:1350531868.15605497:	Transmitter data send (1)	0.00000500 sec
TIME:1350531873.75382590:	Calculation and result dump (0)	7.03492300 sec
TIME:1350531873.75383997:	Transmitter data send (0)	0.00000500 sec
TIME:1350531875.27041411:	Calculation and result dump (1)	7.11435500 sec
TIME:1350531875.27042699:	Transmitter data send (1)	0.00000400 sec
TIME:1350531880.77421594:	Calculation and result dump (0)	7.02037100 sec
TIME:1350531880.77423000:	Transmitter data send (0)	0.00000400 sec
TIME:1350531882.36867189:	Calculation and result dump (1)	7.09824000 sec
TIME:1350531882.36868596:	Transmitter data send (1)	0.00000500 sec
TIME:1350531887.78947711:	Calculation and result dump (0)	7.01524300 sec
TIME:1350531887.78949094:	Transmitter data send (0)	0.00000400 sec
TIME:1350531889.45255399:	Calculation and result dump (1)	7.08386400 sec
TIME:1350531889.45256591:	Transmitter data send (1)	0.00000400 sec
TIME:1350531894.80280089:	Calculation and result dump (0)	7.01330600 sec
TIME:1350531894.80281401:	Transmitter data send (0)	0.00000400 sec
TIME:1350531896.53362298:	Calculation and result dump (1)	7.08105300 sec
TIME:1350531896.53363705:	Transmitter data send (1)	0.00000500 sec
TIME:1350531901.50553298:	Calculation and result dump (0)	6.70271400 sec
TIME:1350531901.50554895:	Transmitter data send (0)	0.00000500 sec
TIME:1350531903.62550592:	Calculation and result dump (1)	7.09186500 sec
TIME:1350531903.62551904:	Transmitter data send (1)	0.00000400 sec
TIME:1350531908.54181194:	Calculation and result dump (0)	7.03625900 sec
TIME:1350531908.54182696:	Transmitter data send (0)	0.00000500 sec
TIME:1350531910.73209596:	Calculation and result dump (1)	7.10657300 sec
TIME:1350531910.73211002:	Transmitter data send (1)	0.00000500 sec
TIME:1350531915.56292105:	Calculation and result dump (0)	7.02109000 sec
TIME:1350531915.56293511:	Transmitter data send (0)	0.00000400 sec
TIME:1350531917.83210897:	Calculation and result dump (1)	7.09999500 sec
TIME:1350531917.83212304:	Transmitter data send (1)	0.00000400 sec
TIME:1350531922.58004498:	Calculation and result dump (0)	7.01710600 sec
TIME:1350531922.58005905:	Transmitter data send (0)	0.00000500 sec
TIME:1350531924.91878200:	Calculation and result dump (1)	7.08665500 sec
TIME:1350531924.91879511:	Transmitter data send (1)	0.00000400 sec
TIME:1350531929.59557891:	Calculation and result dump (0)	7.01551600 sec
TIME:1350531929.59559298:	Transmitter data send (0)	0.00000400 sec
TIME:1350531932.00374699:	Calculation and result dump (1)	7.08494800 sec
TIME:1350531932.00376010:	Transmitter data send (1)	0.00000400 sec
TIME:1350531936.29932809:	Calculation and result dump (0)	6.70373100 sec
TIME:1350531936.29934192:	Transmitter data send (0)	0.00000500 sec
TIME:1350531939.09779191:	Calculation and result dump (1)	7.09402800 sec
TIME:1350531939.09780598:	Transmitter data send (1)	0.00000500 sec
TIME:1350531943.33654690:	Calculation and result dump (0)	7.03720100 sec
TIME:1350531943.33656001:	Transmitter data send (0)	0.00000400 sec
TIME:1350531946.20722795:	Calculation and result dump (1)	7.10941800 sec
TIME:1350531946.20724106:	Transmitter data send (1)	0.00000400 sec
TIME:1350531950.35881495:	Calculation and result dump (0)	7.02225100 sec
TIME:1350531950.35882998:	Transmitter data send (0)	0.00000500 sec
TIME:1350531953.30948496:	Calculation and result dump (1)	7.10224000 sec
TIME:1350531953.30949903:	Transmitter data send (1)	0.00000500 sec
TIME:1350531957.37694407:	Calculation and result dump (0)	7.01811000 sec
TIME:1350531957.37695694:	Transmitter data send (0)	0.00000400 sec
TIME:1350531960.39837003:	Calculation and result dump (1)	7.08886700 sec
TIME:1350531960.39838409:	Transmitter data send (1)	0.00000400 sec
TIME:1350531964.39343691:	Calculation and result dump (0)	7.01647500 sec
TIME:1350531964.39345098:	Transmitter data send (0)	0.00000500 sec
TIME:1350531967.48558903:	Calculation and result dump (1)	7.08720100 sec
TIME:1350531967.48560309:	Transmitter data send (1)	0.00000500 sec
TIME:1350531971.09443688:	Calculation and result dump (0)	6.70098200 sec
TIME:1350531971.09445095:	Transmitter data send (0)	0.00000400 sec
TIME:1350531974.57918000:	Calculation and result dump (1)	7.09357300 sec
TIME:1350531974.57919312:	Transmitter data send (1)	0.00000400 sec
TIME:1350531978.13095188:	Calculation and result dump (0)	7.03649700 sec
TIME:1350531978.13096595:	Transmitter data send (0)	0.00000500 sec
TIME:1350531981.61432004:	Calculation and result dump (1)	7.03512300 sec
TIME:1350531981.61433411:	Transmitter data send (1)	0.00000500 sec
TIME:1350531985.15219498:	Calculation and result dump (0)	7.02122500 sec
TIME:1350531985.15221310:	Transmitter data send (0)	0.00000400 sec
TIME:1350531988.71439099:	Calculation and result dump (1)	7.10005300 sec
TIME:1350531988.71440506:	Transmitter data send (1)	0.00000500 sec
TIME:1350531992.16895795:	Calculation and result dump (0)	7.01674000 sec
TIME:1350531992.16897202:	Transmitter data send (0)	0.00000500 sec
TIME:1350531995.80128503:	Calculation and result dump (1)	7.08687600 sec
TIME:1350531995.80129910:	Transmitter data send (1)	0.00000500 sec
TIME:1350531999.18499088:	Calculation and result dump (0)	7.01601500 sec
TIME:1350531999.18500400:	Transmitter data send (0)	0.00000400 sec
TIME:1350532002.88523412:	Calculation and result dump (1)	7.08393100 sec
TIME:1350532002.88524795:	Transmitter data send (1)	0.00000500 sec
TIME:1350532005.88625407:	Calculation and result dump (0)	6.70124600 sec
TIME:1350532005.88626790:	Transmitter data send (0)	0.00000500 sec
TIME:1350532009.97674990:	Calculation and result dump (1)	7.09149800 sec
TIME:1350532009.97676396:	Transmitter data send (1)	0.00000500 sec
TIME:1350532012.92409611:	Calculation and result dump (0)	7.03782400 sec
TIME:1350532012.92410994:	Transmitter data send (0)	0.00000400 sec
TIME:1350532017.01146698:	Calculation and result dump (1)	7.03469900 sec
TIME:1350532017.01148105:	Transmitter data send (1)	0.00000500 sec
TIME:1350532019.94644809:	Calculation and result dump (0)	7.02233400 sec
TIME:1350532019.94646311:	Transmitter data send (0)	0.00000500 sec
TIME:1350532024.11125398:	Calculation and result dump (1)	7.09976900 sec
TIME:1350532024.11126709:	Transmitter data send (1)	0.00000400 sec
TIME:1350532026.96384192:	Calculation and result dump (0)	7.01737500 sec
TIME:1350532026.96385503:	Transmitter data send (0)	0.00000400 sec
TIME:1350532031.19764805:	Calculation and result dump (1)	7.08637700 sec
TIME:1350532031.19766212:	Transmitter data send (1)	0.00000500 sec
TIME:1350532033.97963405:	Calculation and result dump (0)	7.01577500 sec
TIME:1350532033.97964811:	Transmitter data send (0)	0.00000400 sec
TIME:1350532038.28159904:	Calculation and result dump (1)	7.08393300 sec
TIME:1350532038.28161192:	Transmitter data send (1)	0.00000400 sec
TIME:1350532040.68122911:	Calculation and result dump (0)	6.70157700 sec
TIME:1350532040.68124199:	Transmitter data send (0)	0.00000400 sec
TIME:1350532045.37257504:	Calculation and result dump (1)	7.09095900 sec
TIME:1350532045.37258911:	Transmitter data send (1)	0.00000500 sec
TIME:1350532047.71755409:	Calculation and result dump (0)	7.03630800 sec
TIME:1350532047.71756792:	Transmitter data send (0)	0.00000500 sec
TIME:1350532052.40585399:	Calculation and result dump (1)	7.03326100 sec
TIME:1350532052.40586710:	Transmitter data send (1)	0.00000400 sec
TIME:1350532054.73777199:	Calculation and result dump (0)	7.02020000 sec
TIME:1350532054.73778605:	Transmitter data send (0)	0.00000500 sec
TIME:1350532059.50520611:	Calculation and result dump (1)	7.09933500 sec
TIME:1350532059.50521994:	Transmitter data send (1)	0.00000500 sec
TIME:1350532061.75468612:	Calculation and result dump (0)	7.01689600 sec
TIME:1350532061.75469899:	Transmitter data send (0)	0.00000400 sec
TIME:1350532066.59134007:	Calculation and result dump (1)	7.08611600 sec
TIME:1350532066.59135294:	Transmitter data send (1)	0.00000400 sec
TIME:1350532068.76869297:	Calculation and result dump (0)	7.01399000 sec
TIME:1350532068.76870704:	Transmitter data send (0)	0.00000500 sec
TIME:1350532073.67396808:	Calculation and result dump (1)	7.08261100 sec
TIME:1350532073.67398190:	Transmitter data send (1)	0.00000500 sec
TIME:1350532075.47066092:	Calculation and result dump (0)	6.70195000 sec
