Number of processors:	2
Transmitters per processor:	80
Processes per node:	2
TIME:1350549540.17249489:	Read input data	9.01688800 sec
Spawning 2 workers to process 160 transmitters ...
TIME:1350549541.58260012:	Dynamic process spawning	1.41007600 sec
TIME:1350549560.32537103:	Common data distribution	18.74240500 sec
TIME:1350549560.32543397:	Transmitter data send (0)	0.00000600 sec
TIME:1350549560.32560396:	Transmitter data send (1)	0.00000400 sec
TIME:1350549568.30770707:	Calculation and result dump (0)	7.98226800 sec
TIME:1350549568.30772209:	Transmitter data send (0)	0.00000500 sec
TIME:1350549569.73353696:	Calculation and result dump (1)	9.40792700 sec
TIME:1350549569.73355103:	Transmitter data send (1)	0.00000500 sec
TIME:1350549575.35410810:	Calculation and result dump (0)	7.04638200 sec
TIME:1350549575.35412312:	Transmitter data send (0)	0.00000500 sec
TIME:1350549576.84537411:	Calculation and result dump (1)	7.11181900 sec
TIME:1350549576.84538794:	Transmitter data send (1)	0.00000400 sec
TIME:1350549582.38543510:	Calculation and result dump (0)	7.03130800 sec
TIME:1350549582.38544893:	Transmitter data send (0)	0.00000400 sec
TIME:1350549583.94077396:	Calculation and result dump (1)	7.09538200 sec
TIME:1350549583.94078708:	Transmitter data send (1)	0.00000400 sec
TIME:1350549589.41018391:	Calculation and result dump (0)	7.02473100 sec
TIME:1350549589.41019797:	Transmitter data send (0)	0.00000500 sec
TIME:1350549591.02593493:	Calculation and result dump (1)	7.08514300 sec
TIME:1350549591.02594805:	Transmitter data send (1)	0.00000400 sec
TIME:1350549596.43459010:	Calculation and result dump (0)	7.02438200 sec
TIME:1350549596.43460298:	Transmitter data send (0)	0.00000400 sec
TIME:1350549598.10997701:	Calculation and result dump (1)	7.08402500 sec
TIME:1350549598.10998988:	Transmitter data send (1)	0.00000500 sec
TIME:1350549603.14603806:	Calculation and result dump (0)	6.71143000 sec
TIME:1350549603.14605308:	Transmitter data send (0)	0.00000400 sec
TIME:1350549605.19795895:	Calculation and result dump (1)	7.08796500 sec
TIME:1350549605.19797206:	Transmitter data send (1)	0.00000400 sec
TIME:1350549610.19232988:	Calculation and result dump (0)	7.04627200 sec
TIME:1350549610.19234395:	Transmitter data send (0)	0.00000400 sec
TIME:1350549612.30875206:	Calculation and result dump (1)	7.11077600 sec
TIME:1350549612.30876589:	Transmitter data send (1)	0.00000500 sec
TIME:1350549617.22390389:	Calculation and result dump (0)	7.03155500 sec
TIME:1350549617.22391701:	Transmitter data send (0)	0.00000400 sec
TIME:1350549619.40427804:	Calculation and result dump (1)	7.09550800 sec
TIME:1350549619.40429091:	Transmitter data send (1)	0.00000400 sec
TIME:1350549624.25114012:	Calculation and result dump (0)	7.02721900 sec
TIME:1350549624.25115395:	Transmitter data send (0)	0.00000400 sec
TIME:1350549626.49059391:	Calculation and result dump (1)	7.08629900 sec
TIME:1350549626.49060798:	Transmitter data send (1)	0.00000500 sec
TIME:1350549631.27708197:	Calculation and result dump (0)	7.02592400 sec
TIME:1350549631.27709508:	Transmitter data send (0)	0.00000400 sec
TIME:1350549633.57510900:	Calculation and result dump (1)	7.08449700 sec
TIME:1350549633.57512212:	Transmitter data send (1)	0.00000400 sec
TIME:1350549637.98887300:	Calculation and result dump (0)	6.71177300 sec
TIME:1350549637.98888707:	Transmitter data send (0)	0.00000500 sec
TIME:1350549640.66497803:	Calculation and result dump (1)	7.08985200 sec
TIME:1350549640.66499209:	Transmitter data send (1)	0.00000500 sec
TIME:1350549645.03633189:	Calculation and result dump (0)	7.04744100 sec
TIME:1350549645.03634405:	Transmitter data send (0)	0.00000400 sec
TIME:1350549647.77806807:	Calculation and result dump (1)	7.11307200 sec
TIME:1350549647.77808094:	Transmitter data send (1)	0.00000400 sec
TIME:1350549652.06845307:	Calculation and result dump (0)	7.03210500 sec
TIME:1350549652.06846595:	Transmitter data send (0)	0.00000400 sec
TIME:1350549654.87525797:	Calculation and result dump (1)	7.09717300 sec
TIME:1350549654.87527108:	Transmitter data send (1)	0.00000400 sec
TIME:1350549659.09882092:	Calculation and result dump (0)	7.03035000 sec
TIME:1350549659.09883404:	Transmitter data send (0)	0.00000400 sec
TIME:1350549661.96632004:	Calculation and result dump (1)	7.09104400 sec
TIME:1350549661.96633410:	Transmitter data send (1)	0.00000400 sec
TIME:1350549666.12570500:	Calculation and result dump (0)	7.02686700 sec
TIME:1350549666.12571812:	Transmitter data send (0)	0.00000400 sec
TIME:1350549669.05363703:	Calculation and result dump (1)	7.08729900 sec
TIME:1350549669.05365109:	Transmitter data send (1)	0.00000500 sec
TIME:1350549672.83653092:	Calculation and result dump (0)	6.71080800 sec
TIME:1350549672.83654404:	Transmitter data send (0)	0.00000400 sec
TIME:1350549676.14330506:	Calculation and result dump (1)	7.08965000 sec
TIME:1350549676.14331794:	Transmitter data send (1)	0.00000400 sec
TIME:1350549679.88312197:	Calculation and result dump (0)	7.04657400 sec
TIME:1350549679.88313508:	Transmitter data send (0)	0.00000500 sec
TIME:1350549683.25083089:	Calculation and result dump (1)	7.10750900 sec
TIME:1350549683.25084496:	Transmitter data send (1)	0.00000400 sec
TIME:1350549686.91587806:	Calculation and result dump (0)	7.03273800 sec
TIME:1350549686.91589093:	Transmitter data send (0)	0.00000400 sec
TIME:1350549690.35004711:	Calculation and result dump (1)	7.09919700 sec
TIME:1350549690.35005999:	Transmitter data send (1)	0.00000400 sec
TIME:1350549693.94241309:	Calculation and result dump (0)	7.02651800 sec
TIME:1350549693.94242692:	Transmitter data send (0)	0.00000500 sec
TIME:1350549697.44130301:	Calculation and result dump (1)	7.09123900 sec
TIME:1350549697.44131708:	Transmitter data send (1)	0.00000400 sec
TIME:1350549700.96942806:	Calculation and result dump (0)	7.02699700 sec
TIME:1350549700.96944094:	Transmitter data send (0)	0.00000400 sec
TIME:1350549704.53063107:	Calculation and result dump (1)	7.08931000 sec
TIME:1350549704.53064394:	Transmitter data send (1)	0.00000400 sec
TIME:1350549707.67910910:	Calculation and result dump (0)	6.70966300 sec
TIME:1350549707.67912292:	Transmitter data send (0)	0.00000500 sec
TIME:1350549711.62363410:	Calculation and result dump (1)	7.09298600 sec
TIME:1350549711.62364793:	Transmitter data send (1)	0.00000500 sec
TIME:1350549714.72811007:	Calculation and result dump (0)	7.04898300 sec
TIME:1350549714.72812295:	Transmitter data send (0)	0.00000400 sec
TIME:1350549718.73035502:	Calculation and result dump (1)	7.10670300 sec
TIME:1350549718.73036909:	Transmitter data send (1)	0.00000400 sec
TIME:1350549721.76548600:	Calculation and result dump (0)	7.03735900 sec
TIME:1350549721.76550102:	Transmitter data send (0)	0.00000500 sec
TIME:1350549725.83074903:	Calculation and result dump (1)	7.10037600 sec
TIME:1350549725.83076191:	Transmitter data send (1)	0.00000400 sec
TIME:1350549728.79511404:	Calculation and result dump (0)	7.02960900 sec
TIME:1350549728.79512596:	Transmitter data send (0)	0.00000400 sec
TIME:1350549732.92049003:	Calculation and result dump (1)	7.08972400 sec
TIME:1350549732.92050409:	Transmitter data send (1)	0.00000500 sec
TIME:1350549735.82276893:	Calculation and result dump (0)	7.02763800 sec
TIME:1350549735.82278299:	Transmitter data send (0)	0.00000500 sec
TIME:1350549740.00951195:	Calculation and result dump (1)	7.08900400 sec
TIME:1350549740.00952506:	Transmitter data send (1)	0.00000400 sec
TIME:1350549742.53454494:	Calculation and result dump (0)	6.71175800 sec
TIME:1350549742.53455901:	Transmitter data send (0)	0.00000400 sec
TIME:1350549747.10117793:	Calculation and result dump (1)	7.09164900 sec
TIME:1350549747.10119200:	Transmitter data send (1)	0.00000500 sec
TIME:1350549749.58286691:	Calculation and result dump (0)	7.04830400 sec
TIME:1350549749.58288002:	Transmitter data send (0)	0.00000400 sec
TIME:1350549754.20697308:	Calculation and result dump (1)	7.10577700 sec
TIME:1350549754.20698595:	Transmitter data send (1)	0.00000400 sec
TIME:1350549756.61693192:	Calculation and result dump (0)	7.03404800 sec
TIME:1350549756.61694598:	Transmitter data send (0)	0.00000500 sec
TIME:1350549761.30534506:	Calculation and result dump (1)	7.09835500 sec
TIME:1350549761.30535889:	Transmitter data send (1)	0.00000500 sec
TIME:1350549763.64406204:	Calculation and result dump (0)	7.02711200 sec
TIME:1350549763.64407492:	Transmitter data send (0)	0.00000400 sec
TIME:1350549768.39395404:	Calculation and result dump (1)	7.08859100 sec
TIME:1350549768.39396691:	Transmitter data send (1)	0.00000400 sec
TIME:1350549770.66931605:	Calculation and result dump (0)	7.02523700 sec
TIME:1350549770.66932893:	Transmitter data send (0)	0.00000400 sec
TIME:1350549775.48165107:	Calculation and result dump (1)	7.08767900 sec
