Number of processors:	128
Transmitters per processor:	80
Processes per node:	4
TIME:1350558627.47472095:	Read input data	28.66861600 sec
Spawning 128 workers to process 10240 transmitters ...
TIME:1350558629.21905303:	Dynamic process spawning	1.74430300 sec
TIME:1350558674.09328198:	Common data distribution	44.87345100 sec
TIME:1350558674.09336305:	Transmitter data send (0)	0.00000600 sec
TIME:1350558674.09513903:	Transmitter data send (3)	0.00000400 sec
TIME:1350558674.09515691:	Transmitter data send (1)	0.00000400 sec
TIME:1350558674.09516907:	Transmitter data send (2)	0.00000400 sec
TIME:1350558674.09518099:	Transmitter data send (4)	0.00000400 sec
TIME:1350558674.09519196:	Transmitter data send (5)	0.00000300 sec
TIME:1350558674.09520698:	Transmitter data send (6)	0.00000400 sec
TIME:1350558674.09521794:	Transmitter data send (7)	0.00000400 sec
TIME:1350558674.09523106:	Transmitter data send (8)	0.00000400 sec
TIME:1350558674.09524202:	Transmitter data send (9)	0.00000400 sec
TIME:1350558674.09525704:	Transmitter data send (10)	0.00000400 sec
TIME:1350558674.09526801:	Transmitter data send (11)	0.00000300 sec
TIME:1350558674.09528089:	Transmitter data send (12)	0.00000400 sec
TIME:1350558674.09529209:	Transmitter data send (13)	0.00000400 sec
TIME:1350558674.09530711:	Transmitter data send (14)	0.00000400 sec
TIME:1350558674.09531808:	Transmitter data send (15)	0.00000400 sec
TIME:1350558674.09533405:	Transmitter data send (16)	0.00000500 sec
TIME:1350558674.09534693:	Transmitter data send (17)	0.00000600 sec
TIME:1350558674.09536004:	Transmitter data send (18)	0.00000400 sec
TIME:1350558674.09537292:	Transmitter data send (19)	0.00000600 sec
TIME:1350558674.09538507:	Transmitter data send (20)	0.00000400 sec
TIME:1350558674.09539890:	Transmitter data send (21)	0.00000400 sec
TIME:1350558674.09541297:	Transmitter data send (22)	0.00000400 sec
TIME:1350558674.09542489:	Transmitter data send (23)	0.00000400 sec
TIME:1350558674.09543705:	Transmitter data send (24)	0.00000400 sec
TIME:1350558674.09545112:	Transmitter data send (25)	0.00000400 sec
TIME:1350558674.09546304:	Transmitter data send (26)	0.00000400 sec
TIME:1350558674.09547400:	Transmitter data send (27)	0.00000400 sec
TIME:1350558674.09548712:	Transmitter data send (28)	0.00000400 sec
TIME:1350558674.09550095:	Transmitter data send (29)	0.00000400 sec
TIME:1350558674.09551406:	Transmitter data send (30)	0.00000400 sec
TIME:1350558674.09552503:	Transmitter data send (31)	0.00000400 sec
TIME:1350558674.09553790:	Transmitter data send (32)	0.00000400 sec
TIME:1350558674.09555197:	Transmitter data send (33)	0.00000500 sec
TIME:1350558674.09556389:	Transmitter data send (34)	0.00000400 sec
TIME:1350558674.09557509:	Transmitter data send (35)	0.00000400 sec
