Number of processors:	64
Transmitters per processor:	20
Processes per node:	4
TIME:1350530545.41413903:	Read input data	11.20451100 sec
Spawning 64 workers to process 1280 transmitters ...
TIME:1350530546.95578408:	Dynamic process spawning	1.54161600 sec
TIME:1350530591.50670195:	Common data distribution	44.54959300 sec
TIME:1350530591.50678992:	Transmitter data send (0)	0.00000600 sec
TIME:1350530591.50827503:	Transmitter data send (3)	0.00000500 sec
TIME:1350530591.50829101:	Transmitter data send (1)	0.00000400 sec
TIME:1350530591.50830197:	Transmitter data send (2)	0.00000400 sec
TIME:1350530591.50831509:	Transmitter data send (4)	0.00000400 sec
TIME:1350530591.50832701:	Transmitter data send (5)	0.00000400 sec
TIME:1350530591.50833893:	Transmitter data send (6)	0.00000400 sec
TIME:1350530591.50834990:	Transmitter data send (7)	0.00000300 sec
TIME:1350530591.50836301:	Transmitter data send (8)	0.00000400 sec
TIME:1350530591.50837898:	Transmitter data send (9)	0.00000900 sec
TIME:1350530591.50839305:	Transmitter data send (10)	0.00000500 sec
TIME:1350530591.50840497:	Transmitter data send (11)	0.00000400 sec
TIME:1350530591.50841808:	Transmitter data send (12)	0.00000400 sec
TIME:1350530591.50843596:	Transmitter data send (13)	0.00000400 sec
TIME:1350530591.50844908:	Transmitter data send (14)	0.00000400 sec
TIME:1350530591.50846004:	Transmitter data send (15)	0.00000400 sec
TIME:1350530591.50847912:	Transmitter data send (16)	0.00000900 sec
TIME:1350530591.50849104:	Transmitter data send (17)	0.00000400 sec
TIME:1350530591.50850511:	Transmitter data send (18)	0.00000500 sec
TIME:1350530591.50851703:	Transmitter data send (19)	0.00000400 sec
TIME:1350530591.50853896:	Transmitter data send (20)	0.00000400 sec
TIME:1350530591.50855088:	Transmitter data send (21)	0.00000400 sec
TIME:1350530591.50856400:	Transmitter data send (22)	0.00000500 sec
TIME:1350530591.50858092:	Transmitter data send (23)	0.00000400 sec
TIME:1350530591.50859404:	Transmitter data send (24)	0.00000400 sec
TIME:1350530591.50860596:	Transmitter data send (25)	0.00000400 sec
TIME:1350530591.50862694:	Transmitter data send (26)	0.00001000 sec
TIME:1350530591.50863910:	Transmitter data send (27)	0.00000400 sec
TIME:1350530591.50865102:	Transmitter data send (28)	0.00000400 sec
TIME:1350530591.50866389:	Transmitter data send (29)	0.00000400 sec
TIME:1350530591.50868607:	Transmitter data send (30)	0.00000400 sec
TIME:1350530591.50869799:	Transmitter data send (31)	0.00000400 sec
TIME:1350530591.50871110:	Transmitter data send (32)	0.00000400 sec
TIME:1350530591.50872803:	Transmitter data send (33)	0.00001000 sec
TIME:1350530591.50874090:	Transmitter data send (34)	0.00000400 sec
TIME:1350530591.50875306:	Transmitter data send (35)	0.00000400 sec
TIME:1350530591.50876498:	Transmitter data send (36)	0.00000400 sec
TIME:1350530591.50878310:	Transmitter data send (37)	0.00000400 sec
TIME:1350530591.50879598:	Transmitter data send (38)	0.00000400 sec
TIME:1350530591.50880909:	Transmitter data send (39)	0.00000500 sec
TIME:1350530591.50883102:	Transmitter data send (40)	0.00001300 sec
TIME:1350530591.50884295:	Transmitter data send (41)	0.00000400 sec
TIME:1350530591.50885606:	Transmitter data send (42)	0.00000400 sec
TIME:1350530591.50886798:	Transmitter data send (43)	0.00000500 sec
TIME:1350530591.50888801:	Transmitter data send (44)	0.00000400 sec
TIME:1350530591.50889993:	Transmitter data send (45)	0.00000400 sec
TIME:1350530591.50891304:	Transmitter data send (46)	0.00000500 sec
TIME:1350530591.50892997:	Transmitter data send (47)	0.00000500 sec
TIME:1350530591.50894308:	Transmitter data send (48)	0.00000400 sec
TIME:1350530591.50895596:	Transmitter data send (49)	0.00000400 sec
TIME:1350530591.50896907:	Transmitter data send (50)	0.00000500 sec
TIME:1350530591.50899005:	Transmitter data send (51)	0.00000400 sec
TIME:1350530591.50900292:	Transmitter data send (52)	0.00000400 sec
TIME:1350530591.50901508:	Transmitter data send (53)	0.00000400 sec
TIME:1350530591.50903392:	Transmitter data send (54)	0.00000500 sec
TIME:1350530591.50904608:	Transmitter data send (55)	0.00000400 sec
TIME:1350530591.50905800:	Transmitter data send (56)	0.00000400 sec
TIME:1350530591.50907612:	Transmitter data send (57)	0.00001000 sec
TIME:1350530591.50908995:	Transmitter data send (58)	0.00000400 sec
TIME:1350530591.50910091:	Transmitter data send (59)	0.00000400 sec
TIME:1350530591.50911403:	Transmitter data send (60)	0.00000400 sec
TIME:1350530591.50913501:	Transmitter data send (61)	0.00000400 sec
TIME:1350530591.50914907:	Transmitter data send (62)	0.00000400 sec
TIME:1350530591.50916004:	Transmitter data send (63)	0.00000400 sec
TIME:1350530600.76281095:	Calculation and result dump (30)	9.25412000 sec
TIME:1350530600.76282692:	Transmitter data send (30)	0.00000500 sec
TIME:1350530600.77168798:	Calculation and result dump (50)	9.26270600 sec
TIME:1350530600.77170205:	Transmitter data send (50)	0.00000500 sec
TIME:1350530600.77985597:	Calculation and result dump (0)	9.27306000 sec
TIME:1350530600.77986789:	Transmitter data send (0)	0.00000400 sec
TIME:1350530600.78093410:	Calculation and result dump (60)	9.27181600 sec
TIME:1350530600.78094602:	Transmitter data send (60)	0.00000400 sec
TIME:1350530600.78095102:	Calculation and result dump (40)	9.27211500 sec
TIME:1350530600.78096104:	Transmitter data send (40)	0.00000400 sec
TIME:1350530600.78220391:	Calculation and result dump (10)	9.27380600 sec
TIME:1350530600.78221607:	Transmitter data send (10)	0.00000400 sec
TIME:1350530600.78852296:	Calculation and result dump (20)	9.27997900 sec
TIME:1350530600.78853607:	Transmitter data send (20)	0.00000400 sec
TIME:1350530601.59695292:	Calculation and result dump (24)	10.08835500 sec
TIME:1350530601.59696698:	Transmitter data send (24)	0.00000500 sec
TIME:1350530601.59888792:	Calculation and result dump (16)	10.09040400 sec
TIME:1350530601.59890103:	Transmitter data send (16)	0.00000400 sec
TIME:1350530601.59903097:	Calculation and result dump (6)	10.09068800 sec
TIME:1350530601.59904194:	Transmitter data send (6)	0.00000400 sec
TIME:1350530601.60016108:	Calculation and result dump (44)	10.09126900 sec
TIME:1350530601.60017395:	Transmitter data send (44)	0.00000500 sec
TIME:1350530601.60187006:	Calculation and result dump (36)	10.09310000 sec
TIME:1350530601.60188293:	Transmitter data send (36)	0.00000500 sec
TIME:1350530601.60354209:	Calculation and result dump (4)	10.09522300 sec
TIME:1350530601.60355401:	Transmitter data send (4)	0.00000400 sec
TIME:1350530601.60504699:	Calculation and result dump (54)	10.09600900 sec
TIME:1350530601.60506010:	Transmitter data send (54)	0.00000400 sec
TIME:1350530601.60631108:	Calculation and result dump (34)	10.09756500 sec
TIME:1350530601.60632300:	Transmitter data send (34)	0.00000400 sec
TIME:1350530601.60944891:	Calculation and result dump (14)	10.10099600 sec
TIME:1350530601.60946107:	Transmitter data send (14)	0.00000400 sec
TIME:1350530601.61115408:	Calculation and result dump (25)	10.10254400 sec
TIME:1350530601.61116600:	Transmitter data send (25)	0.00000400 sec
TIME:1350530601.61375809:	Calculation and result dump (26)	10.10512700 sec
TIME:1350530601.61377001:	Transmitter data send (26)	0.00000400 sec
TIME:1350530601.61554790:	Calculation and result dump (56)	10.10648600 sec
TIME:1350530601.61556101:	Transmitter data send (56)	0.00000500 sec
TIME:1350530601.61820698:	Calculation and result dump (55)	10.10915700 sec
TIME:1350530601.61822009:	Transmitter data send (55)	0.00000500 sec
TIME:1350530601.61871099:	Calculation and result dump (46)	10.10979400 sec
TIME:1350530601.61872196:	Transmitter data send (46)	0.00000400 sec
TIME:1350530601.62184405:	Calculation and result dump (35)	10.11308700 sec
TIME:1350530601.62185597:	Transmitter data send (35)	0.00000400 sec
TIME:1350530601.62462306:	Calculation and result dump (15)	10.11615900 sec
TIME:1350530601.62463498:	Transmitter data send (15)	0.00000400 sec
TIME:1350530601.63099194:	Calculation and result dump (5)	10.12266200 sec
TIME:1350530601.63100505:	Transmitter data send (5)	0.00000400 sec
TIME:1350530601.65588593:	Calculation and result dump (39)	10.14707300 sec
TIME:1350530601.65589809:	Transmitter data send (39)	0.00000400 sec
TIME:1350530601.66038799:	Calculation and result dump (48)	10.15144100 sec
TIME:1350530601.66040111:	Transmitter data send (48)	0.00000500 sec
TIME:1350530601.66153407:	Calculation and result dump (8)	10.15316700 sec
TIME:1350530601.66154695:	Transmitter data send (8)	0.00000500 sec
TIME:1350530601.66518402:	Calculation and result dump (9)	10.15680100 sec
TIME:1350530601.66519594:	Transmitter data send (9)	0.00000400 sec
TIME:1350530601.66555500:	Calculation and result dump (19)	10.15702500 sec
