Number of processors:	128
Transmitters per processor:	5
Processes per node:	4
TIME:1350525640.62179303:	Read input data	9.95411000 sec
Spawning 128 workers to process 640 transmitters ...
TIME:1350525649.00409293:	Dynamic process spawning	8.38227200 sec
TIME:1350525693.50326705:	Common data distribution	44.49833700 sec
TIME:1350525693.50334597:	Transmitter data send (0)	0.00000600 sec
TIME:1350525693.50503206:	Transmitter data send (1)	0.00000500 sec
TIME:1350525693.50505090:	Transmitter data send (2)	0.00000400 sec
TIME:1350525693.50506306:	Transmitter data send (3)	0.00000400 sec
TIME:1350525693.50507593:	Transmitter data send (4)	0.00000400 sec
TIME:1350525693.50508809:	Transmitter data send (5)	0.00000400 sec
TIME:1350525693.50510097:	Transmitter data send (6)	0.00000400 sec
TIME:1350525693.50511289:	Transmitter data send (7)	0.00000400 sec
TIME:1350525693.50512505:	Transmitter data send (8)	0.00000400 sec
TIME:1350525693.50513697:	Transmitter data send (9)	0.00000400 sec
TIME:1350525693.50515008:	Transmitter data send (10)	0.00000500 sec
TIME:1350525693.50516200:	Transmitter data send (11)	0.00000400 sec
TIME:1350525693.50517511:	Transmitter data send (12)	0.00000500 sec
TIME:1350525693.50518608:	Transmitter data send (13)	0.00000400 sec
TIME:1350525693.50519896:	Transmitter data send (14)	0.00000500 sec
TIME:1350525693.50520992:	Transmitter data send (15)	0.00000400 sec
TIME:1350525693.50522304:	Transmitter data send (16)	0.00000400 sec
TIME:1350525693.50523496:	Transmitter data send (17)	0.00000400 sec
TIME:1350525693.50524807:	Transmitter data send (18)	0.00000400 sec
TIME:1350525693.50525999:	Transmitter data send (19)	0.00000500 sec
TIME:1350525693.50527191:	Transmitter data send (20)	0.00000400 sec
TIME:1350525693.50528407:	Transmitter data send (21)	0.00000500 sec
TIME:1350525693.50529695:	Transmitter data send (22)	0.00000500 sec
TIME:1350525693.50530791:	Transmitter data send (23)	0.00000400 sec
TIME:1350525693.50532103:	Transmitter data send (24)	0.00000400 sec
TIME:1350525693.50533295:	Transmitter data send (25)	0.00000500 sec
TIME:1350525693.50534606:	Transmitter data send (26)	0.00000400 sec
TIME:1350525693.50535798:	Transmitter data send (27)	0.00000400 sec
TIME:1350525693.50537109:	Transmitter data send (28)	0.00000500 sec
TIME:1350525693.50538206:	Transmitter data send (29)	0.00000400 sec
TIME:1350525693.50539494:	Transmitter data send (30)	0.00000400 sec
TIME:1350525693.50540709:	Transmitter data send (31)	0.00000400 sec
TIME:1350525693.50541997:	Transmitter data send (32)	0.00000400 sec
TIME:1350525693.50543189:	Transmitter data send (33)	0.00000500 sec
TIME:1350525693.50544500:	Transmitter data send (34)	0.00000400 sec
TIME:1350525693.50546789:	Transmitter data send (35)	0.00000400 sec
TIME:1350525693.50548196:	Transmitter data send (36)	0.00000500 sec
TIME:1350525693.50549412:	Transmitter data send (37)	0.00000400 sec
TIME:1350525693.50550795:	Transmitter data send (38)	0.00000500 sec
TIME:1350525693.50552011:	Transmitter data send (39)	0.00000400 sec
TIME:1350525693.50553489:	Transmitter data send (40)	0.00000500 sec
TIME:1350525693.50554705:	Transmitter data send (41)	0.00000400 sec
TIME:1350525693.50555992:	Transmitter data send (42)	0.00000500 sec
TIME:1350525693.50557089:	Transmitter data send (43)	0.00000400 sec
TIME:1350525693.50558496:	Transmitter data send (44)	0.00000500 sec
TIME:1350525693.50559711:	Transmitter data send (45)	0.00000500 sec
TIME:1350525693.50560904:	Transmitter data send (46)	0.00000400 sec
TIME:1350525693.50562191:	Transmitter data send (47)	0.00000500 sec
TIME:1350525693.50563598:	Transmitter data send (48)	0.00000400 sec
TIME:1350525693.50564790:	Transmitter data send (49)	0.00000500 sec
TIME:1350525693.50566006:	Transmitter data send (50)	0.00000400 sec
TIME:1350525693.50567198:	Transmitter data send (51)	0.00000400 sec
TIME:1350525693.50568509:	Transmitter data send (52)	0.00000400 sec
TIME:1350525693.50569701:	Transmitter data send (53)	0.00000400 sec
TIME:1350525693.50570893:	Transmitter data send (54)	0.00000400 sec
TIME:1350525693.50572205:	Transmitter data send (55)	0.00000500 sec
TIME:1350525693.50573492:	Transmitter data send (56)	0.00000400 sec
TIME:1350525693.50574708:	Transmitter data send (57)	0.00000400 sec
TIME:1350525693.50575995:	Transmitter data send (58)	0.00000400 sec
TIME:1350525693.50577211:	Transmitter data send (59)	0.00000400 sec
TIME:1350525693.50578499:	Transmitter data send (63)	0.00000500 sec
TIME:1350525693.50579906:	Transmitter data send (64)	0.00000500 sec
TIME:1350525693.50581002:	Transmitter data send (65)	0.00000400 sec
TIME:1350525693.50582290:	Transmitter data send (66)	0.00000400 sec
TIME:1350525693.50583506:	Transmitter data send (67)	0.00000400 sec
TIME:1350525693.50584793:	Transmitter data send (68)	0.00000400 sec
TIME:1350525693.50586200:	Transmitter data send (69)	0.00000600 sec
TIME:1350525693.50587392:	Transmitter data send (70)	0.00000400 sec
TIME:1350525693.50588608:	Transmitter data send (71)	0.00000400 sec
TIME:1350525693.50589895:	Transmitter data send (72)	0.00000400 sec
TIME:1350525693.50591111:	Transmitter data send (73)	0.00000400 sec
TIME:1350525693.50592399:	Transmitter data send (74)	0.00000500 sec
TIME:1350525693.50593495:	Transmitter data send (75)	0.00000400 sec
TIME:1350525693.50594807:	Transmitter data send (76)	0.00000400 sec
TIME:1350525693.50595999:	Transmitter data send (77)	0.00000400 sec
TIME:1350525693.50597405:	Transmitter data send (78)	0.00000500 sec
TIME:1350525693.50598598:	Transmitter data send (79)	0.00000400 sec
