Number of processors:	64
Transmitters per processor:	40
Processes per node:	4
TIME:1350535521.64521909:	Read input data	13.66544200 sec
Spawning 64 workers to process 2560 transmitters ...
TIME:1350535529.20973611:	Dynamic process spawning	7.56449000 sec
TIME:1350535573.42028689:	Common data distribution	44.20989700 sec
TIME:1350535573.42035699:	Transmitter data send (0)	0.00000600 sec
TIME:1350535573.42132092:	Transmitter data send (3)	0.00000500 sec
TIME:1350535573.42133689:	Transmitter data send (1)	0.00000400 sec
TIME:1350535573.42134905:	Transmitter data send (2)	0.00000400 sec
TIME:1350535573.42136312:	Transmitter data send (4)	0.00000500 sec
TIME:1350535573.42137504:	Transmitter data send (5)	0.00000500 sec
TIME:1350535573.42138791:	Transmitter data send (6)	0.00000500 sec
TIME:1350535573.42139912:	Transmitter data send (7)	0.00000400 sec
TIME:1350535573.42141199:	Transmitter data send (8)	0.00000400 sec
TIME:1350535573.42142391:	Transmitter data send (9)	0.00000400 sec
TIME:1350535573.42143703:	Transmitter data send (10)	0.00000500 sec
TIME:1350535573.42144895:	Transmitter data send (11)	0.00000400 sec
TIME:1350535573.42147398:	Transmitter data send (12)	0.00000600 sec
TIME:1350535573.42148590:	Transmitter data send (13)	0.00000400 sec
TIME:1350535573.42149901:	Transmitter data send (14)	0.00000400 sec
TIME:1350535573.42151093:	Transmitter data send (15)	0.00000400 sec
TIME:1350535573.42152500:	Transmitter data send (16)	0.00000400 sec
TIME:1350535573.42153692:	Transmitter data send (17)	0.00000400 sec
TIME:1350535573.42155004:	Transmitter data send (18)	0.00000400 sec
TIME:1350535573.42156196:	Transmitter data send (19)	0.00000400 sec
TIME:1350535573.42157507:	Transmitter data send (20)	0.00000400 sec
TIME:1350535573.42158699:	Transmitter data send (21)	0.00000400 sec
TIME:1350535573.42160010:	Transmitter data send (22)	0.00000400 sec
TIME:1350535573.42161298:	Transmitter data send (23)	0.00000400 sec
TIME:1350535573.42162704:	Transmitter data send (24)	0.00000500 sec
TIME:1350535573.42163897:	Transmitter data send (25)	0.00000400 sec
TIME:1350535573.42165208:	Transmitter data send (26)	0.00000400 sec
TIME:1350535573.42166400:	Transmitter data send (27)	0.00000400 sec
TIME:1350535573.42167711:	Transmitter data send (32)	0.00000400 sec
TIME:1350535573.42168903:	Transmitter data send (33)	0.00000400 sec
TIME:1350535573.42170191:	Transmitter data send (34)	0.00000400 sec
TIME:1350535573.42171597:	Transmitter data send (35)	0.00000500 sec
TIME:1350535573.42172909:	Transmitter data send (36)	0.00000400 sec
TIME:1350535573.42174101:	Transmitter data send (37)	0.00000400 sec
TIME:1350535573.42175388:	Transmitter data send (38)	0.00000400 sec
TIME:1350535573.42176604:	Transmitter data send (39)	0.00000400 sec
TIME:1350535573.42177892:	Transmitter data send (40)	0.00000400 sec
TIME:1350535573.42179108:	Transmitter data send (41)	0.00000400 sec
TIME:1350535573.42180490:	Transmitter data send (42)	0.00000400 sec
TIME:1350535573.42181706:	Transmitter data send (43)	0.00000400 sec
TIME:1350535573.42183089:	Transmitter data send (44)	0.00000500 sec
TIME:1350535573.42184401:	Transmitter data send (45)	0.00000500 sec
TIME:1350535573.42185712:	Transmitter data send (46)	0.00000500 sec
TIME:1350535573.42186809:	Transmitter data send (47)	0.00000400 sec
TIME:1350535573.42188191:	Transmitter data send (48)	0.00000400 sec
TIME:1350535573.42189503:	Transmitter data send (49)	0.00000500 sec
TIME:1350535573.42190790:	Transmitter data send (50)	0.00000500 sec
TIME:1350535573.42191911:	Transmitter data send (51)	0.00000400 sec
TIME:1350535573.42193198:	Transmitter data send (52)	0.00000400 sec
TIME:1350535573.42194510:	Transmitter data send (53)	0.00000500 sec
TIME:1350535573.42195797:	Transmitter data send (55)	0.00000400 sec
TIME:1350535573.42198396:	Transmitter data send (58)	0.00000400 sec
TIME:1350535573.42199802:	Transmitter data send (28)	0.00000400 sec
TIME:1350535573.42200994:	Transmitter data send (29)	0.00000400 sec
TIME:1350535573.42202306:	Transmitter data send (30)	0.00000400 sec
TIME:1350535573.42203498:	Transmitter data send (31)	0.00000400 sec
TIME:1350535573.42204690:	Transmitter data send (54)	0.00000500 sec
TIME:1350535573.42206001:	Transmitter data send (56)	0.00000400 sec
TIME:1350535573.42207193:	Transmitter data send (57)	0.00000400 sec
TIME:1350535573.42208409:	Transmitter data send (59)	0.00000500 sec
TIME:1350535573.42209697:	Transmitter data send (60)	0.00000500 sec
TIME:1350535573.42210889:	Transmitter data send (61)	0.00000500 sec
TIME:1350535573.42212296:	Transmitter data send (62)	0.00000500 sec
TIME:1350535573.42213511:	Transmitter data send (63)	0.00000400 sec
TIME:1350535582.68800402:	Calculation and result dump (34)	9.26629800 sec
TIME:1350535582.68801904:	Transmitter data send (34)	0.00000500 sec
TIME:1350535582.68985891:	Calculation and result dump (20)	9.26828000 sec
TIME:1350535582.68987107:	Transmitter data send (20)	0.00000400 sec
TIME:1350535582.69200802:	Calculation and result dump (55)	9.27004600 sec
TIME:1350535582.69202089:	Transmitter data send (55)	0.00000600 sec
TIME:1350535582.69390988:	Calculation and result dump (0)	9.27354700 sec
TIME:1350535582.69392300:	Transmitter data send (0)	0.00000500 sec
TIME:1350535582.69417810:	Calculation and result dump (60)	9.27207700 sec
TIME:1350535582.69418907:	Transmitter data send (60)	0.00000500 sec
TIME:1350535582.69711089:	Calculation and result dump (44)	9.27527600 sec
TIME:1350535582.69712400:	Transmitter data send (44)	0.00000500 sec
TIME:1350535582.70272899:	Calculation and result dump (10)	9.28128800 sec
TIME:1350535582.70274091:	Transmitter data send (10)	0.00000400 sec
TIME:1350535583.49154711:	Calculation and result dump (15)	10.07003200 sec
TIME:1350535583.49155998:	Transmitter data send (15)	0.00000400 sec
TIME:1350535583.51014900:	Calculation and result dump (38)	10.08839100 sec
TIME:1350535583.51016212:	Transmitter data send (38)	0.00000500 sec
TIME:1350535583.51288199:	Calculation and result dump (26)	10.09122600 sec
TIME:1350535583.51289511:	Transmitter data send (26)	0.00000400 sec
TIME:1350535583.51380396:	Calculation and result dump (48)	10.09191700 sec
TIME:1350535583.51381707:	Transmitter data send (48)	0.00000500 sec
TIME:1350535583.51389194:	Calculation and result dump (40)	10.09210900 sec
TIME:1350535583.51390290:	Transmitter data send (40)	0.00000400 sec
TIME:1350535583.51424503:	Calculation and result dump (6)	10.09285300 sec
TIME:1350535583.51425600:	Transmitter data send (6)	0.00000400 sec
TIME:1350535583.51979208:	Calculation and result dump (24)	10.09816100 sec
TIME:1350535583.51980495:	Transmitter data send (24)	0.00000400 sec
TIME:1350535583.52036309:	Calculation and result dump (16)	10.09883300 sec
TIME:1350535583.52037406:	Transmitter data send (16)	0.00000400 sec
TIME:1350535583.52485609:	Calculation and result dump (30)	10.10282900 sec
TIME:1350535583.52486801:	Transmitter data send (30)	0.00000400 sec
TIME:1350535583.52742004:	Calculation and result dump (25)	10.10577700 sec
TIME:1350535583.52743196:	Transmitter data send (25)	0.00000400 sec
TIME:1350535583.53209400:	Calculation and result dump (4)	10.11072700 sec
TIME:1350535583.53210592:	Transmitter data send (4)	0.00000400 sec
TIME:1350535583.53263307:	Calculation and result dump (50)	10.11072100 sec
TIME:1350535583.53264499:	Transmitter data send (50)	0.00000500 sec
TIME:1350535583.53328705:	Calculation and result dump (5)	10.11190800 sec
TIME:1350535583.53329802:	Transmitter data send (5)	0.00000400 sec
TIME:1350535583.53371000:	Calculation and result dump (14)	10.11220700 sec
TIME:1350535583.53372192:	Transmitter data send (14)	0.00000400 sec
TIME:1350535583.53890896:	Calculation and result dump (54)	10.11685800 sec
TIME:1350535583.53892112:	Transmitter data send (54)	0.00000400 sec
TIME:1350535583.54027104:	Calculation and result dump (49)	10.11837200 sec
TIME:1350535583.54028392:	Transmitter data send (49)	0.00000500 sec
TIME:1350535583.54137301:	Calculation and result dump (39)	10.11960300 sec
TIME:1350535583.54138398:	Transmitter data send (39)	0.00000400 sec
TIME:1350535583.56253505:	Calculation and result dump (31)	10.14049600 sec
TIME:1350535583.56254792:	Transmitter data send (31)	0.00000400 sec
TIME:1350535583.57063603:	Calculation and result dump (43)	10.14881500 sec
TIME:1350535583.57064795:	Transmitter data send (43)	0.00000400 sec
TIME:1350535583.57595611:	Calculation and result dump (42)	10.15414700 sec
TIME:1350535583.57596898:	Transmitter data send (42)	0.00000500 sec
TIME:1350535583.57635689:	Calculation and result dump (8)	10.15494000 sec
TIME:1350535583.57636809:	Transmitter data send (8)	0.00000400 sec
TIME:1350535583.57764292:	Calculation and result dump (33)	10.15595000 sec
TIME:1350535583.57765508:	Transmitter data send (33)	0.00000400 sec
TIME:1350535583.57893491:	Calculation and result dump (52)	10.15699800 sec
TIME:1350535583.57894707:	Transmitter data send (52)	0.00000400 sec
TIME:1350535583.57980990:	Calculation and result dump (19)	10.15824400 sec
TIME:1350535583.57982302:	Transmitter data send (19)	0.00000500 sec
TIME:1350535583.58007503:	Calculation and result dump (53)	10.15812600 sec
TIME:1350535583.58008599:	Transmitter data send (53)	0.00000400 sec
TIME:1350535583.58297801:	Calculation and result dump (9)	10.16155000 sec
TIME:1350535583.58298993:	Transmitter data send (9)	0.00000400 sec
TIME:1350535583.58388710:	Calculation and result dump (7)	10.16248300 sec
TIME:1350535583.58389902:	Transmitter data send (7)	0.00000400 sec
TIME:1350535583.58599710:	Calculation and result dump (51)	10.16407300 sec
TIME:1350535583.58600998:	Transmitter data send (51)	0.00000600 sec
TIME:1350535583.58916998:	Calculation and result dump (18)	10.16761500 sec
TIME:1350535583.58918190:	Transmitter data send (18)	0.00000400 sec
TIME:1350535583.59261894:	Calculation and result dump (57)	10.17054300 sec
TIME:1350535583.59263110:	Transmitter data send (57)	0.00000400 sec
TIME:1350535583.59284091:	Calculation and result dump (56)	10.17077700 sec
TIME:1350535583.59285212:	Transmitter data send (56)	0.00000400 sec
TIME:1350535583.60152197:	Calculation and result dump (41)	10.17972700 sec
TIME:1350535583.60153508:	Transmitter data send (41)	0.00000500 sec
TIME:1350535583.60548401:	Calculation and result dump (59)	10.18339600 sec
TIME:1350535583.60549593:	Transmitter data send (59)	0.00000500 sec
TIME:1350535583.60666990:	Calculation and result dump (27)	10.18500200 sec
TIME:1350535583.60668206:	Transmitter data send (27)	0.00000500 sec
TIME:1350535583.61301708:	Calculation and result dump (17)	10.19147500 sec
TIME:1350535583.61302900:	Transmitter data send (17)	0.00000500 sec
TIME:1350535583.69342208:	Calculation and result dump (32)	10.27174100 sec
TIME:1350535583.69343400:	Transmitter data send (32)	0.00000400 sec
TIME:1350535583.85129809:	Calculation and result dump (23)	10.42968000 sec
TIME:1350535583.85131001:	Transmitter data send (23)	0.00000400 sec
TIME:1350535583.85511208:	Calculation and result dump (37)	10.43336700 sec
TIME:1350535583.85512400:	Transmitter data send (37)	0.00000400 sec
TIME:1350535583.85743809:	Calculation and result dump (2)	10.43608500 sec
TIME:1350535583.85745311:	Transmitter data send (2)	0.00000700 sec
TIME:1350535583.85891008:	Calculation and result dump (13)	10.43742000 sec
TIME:1350535583.85892200:	Transmitter data send (13)	0.00000400 sec
TIME:1350535583.85939002:	Calculation and result dump (63)	10.43725100 sec
TIME:1350535583.85940099:	Transmitter data send (63)	0.00000400 sec
TIME:1350535583.85940504:	Calculation and result dump (47)	10.43753200 sec
TIME:1350535583.85941601:	Transmitter data send (47)	0.00000400 sec
TIME:1350535583.87726402:	Calculation and result dump (29)	10.45525000 sec
TIME:1350535583.87727690:	Transmitter data send (29)	0.00000500 sec
TIME:1350535584.34772110:	Calculation and result dump (3)	10.92639400 sec
TIME:1350535584.34773397:	Transmitter data send (3)	0.00000400 sec
TIME:1350535584.35138512:	Calculation and result dump (45)	10.92953700 sec
TIME:1350535584.35139704:	Transmitter data send (45)	0.00000400 sec
TIME:1350535584.35556602:	Calculation and result dump (11)	10.93410300 sec
TIME:1350535584.35557795:	Transmitter data send (11)	0.00000400 sec
TIME:1350535584.35683799:	Calculation and result dump (35)	10.93511800 sec
TIME:1350535584.35684991:	Transmitter data send (35)	0.00000400 sec
TIME:1350535584.36291695:	Calculation and result dump (62)	10.94079000 sec
