Number of processors:	128
Transmitters per processor:	20
Processes per node:	4
TIME:1350530773.61358404:	Read input data	13.68905000 sec
Spawning 128 workers to process 2560 transmitters ...
TIME:1350530781.33808589:	Dynamic process spawning	7.72447200 sec
TIME:1350530825.44125891:	Common data distribution	44.10236400 sec
TIME:1350530825.44133401:	Transmitter data send (0)	0.00000500 sec
TIME:1350530825.44204402:	Transmitter data send (2)	0.00000500 sec
TIME:1350530825.44205999:	Transmitter data send (1)	0.00000400 sec
TIME:1350530825.44207191:	Transmitter data send (3)	0.00000400 sec
TIME:1350530825.44311404:	Transmitter data send (32)	0.00000400 sec
TIME:1350530825.44313002:	Transmitter data send (4)	0.00000500 sec
TIME:1350530825.44314098:	Transmitter data send (5)	0.00000400 sec
TIME:1350530825.44315410:	Transmitter data send (6)	0.00000500 sec
TIME:1350530825.44316506:	Transmitter data send (7)	0.00000400 sec
TIME:1350530825.44317794:	Transmitter data send (8)	0.00000400 sec
TIME:1350530825.44318891:	Transmitter data send (9)	0.00000400 sec
TIME:1350530825.44320107:	Transmitter data send (10)	0.00000400 sec
TIME:1350530825.44321299:	Transmitter data send (11)	0.00000400 sec
TIME:1350530825.44322610:	Transmitter data send (12)	0.00000500 sec
TIME:1350530825.44323707:	Transmitter data send (13)	0.00000400 sec
TIME:1350530825.44324994:	Transmitter data send (14)	0.00000400 sec
TIME:1350530825.44326210:	Transmitter data send (15)	0.00000400 sec
TIME:1350530825.44327402:	Transmitter data send (16)	0.00000400 sec
TIME:1350530825.44328499:	Transmitter data send (17)	0.00000400 sec
TIME:1350530825.44329906:	Transmitter data send (18)	0.00000400 sec
TIME:1350530825.44331002:	Transmitter data send (19)	0.00000400 sec
TIME:1350530825.44332290:	Transmitter data send (20)	0.00000400 sec
TIME:1350530825.44333506:	Transmitter data send (21)	0.00000400 sec
TIME:1350530825.44334698:	Transmitter data send (22)	0.00000400 sec
TIME:1350530825.44335890:	Transmitter data send (23)	0.00000400 sec
TIME:1350530825.44337106:	Transmitter data send (24)	0.00000400 sec
TIME:1350530825.44338298:	Transmitter data send (25)	0.00000400 sec
TIME:1350530825.44339609:	Transmitter data send (26)	0.00000400 sec
TIME:1350530825.44340801:	Transmitter data send (27)	0.00000500 sec
TIME:1350530825.44342208:	Transmitter data send (28)	0.00000500 sec
TIME:1350530825.44343305:	Transmitter data send (29)	0.00000400 sec
TIME:1350530825.44344592:	Transmitter data send (30)	0.00000400 sec
TIME:1350530825.44345999:	Transmitter data send (31)	0.00000400 sec
TIME:1350530825.44347191:	Transmitter data send (33)	0.00000400 sec
TIME:1350530825.44348502:	Transmitter data send (34)	0.00000400 sec
TIME:1350530825.44349694:	Transmitter data send (35)	0.00000400 sec
TIME:1350530825.44351006:	Transmitter data send (36)	0.00000400 sec
TIME:1350530825.44352198:	Transmitter data send (37)	0.00000400 sec
TIME:1350530825.44353509:	Transmitter data send (38)	0.00000400 sec
TIME:1350530825.44354701:	Transmitter data send (39)	0.00000400 sec
TIME:1350530825.44355989:	Transmitter data send (40)	0.00000500 sec
TIME:1350530825.44357204:	Transmitter data send (41)	0.00000400 sec
TIME:1350530825.44358397:	Transmitter data send (42)	0.00000400 sec
TIME:1350530825.44359708:	Transmitter data send (43)	0.00000500 sec
TIME:1350530825.44360900:	Transmitter data send (44)	0.00000400 sec
TIME:1350530825.44362092:	Transmitter data send (45)	0.00000400 sec
TIME:1350530825.44363308:	Transmitter data send (46)	0.00000400 sec
TIME:1350530825.44364500:	Transmitter data send (47)	0.00000400 sec
TIME:1350530825.44365907:	Transmitter data send (48)	0.00000500 sec
TIME:1350530825.44367099:	Transmitter data send (49)	0.00000500 sec
TIME:1350530825.44368291:	Transmitter data send (50)	0.00000400 sec
TIME:1350530825.44369602:	Transmitter data send (51)	0.00000500 sec
TIME:1350530825.44370794:	Transmitter data send (52)	0.00000400 sec
TIME:1350530825.44372010:	Transmitter data send (53)	0.00000400 sec
TIME:1350530825.44373298:	Transmitter data send (54)	0.00000500 sec
TIME:1350530825.44374394:	Transmitter data send (55)	0.00000400 sec
TIME:1350530825.44375801:	Transmitter data send (56)	0.00000500 sec
TIME:1350530825.44376898:	Transmitter data send (57)	0.00000400 sec
TIME:1350530825.44378304:	Transmitter data send (58)	0.00000400 sec
TIME:1350530825.44379497:	Transmitter data send (59)	0.00000500 sec
TIME:1350530825.44380808:	Transmitter data send (62)	0.00000400 sec
TIME:1350530825.44382000:	Transmitter data send (63)	0.00000500 sec
TIME:1350530825.44383192:	Transmitter data send (64)	0.00000400 sec
TIME:1350530825.44384408:	Transmitter data send (65)	0.00000400 sec
TIME:1350530825.44385910:	Transmitter data send (66)	0.00000500 sec
TIME:1350530825.44387102:	Transmitter data send (67)	0.00000400 sec
TIME:1350530825.44388390:	Transmitter data send (68)	0.00000500 sec
TIME:1350530825.44389701:	Transmitter data send (69)	0.00000500 sec
TIME:1350530825.44390893:	Transmitter data send (70)	0.00000400 sec
TIME:1350530825.44392109:	Transmitter data send (71)	0.00000400 sec
TIME:1350530825.44393301:	Transmitter data send (72)	0.00000400 sec
TIME:1350530825.44394493:	Transmitter data send (73)	0.00000400 sec
TIME:1350530825.44395804:	Transmitter data send (74)	0.00000400 sec
TIME:1350530825.44396996:	Transmitter data send (75)	0.00000400 sec
TIME:1350530825.44398308:	Transmitter data send (76)	0.00000500 sec
TIME:1350530825.44399500:	Transmitter data send (77)	0.00000500 sec
TIME:1350530825.44400907:	Transmitter data send (78)	0.00000500 sec
TIME:1350530825.44402003:	Transmitter data send (79)	0.00000400 sec
TIME:1350530825.44403291:	Transmitter data send (80)	0.00000400 sec
TIME:1350530825.44404507:	Transmitter data send (81)	0.00000400 sec
TIME:1350530825.44405794:	Transmitter data send (82)	0.00000400 sec
TIME:1350530825.44406891:	Transmitter data send (83)	0.00000300 sec
TIME:1350530825.44408202:	Transmitter data send (84)	0.00000400 sec
TIME:1350530825.44409394:	Transmitter data send (85)	0.00000400 sec
TIME:1350530825.44410801:	Transmitter data send (86)	0.00000500 sec
TIME:1350530825.44411898:	Transmitter data send (87)	0.00000300 sec
TIME:1350530825.44413400:	Transmitter data send (88)	0.00000500 sec
TIME:1350530825.44414496:	Transmitter data send (89)	0.00000400 sec
TIME:1350530825.44415689:	Transmitter data send (90)	0.00000300 sec
TIME:1350530825.44416809:	Transmitter data send (91)	0.00000300 sec
TIME:1350530825.44418406:	Transmitter data send (92)	0.00000600 sec
TIME:1350530825.44419503:	Transmitter data send (93)	0.00000400 sec
TIME:1350530825.44420791:	Transmitter data send (94)	0.00000400 sec
TIME:1350530825.44421911:	Transmitter data send (95)	0.00000400 sec
TIME:1350530825.44423103:	Transmitter data send (96)	0.00000400 sec
TIME:1350530825.44424295:	Transmitter data send (97)	0.00000500 sec
TIME:1350530825.44425511:	Transmitter data send (98)	0.00000400 sec
TIME:1350530825.44426489:	Transmitter data send (99)	0.00000300 sec
TIME:1350530825.44427800:	Transmitter data send (100)	0.00000500 sec
TIME:1350530825.44428897:	Transmitter data send (101)	0.00000400 sec
TIME:1350530825.44430089:	Transmitter data send (102)	0.00000400 sec
TIME:1350530825.44431210:	Transmitter data send (103)	0.00000300 sec
TIME:1350530825.44432497:	Transmitter data send (104)	0.00000400 sec
TIME:1350530825.44433594:	Transmitter data send (105)	0.00000400 sec
TIME:1350530825.44434810:	Transmitter data send (106)	0.00000300 sec
TIME:1350530825.44435906:	Transmitter data send (107)	0.00000300 sec
TIME:1350530825.44437289:	Transmitter data send (108)	0.00000500 sec
TIME:1350530825.44438696:	Transmitter data send (110)	0.00000400 sec
TIME:1350530825.44439793:	Transmitter data send (111)	0.00000400 sec
TIME:1350530825.44441009:	Transmitter data send (112)	0.00000400 sec
TIME:1350530825.44442105:	Transmitter data send (113)	0.00000400 sec
TIME:1350530825.44443393:	Transmitter data send (114)	0.00000400 sec
TIME:1350530825.44444489:	Transmitter data send (115)	0.00000400 sec
TIME:1350530825.44447303:	Transmitter data send (116)	0.00000400 sec
TIME:1350530825.44448495:	Transmitter data send (117)	0.00000400 sec
TIME:1350530825.44449806:	Transmitter data send (118)	0.00000400 sec
TIME:1350530825.44450998:	Transmitter data send (119)	0.00000400 sec
TIME:1350530825.44452405:	Transmitter data send (120)	0.00000600 sec
TIME:1350530825.44453502:	Transmitter data send (121)	0.00000300 sec
TIME:1350530825.44454789:	Transmitter data send (122)	0.00000400 sec
TIME:1350530825.44455791:	Transmitter data send (123)	0.00000300 sec
TIME:1350530825.44457698:	Transmitter data send (109)	0.00000400 sec
TIME:1350530825.44459009:	Transmitter data send (60)	0.00000400 sec
TIME:1350530825.44460201:	Transmitter data send (61)	0.00000400 sec
TIME:1350530825.44461608:	Transmitter data send (124)	0.00000400 sec
TIME:1350530825.44462800:	Transmitter data send (125)	0.00000400 sec
TIME:1350530825.44463992:	Transmitter data send (126)	0.00000400 sec
TIME:1350530825.44465089:	Transmitter data send (127)	0.00000400 sec
TIME:1350530834.70941710:	Calculation and result dump (62)	9.26560500 sec
TIME:1350530834.70943093:	Transmitter data send (62)	0.00000400 sec
TIME:1350530834.71110511:	Calculation and result dump (9)	9.26791200 sec
TIME:1350530834.71111703:	Transmitter data send (9)	0.00000400 sec
TIME:1350530834.71418691:	Calculation and result dump (92)	9.26999900 sec
TIME:1350530834.71419907:	Transmitter data send (92)	0.00000400 sec
TIME:1350530834.71486211:	Calculation and result dump (0)	9.27352200 sec
TIME:1350530834.71487403:	Transmitter data send (0)	0.00000400 sec
TIME:1350530834.71487808:	Calculation and result dump (19)	9.27156400 sec
TIME:1350530834.71488810:	Transmitter data send (19)	0.00000400 sec
TIME:1350530834.71776009:	Calculation and result dump (113)	9.27333500 sec
TIME:1350530834.71777296:	Transmitter data send (113)	0.00000500 sec
TIME:1350530834.71949005:	Calculation and result dump (29)	9.27605300 sec
TIME:1350530834.71950197:	Transmitter data send (29)	0.00000400 sec
TIME:1350530834.71964097:	Calculation and result dump (50)	9.27595400 sec
TIME:1350530834.71965098:	Transmitter data send (50)	0.00000400 sec
TIME:1350530834.72540498:	Calculation and result dump (72)	9.28146700 sec
TIME:1350530834.72541595:	Transmitter data send (72)	0.00000400 sec
TIME:1350530834.72561789:	Calculation and result dump (123)	9.28105500 sec
TIME:1350530834.72563004:	Transmitter data send (123)	0.00000400 sec
TIME:1350530834.72801995:	Calculation and result dump (102)	9.28371400 sec
TIME:1350530834.72803211:	Transmitter data send (102)	0.00000400 sec
TIME:1350530834.74065208:	Calculation and result dump (40)	9.29708800 sec
TIME:1350530834.74066496:	Transmitter data send (40)	0.00000500 sec
TIME:1350530834.77725506:	Calculation and result dump (82)	9.33319300 sec
TIME:1350530834.77726698:	Transmitter data send (82)	0.00000400 sec
TIME:1350530835.53180504:	Calculation and result dump (15)	10.08853900 sec
TIME:1350530835.53181911:	Transmitter data send (15)	0.00000500 sec
TIME:1350530835.53182292:	Calculation and result dump (44)	10.08821000 sec
TIME:1350530835.53183389:	Transmitter data send (44)	0.00000400 sec
TIME:1350530835.53347111:	Calculation and result dump (96)	10.08923600 sec
TIME:1350530835.53348398:	Transmitter data send (96)	0.00000500 sec
TIME:1350530835.53586793:	Calculation and result dump (126)	10.09122400 sec
TIME:1350530835.53588009:	Transmitter data send (126)	0.00000400 sec
TIME:1350530835.53645706:	Calculation and result dump (13)	10.09321600 sec
TIME:1350530835.53646994:	Transmitter data send (13)	0.00000400 sec
TIME:1350530835.53653097:	Calculation and result dump (124)	10.09191100 sec
TIME:1350530835.53654194:	Transmitter data send (124)	0.00000400 sec
TIME:1350530835.53663111:	Calculation and result dump (76)	10.09264400 sec
TIME:1350530835.53664207:	Transmitter data send (76)	0.00000400 sec
TIME:1350530835.53953505:	Calculation and result dump (119)	10.09502100 sec
TIME:1350530835.53954697:	Transmitter data send (119)	0.00000400 sec
TIME:1350530835.54141808:	Calculation and result dump (23)	10.09805500 sec
TIME:1350530835.54143000:	Transmitter data send (23)	0.00000400 sec
TIME:1350530835.54169798:	Calculation and result dump (54)	10.09796100 sec
TIME:1350530835.54170895:	Transmitter data send (54)	0.00000400 sec
TIME:1350530835.54283595:	Calculation and result dump (35)	10.09933500 sec
TIME:1350530835.54284811:	Transmitter data send (35)	0.00000400 sec
TIME:1350530835.54448891:	Calculation and result dump (118)	10.09998700 sec
TIME:1350530835.54450011:	Transmitter data send (118)	0.00000400 sec
TIME:1350530835.54462290:	Calculation and result dump (32)	10.10150300 sec
TIME:1350530835.54463410:	Transmitter data send (32)	0.00000500 sec
TIME:1350530835.54473710:	Calculation and result dump (106)	10.10038500 sec
TIME:1350530835.54474807:	Transmitter data send (106)	0.00000400 sec
TIME:1350530835.54494810:	Calculation and result dump (55)	10.10120000 sec
TIME:1350530835.54495907:	Transmitter data send (55)	0.00000500 sec
TIME:1350530835.54510498:	Calculation and result dump (45)	10.10148000 sec
TIME:1350530835.54511595:	Transmitter data send (45)	0.00000400 sec
TIME:1350530835.54604506:	Calculation and result dump (67)	10.10217000 sec
TIME:1350530835.54605699:	Transmitter data send (67)	0.00000400 sec
TIME:1350530835.54685092:	Calculation and result dump (88)	10.10271300 sec
TIME:1350530835.54686308:	Transmitter data send (88)	0.00000400 sec
TIME:1350530835.55025792:	Calculation and result dump (98)	10.10599900 sec
TIME:1350530835.55026889:	Transmitter data send (98)	0.00000400 sec
TIME:1350530835.55055904:	Calculation and result dump (108)	10.10618100 sec
TIME:1350530835.55057096:	Transmitter data send (108)	0.00000500 sec
TIME:1350530835.55118895:	Calculation and result dump (5)	10.10804400 sec
TIME:1350530835.55119991:	Transmitter data send (5)	0.00000400 sec
TIME:1350530835.55290508:	Calculation and result dump (77)	10.10890600 sec
TIME:1350530835.55291700:	Transmitter data send (77)	0.00000400 sec
TIME:1350530835.55295992:	Calculation and result dump (46)	10.10932200 sec
TIME:1350530835.55297089:	Transmitter data send (46)	0.00000400 sec
TIME:1350530835.55327106:	Calculation and result dump (36)	10.10975700 sec
TIME:1350530835.55328202:	Transmitter data send (36)	0.00000400 sec
TIME:1350530835.55379510:	Calculation and result dump (24)	10.11041900 sec
TIME:1350530835.55380702:	Transmitter data send (24)	0.00000400 sec
TIME:1350530835.55439591:	Calculation and result dump (107)	10.11003300 sec
TIME:1350530835.55440688:	Transmitter data send (107)	0.00000400 sec
TIME:1350530835.55488706:	Calculation and result dump (117)	10.11039700 sec
TIME:1350530835.55489898:	Transmitter data send (117)	0.00000400 sec
TIME:1350530835.55561495:	Calculation and result dump (34)	10.11212600 sec
TIME:1350530835.55562592:	Transmitter data send (34)	0.00000400 sec
TIME:1350530835.55610204:	Calculation and result dump (4)	10.11296800 sec
TIME:1350530835.55611300:	Transmitter data send (4)	0.00000400 sec
TIME:1350530835.55777597:	Calculation and result dump (25)	10.11438900 sec
TIME:1350530835.55778909:	Transmitter data send (25)	0.00000500 sec
TIME:1350530835.55830002:	Calculation and result dump (125)	10.11366800 sec
TIME:1350530835.55831099:	Transmitter data send (125)	0.00000400 sec
