Number of processors:	4
Transmitters per processor:	5
Processes per node:	4
TIME:1350524766.69010997:	Read input data	8.75009200 sec
Spawning 4 workers to process 20 transmitters ...
TIME:1350524768.09809089:	Dynamic process spawning	1.40795100 sec
TIME:1350524788.02088189:	Common data distribution	19.92243800 sec
TIME:1350524788.02095795:	Transmitter data send (0)	0.00000500 sec
TIME:1350524788.02108407:	Transmitter data send (1)	0.00000400 sec
TIME:1350524788.02113509:	Transmitter data send (2)	0.00000400 sec
TIME:1350524788.02114701:	Transmitter data send (3)	0.00000400 sec
TIME:1350524797.28979897:	Calculation and result dump (0)	9.26883400 sec
TIME:1350524797.28981304:	Transmitter data send (0)	0.00000400 sec
TIME:1350524798.43175101:	Calculation and result dump (3)	10.41060000 sec
TIME:1350524798.43176508:	Transmitter data send (3)	0.00000400 sec
TIME:1350524798.97064996:	Calculation and result dump (2)	10.94951000 sec
TIME:1350524798.97066402:	Transmitter data send (2)	0.00000500 sec
TIME:1350524798.97404909:	Calculation and result dump (1)	10.95295900 sec
TIME:1350524798.97406197:	Transmitter data send (1)	0.00000400 sec
TIME:1350524805.44412088:	Calculation and result dump (0)	8.15430300 sec
TIME:1350524805.44413590:	Transmitter data send (0)	0.00000500 sec
TIME:1350524806.66280293:	Calculation and result dump (3)	8.23103300 sec
TIME:1350524806.66281605:	Transmitter data send (3)	0.00000400 sec
TIME:1350524807.19721699:	Calculation and result dump (2)	8.22654900 sec
TIME:1350524807.19723010:	Transmitter data send (2)	0.00000400 sec
TIME:1350524807.20458794:	Calculation and result dump (1)	8.23052200 sec
TIME:1350524807.20460010:	Transmitter data send (1)	0.00000400 sec
TIME:1350524813.59307003:	Calculation and result dump (0)	8.14893000 sec
TIME:1350524813.59308290:	Transmitter data send (0)	0.00000400 sec
TIME:1350524814.88163400:	Calculation and result dump (3)	8.21881400 sec
TIME:1350524814.88164711:	Transmitter data send (3)	0.00000500 sec
TIME:1350524815.05751801:	Calculation and result dump (2)	7.86028400 sec
TIME:1350524815.05753112:	Transmitter data send (2)	0.00000400 sec
TIME:1350524815.44449210:	Calculation and result dump (1)	8.23988800 sec
TIME:1350524815.44450593:	Transmitter data send (1)	0.00000500 sec
TIME:1350524821.76797390:	Calculation and result dump (0)	8.17488700 sec
TIME:1350524821.76798892:	Transmitter data send (0)	0.00000500 sec
TIME:1350524823.12382197:	Calculation and result dump (3)	8.24217100 sec
TIME:1350524823.12383509:	Transmitter data send (3)	0.00000400 sec
TIME:1350524823.28378606:	Calculation and result dump (2)	8.22625100 sec
TIME:1350524823.28379798:	Transmitter data send (2)	0.00000400 sec
TIME:1350524823.69119811:	Calculation and result dump (1)	8.24668800 sec
TIME:1350524823.69121194:	Transmitter data send (1)	0.00000400 sec
TIME:1350524829.91860604:	Calculation and result dump (0)	8.15061200 sec
TIME:1350524831.20979691:	Calculation and result dump (3)	8.08595800 sec
TIME:1350524831.35837698:	Calculation and result dump (2)	8.07457500 sec
TIME:1350524831.71071291:	Calculation and result dump (1)	8.01949700 sec
Process took 74 sec
