Number of processors:	128
Transmitters per processor:	5
Processes per node:	4
TIME:1350525749.18114805:	Read input data	9.95326900 sec
Spawning 128 workers to process 640 transmitters ...
TIME:1350525750.92548609:	Dynamic process spawning	1.74431000 sec
TIME:1350525795.56479812:	Common data distribution	44.63855400 sec
TIME:1350525795.56488395:	Transmitter data send (0)	0.00000500 sec
TIME:1350525795.56556392:	Transmitter data send (32)	0.00000500 sec
TIME:1350525795.56560707:	Transmitter data send (64)	0.00000500 sec
TIME:1350525795.56562495:	Transmitter data send (65)	0.00000800 sec
TIME:1350525795.56563997:	Transmitter data send (66)	0.00000500 sec
TIME:1350525795.56674600:	Transmitter data send (67)	0.00000400 sec
TIME:1350525795.56675911:	Transmitter data send (1)	0.00000300 sec
TIME:1350525795.56677389:	Transmitter data send (2)	0.00000400 sec
TIME:1350525795.56678510:	Transmitter data send (3)	0.00000300 sec
TIME:1350525795.56679797:	Transmitter data send (4)	0.00000400 sec
TIME:1350525795.56680989:	Transmitter data send (5)	0.00000500 sec
TIME:1350525795.56682491:	Transmitter data send (6)	0.00000700 sec
TIME:1350525795.56683612:	Transmitter data send (7)	0.00000400 sec
TIME:1350525795.56684804:	Transmitter data send (8)	0.00000400 sec
TIME:1350525795.56685901:	Transmitter data send (9)	0.00000300 sec
TIME:1350525795.56687307:	Transmitter data send (10)	0.00000600 sec
TIME:1350525795.56688499:	Transmitter data send (11)	0.00000400 sec
TIME:1350525795.56689692:	Transmitter data send (12)	0.00000400 sec
TIME:1350525795.56690907:	Transmitter data send (13)	0.00000400 sec
TIME:1350525795.56692410:	Transmitter data send (14)	0.00000700 sec
TIME:1350525795.56693506:	Transmitter data send (15)	0.00000400 sec
TIME:1350525795.56694794:	Transmitter data send (16)	0.00000400 sec
TIME:1350525795.56695890:	Transmitter data send (17)	0.00000400 sec
TIME:1350525795.56697392:	Transmitter data send (18)	0.00000700 sec
TIME:1350525795.56698608:	Transmitter data send (19)	0.00000400 sec
TIME:1350525795.56699896:	Transmitter data send (20)	0.00000400 sec
TIME:1350525795.56700993:	Transmitter data send (21)	0.00000400 sec
TIME:1350525795.56702495:	Transmitter data send (22)	0.00000400 sec
TIME:1350525795.56703711:	Transmitter data send (23)	0.00000400 sec
TIME:1350525795.56704903:	Transmitter data send (24)	0.00000400 sec
TIME:1350525795.56705999:	Transmitter data send (25)	0.00000300 sec
TIME:1350525795.56707597:	Transmitter data send (26)	0.00000500 sec
TIME:1350525795.56708694:	Transmitter data send (27)	0.00000400 sec
TIME:1350525795.56710100:	Transmitter data send (28)	0.00000400 sec
TIME:1350525795.56711197:	Transmitter data send (29)	0.00000400 sec
TIME:1350525795.56712699:	Transmitter data send (30)	0.00000400 sec
TIME:1350525795.56713891:	Transmitter data send (31)	0.00000400 sec
TIME:1350525795.56715012:	Transmitter data send (33)	0.00000400 sec
TIME:1350525795.56716204:	Transmitter data send (34)	0.00000400 sec
TIME:1350525795.56717610:	Transmitter data send (35)	0.00000400 sec
TIME:1350525795.56718898:	Transmitter data send (36)	0.00000400 sec
TIME:1350525795.56720090:	Transmitter data send (37)	0.00000400 sec
TIME:1350525795.56721401:	Transmitter data send (38)	0.00000400 sec
TIME:1350525795.56722808:	Transmitter data send (39)	0.00000400 sec
TIME:1350525795.56724095:	Transmitter data send (40)	0.00000400 sec
TIME:1350525795.56725192:	Transmitter data send (41)	0.00000400 sec
TIME:1350525795.56726408:	Transmitter data send (42)	0.00000400 sec
TIME:1350525795.56727791:	Transmitter data send (43)	0.00000400 sec
TIME:1350525795.56729102:	Transmitter data send (44)	0.00000400 sec
TIME:1350525795.56730199:	Transmitter data send (45)	0.00000300 sec
TIME:1350525795.56731606:	Transmitter data send (46)	0.00000400 sec
TIME:1350525795.56733990:	Transmitter data send (47)	0.00000500 sec
TIME:1350525795.56735396:	Transmitter data send (48)	0.00000400 sec
TIME:1350525795.56736588:	Transmitter data send (49)	0.00000400 sec
TIME:1350525795.56738210:	Transmitter data send (50)	0.00000400 sec
TIME:1350525795.56739402:	Transmitter data send (51)	0.00000400 sec
TIME:1350525795.56740689:	Transmitter data send (52)	0.00000400 sec
TIME:1350525795.56742096:	Transmitter data send (53)	0.00000600 sec
TIME:1350525795.56743407:	Transmitter data send (54)	0.00000400 sec
TIME:1350525795.56744599:	Transmitter data send (55)	0.00000400 sec
TIME:1350525795.56746101:	Transmitter data send (56)	0.00000400 sec
TIME:1350525795.56747508:	Transmitter data send (57)	0.00000400 sec
TIME:1350525795.56748891:	Transmitter data send (58)	0.00000400 sec
TIME:1350525795.56750107:	Transmitter data send (59)	0.00000400 sec
TIME:1350525795.56751394:	Transmitter data send (60)	0.00000500 sec
TIME:1350525795.56752801:	Transmitter data send (61)	0.00000400 sec
TIME:1350525795.56754088:	Transmitter data send (62)	0.00000400 sec
TIME:1350525795.56755304:	Transmitter data send (63)	0.00000400 sec
TIME:1350525795.56756592:	Transmitter data send (68)	0.00000400 sec
TIME:1350525795.56758094:	Transmitter data send (69)	0.00000500 sec
TIME:1350525795.56759405:	Transmitter data send (70)	0.00000400 sec
TIME:1350525795.56760502:	Transmitter data send (71)	0.00000400 sec
TIME:1350525795.56762004:	Transmitter data send (72)	0.00000600 sec
TIME:1350525795.56763291:	Transmitter data send (73)	0.00000400 sec
TIME:1350525795.56764603:	Transmitter data send (74)	0.00000400 sec
TIME:1350525795.56765795:	Transmitter data send (75)	0.00000400 sec
TIME:1350525795.56767297:	Transmitter data send (76)	0.00000700 sec
TIME:1350525795.56768489:	Transmitter data send (77)	0.00000400 sec
