Number of processors:	4
Transmitters per processor:	80
Processes per node:	4
TIME:1350550733.34451199:	Read input data	9.33609800 sec
Spawning 4 workers to process 320 transmitters ...
TIME:1350550734.75350308:	Dynamic process spawning	1.40896200 sec
TIME:1350550754.66938090:	Common data distribution	19.91549500 sec
TIME:1350550754.66944909:	Transmitter data send (0)	0.00000500 sec
TIME:1350550754.66965508:	Transmitter data send (2)	0.00000400 sec
TIME:1350550754.66966796:	Transmitter data send (1)	0.00000300 sec
TIME:1350550754.66968012:	Transmitter data send (3)	0.00000400 sec
TIME:1350550763.93825412:	Calculation and result dump (0)	9.26879000 sec
TIME:1350550763.93826890:	Transmitter data send (0)	0.00000400 sec
TIME:1350550765.07979608:	Calculation and result dump (3)	10.41011200 sec
TIME:1350550765.07980990:	Transmitter data send (3)	0.00000400 sec
TIME:1350550765.61219096:	Calculation and result dump (2)	10.94253000 sec
TIME:1350550765.61221099:	Transmitter data send (2)	0.00000600 sec
TIME:1350550765.61952305:	Calculation and result dump (1)	10.94985100 sec
TIME:1350550765.61953592:	Transmitter data send (1)	0.00000400 sec
TIME:1350550772.09386206:	Calculation and result dump (0)	8.15558800 sec
TIME:1350550772.09387589:	Transmitter data send (0)	0.00000500 sec
TIME:1350550773.30944705:	Calculation and result dump (3)	8.22963200 sec
TIME:1350550773.30945992:	Transmitter data send (3)	0.00000400 sec
TIME:1350550773.84559798:	Calculation and result dump (2)	8.23338300 sec
TIME:1350550773.84561110:	Transmitter data send (2)	0.00000400 sec
TIME:1350550773.84633708:	Calculation and result dump (1)	8.22679600 sec
TIME:1350550773.84634900:	Transmitter data send (1)	0.00000400 sec
TIME:1350550780.24409890:	Calculation and result dump (0)	8.15021900 sec
TIME:1350550780.24411201:	Transmitter data send (0)	0.00000400 sec
TIME:1350550781.52841592:	Calculation and result dump (3)	8.21895200 sec
TIME:1350550781.52842903:	Transmitter data send (3)	0.00000500 sec
TIME:1350550781.70589089:	Calculation and result dump (2)	7.86027600 sec
TIME:1350550781.70590401:	Transmitter data send (2)	0.00000400 sec
TIME:1350550782.08055711:	Calculation and result dump (1)	8.23420300 sec
TIME:1350550782.08056998:	Transmitter data send (1)	0.00000400 sec
TIME:1350550788.42052102:	Calculation and result dump (0)	8.17640400 sec
TIME:1350550788.42053509:	Transmitter data send (0)	0.00000500 sec
TIME:1350550789.76837707:	Calculation and result dump (3)	8.23994400 sec
TIME:1350550789.76838994:	Transmitter data send (3)	0.00000400 sec
TIME:1350550789.93227506:	Calculation and result dump (2)	8.22636600 sec
TIME:1350550789.93228698:	Transmitter data send (2)	0.00000400 sec
TIME:1350550790.32332897:	Calculation and result dump (1)	8.24275500 sec
TIME:1350550790.32334208:	Transmitter data send (1)	0.00000400 sec
TIME:1350550796.57257605:	Calculation and result dump (0)	8.15203700 sec
TIME:1350550796.57259011:	Transmitter data send (0)	0.00000500 sec
TIME:1350550797.98499298:	Calculation and result dump (3)	8.21659900 sec
TIME:1350550797.98500705:	Transmitter data send (3)	0.00000500 sec
TIME:1350550798.15590310:	Calculation and result dump (2)	8.22361200 sec
TIME:1350550798.15591598:	Transmitter data send (2)	0.00000500 sec
TIME:1350550798.55145597:	Calculation and result dump (1)	8.22811000 sec
TIME:1350550798.55146909:	Transmitter data send (1)	0.00000500 sec
TIME:1350550804.36008406:	Calculation and result dump (0)	7.78749000 sec
TIME:1350550804.36009908:	Transmitter data send (0)	0.00000400 sec
TIME:1350550806.20375800:	Calculation and result dump (3)	8.21874700 sec
TIME:1350550806.20376992:	Transmitter data send (3)	0.00000400 sec
TIME:1350550806.40501189:	Calculation and result dump (2)	8.24909200 sec
TIME:1350550806.40502405:	Transmitter data send (2)	0.00000400 sec
TIME:1350550806.81223202:	Calculation and result dump (1)	8.26075900 sec
TIME:1350550806.81224489:	Transmitter data send (1)	0.00000400 sec
TIME:1350550812.52139807:	Calculation and result dump (0)	8.16129500 sec
TIME:1350550812.52141190:	Transmitter data send (0)	0.00000400 sec
TIME:1350550814.43008709:	Calculation and result dump (3)	8.22631300 sec
TIME:1350550814.43009996:	Transmitter data send (3)	0.00000500 sec
TIME:1350550814.63583302:	Calculation and result dump (2)	8.23080500 sec
TIME:1350550814.63584590:	Transmitter data send (2)	0.00000500 sec
TIME:1350550815.04237604:	Calculation and result dump (1)	8.23012700 sec
TIME:1350550815.04239011:	Transmitter data send (1)	0.00000500 sec
TIME:1350550820.67540407:	Calculation and result dump (0)	8.15398800 sec
TIME:1350550820.67541695:	Transmitter data send (0)	0.00000400 sec
TIME:1350550822.49187994:	Calculation and result dump (2)	7.85603000 sec
TIME:1350550822.49189305:	Transmitter data send (2)	0.00000400 sec
TIME:1350550822.64504600:	Calculation and result dump (3)	8.21494200 sec
TIME:1350550822.64505911:	Transmitter data send (3)	0.00000400 sec
TIME:1350550823.27501607:	Calculation and result dump (1)	8.23262200 sec
TIME:1350550823.27502894:	Transmitter data send (1)	0.00000400 sec
TIME:1350550828.85562801:	Calculation and result dump (0)	8.18020600 sec
TIME:1350550828.85564208:	Transmitter data send (0)	0.00000500 sec
TIME:1350550830.74864507:	Calculation and result dump (2)	8.25674800 sec
TIME:1350550830.74865890:	Transmitter data send (2)	0.00000500 sec
TIME:1350550830.86176300:	Calculation and result dump (3)	8.21670000 sec
TIME:1350550830.86177611:	Transmitter data send (3)	0.00000400 sec
TIME:1350550831.52204204:	Calculation and result dump (1)	8.24700900 sec
TIME:1350550831.52205610:	Transmitter data send (1)	0.00000500 sec
TIME:1350550837.01162791:	Calculation and result dump (0)	8.15598200 sec
TIME:1350550837.01164198:	Transmitter data send (0)	0.00000400 sec
TIME:1350550838.97744894:	Calculation and result dump (2)	8.22878600 sec
TIME:1350550838.97746205:	Transmitter data send (2)	0.00000500 sec
TIME:1350550839.07470393:	Calculation and result dump (3)	8.21292300 sec
TIME:1350550839.07471704:	Transmitter data send (3)	0.00000400 sec
TIME:1350550839.75369692:	Calculation and result dump (1)	8.23163700 sec
TIME:1350550839.75371003:	Transmitter data send (1)	0.00000400 sec
TIME:1350550844.80270100:	Calculation and result dump (0)	7.79105500 sec
TIME:1350550844.80271506:	Transmitter data send (0)	0.00000500 sec
TIME:1350550847.20840406:	Calculation and result dump (2)	8.23093800 sec
TIME:1350550847.20841789:	Transmitter data send (2)	0.00000500 sec
TIME:1350550847.30929589:	Calculation and result dump (3)	8.23457500 sec
TIME:1350550847.30930901:	Transmitter data send (3)	0.00000400 sec
TIME:1350550848.01882792:	Calculation and result dump (1)	8.26511400 sec
TIME:1350550848.01884103:	Transmitter data send (1)	0.00000400 sec
TIME:1350550852.96934104:	Calculation and result dump (0)	8.16662200 sec
TIME:1350550852.96935391:	Transmitter data send (0)	0.00000400 sec
TIME:1350550855.44967389:	Calculation and result dump (2)	8.24125200 sec
TIME:1350550855.44968700:	Transmitter data send (2)	0.00000400 sec
TIME:1350550855.52438211:	Calculation and result dump (3)	8.21506900 sec
TIME:1350550855.52439499:	Transmitter data send (3)	0.00000500 sec
TIME:1350550856.25507998:	Calculation and result dump (1)	8.23623500 sec
TIME:1350550856.25509310:	Transmitter data send (1)	0.00000500 sec
TIME:1350550861.12742209:	Calculation and result dump (0)	8.15806400 sec
TIME:1350550861.12743592:	Transmitter data send (0)	0.00000500 sec
TIME:1350550863.36626410:	Calculation and result dump (3)	7.84186500 sec
TIME:1350550863.36627793:	Transmitter data send (3)	0.00000500 sec
TIME:1350550863.68154907:	Calculation and result dump (2)	8.23185800 sec
TIME:1350550863.68156290:	Transmitter data send (2)	0.00000500 sec
TIME:1350550864.49238491:	Calculation and result dump (1)	8.23728800 sec
TIME:1350550864.49239898:	Transmitter data send (1)	0.00000500 sec
TIME:1350550869.31164503:	Calculation and result dump (0)	8.18420400 sec
TIME:1350550869.31165910:	Transmitter data send (0)	0.00000400 sec
TIME:1350550871.60589194:	Calculation and result dump (3)	8.23961000 sec
TIME:1350550871.60590506:	Transmitter data send (3)	0.00000500 sec
TIME:1350550871.91363502:	Calculation and result dump (2)	8.23206800 sec
TIME:1350550871.91364789:	Transmitter data send (2)	0.00000400 sec
TIME:1350550872.74275708:	Calculation and result dump (1)	8.25035400 sec
TIME:1350550872.74276996:	Transmitter data send (1)	0.00000400 sec
TIME:1350550877.47080398:	Calculation and result dump (0)	8.15914100 sec
TIME:1350550877.47081804:	Transmitter data send (0)	0.00000500 sec
TIME:1350550879.82360101:	Calculation and result dump (3)	8.21769200 sec
TIME:1350550879.82361388:	Transmitter data send (3)	0.00000400 sec
TIME:1350550880.14200997:	Calculation and result dump (2)	8.22835800 sec
TIME:1350550880.14202309:	Transmitter data send (2)	0.00000500 sec
TIME:1350550880.97891498:	Calculation and result dump (1)	8.23614100 sec
TIME:1350550880.97892809:	Transmitter data send (1)	0.00000400 sec
TIME:1350550885.26322007:	Calculation and result dump (0)	7.79239800 sec
TIME:1350550885.26323295:	Transmitter data send (0)	0.00000400 sec
TIME:1350550888.04631495:	Calculation and result dump (3)	8.22269600 sec
TIME:1350550888.04632807:	Transmitter data send (3)	0.00000400 sec
TIME:1350550888.39759302:	Calculation and result dump (2)	8.25556600 sec
TIME:1350550888.39760590:	Transmitter data send (2)	0.00000400 sec
TIME:1350550889.24608898:	Calculation and result dump (1)	8.26715600 sec
TIME:1350550889.24610090:	Transmitter data send (1)	0.00000400 sec
TIME:1350550893.43063211:	Calculation and result dump (0)	8.16739500 sec
TIME:1350550893.43064594:	Transmitter data send (0)	0.00000500 sec
TIME:1350550896.27765107:	Calculation and result dump (3)	8.23131900 sec
TIME:1350550896.27766490:	Transmitter data send (3)	0.00000500 sec
TIME:1350550896.63625789:	Calculation and result dump (2)	8.23864800 sec
TIME:1350550896.63627100:	Transmitter data send (2)	0.00000500 sec
TIME:1350550897.48157096:	Calculation and result dump (1)	8.23546600 sec
TIME:1350550897.48158503:	Transmitter data send (1)	0.00000500 sec
TIME:1350550901.59059310:	Calculation and result dump (0)	8.15994300 sec
TIME:1350550901.59060907:	Transmitter data send (0)	0.00000400 sec
TIME:1350550904.49427700:	Calculation and result dump (3)	8.21660800 sec
TIME:1350550904.49429011:	Transmitter data send (3)	0.00000400 sec
TIME:1350550904.49790692:	Calculation and result dump (2)	7.86163200 sec
TIME:1350550904.49792004:	Transmitter data send (2)	0.00000500 sec
TIME:1350550905.71908808:	Calculation and result dump (1)	8.23749900 sec
TIME:1350550905.71910095:	Transmitter data send (1)	0.00000400 sec
TIME:1350550909.77985597:	Calculation and result dump (0)	8.18924200 sec
TIME:1350550909.77987003:	Transmitter data send (0)	0.00000400 sec
TIME:1350550912.72717595:	Calculation and result dump (2)	8.22925200 sec
TIME:1350550912.72719002:	Transmitter data send (2)	0.00000500 sec
TIME:1350550912.73655605:	Calculation and result dump (3)	8.24226200 sec
TIME:1350550912.73656893:	Transmitter data send (3)	0.00000400 sec
TIME:1350550913.96889400:	Calculation and result dump (1)	8.24978900 sec
TIME:1350550913.96890807:	Transmitter data send (1)	0.00000500 sec
TIME:1350550917.94379306:	Calculation and result dump (0)	8.16391800 sec
TIME:1350550917.94380689:	Transmitter data send (0)	0.00000400 sec
TIME:1350550920.95171809:	Calculation and result dump (3)	8.21514500 sec
TIME:1350550920.95173192:	Transmitter data send (3)	0.00000500 sec
TIME:1350550920.95759010:	Calculation and result dump (2)	8.23039600 sec
TIME:1350550920.95760202:	Transmitter data send (2)	0.00000400 sec
TIME:1350550922.20385504:	Calculation and result dump (1)	8.23494300 sec
TIME:1350550922.20386791:	Transmitter data send (1)	0.00000400 sec
TIME:1350550925.74098396:	Calculation and result dump (0)	7.79717300 sec
TIME:1350550925.74099898:	Transmitter data send (0)	0.00000600 sec
TIME:1350550929.17237306:	Calculation and result dump (3)	8.22063700 sec
TIME:1350550929.17239690:	Transmitter data send (3)	0.00000700 sec
TIME:1350550929.21047401:	Calculation and result dump (2)	8.25286800 sec
TIME:1350550929.21048689:	Transmitter data send (2)	0.00000400 sec
TIME:1350550930.46982002:	Calculation and result dump (1)	8.26594800 sec
TIME:1350550930.46983290:	Transmitter data send (1)	0.00000400 sec
TIME:1350550933.91436601:	Calculation and result dump (0)	8.17336300 sec
TIME:1350550933.91438007:	Transmitter data send (0)	0.00000400 sec
TIME:1350550937.40024996:	Calculation and result dump (3)	8.22784800 sec
TIME:1350550937.40026402:	Transmitter data send (3)	0.00000500 sec
TIME:1350550937.44585490:	Calculation and result dump (2)	8.23536400 sec
TIME:1350550937.44586802:	Transmitter data send (2)	0.00000400 sec
TIME:1350550938.70606208:	Calculation and result dump (1)	8.23622500 sec
TIME:1350550938.70607495:	Transmitter data send (1)	0.00000500 sec
TIME:1350550942.07942390:	Calculation and result dump (0)	8.16504000 sec
TIME:1350550942.07943797:	Transmitter data send (0)	0.00000500 sec
TIME:1350550945.30744791:	Calculation and result dump (2)	7.86157600 sec
TIME:1350550945.30746102:	Transmitter data send (2)	0.00000400 sec
TIME:1350550945.61950397:	Calculation and result dump (3)	8.21923600 sec
TIME:1350550945.61951709:	Transmitter data send (3)	0.00000400 sec
TIME:1350550946.94387889:	Calculation and result dump (1)	8.23780000 sec
TIME:1350550946.94389200:	Transmitter data send (1)	0.00000400 sec
TIME:1350550950.26979589:	Calculation and result dump (0)	8.19035400 sec
TIME:1350550950.26980901:	Transmitter data send (0)	0.00000400 sec
TIME:1350550953.56981111:	Calculation and result dump (2)	8.26234500 sec
TIME:1350550953.56982398:	Transmitter data send (2)	0.00000400 sec
TIME:1350550953.84096694:	Calculation and result dump (3)	8.22144600 sec
TIME:1350550953.84098005:	Transmitter data send (3)	0.00000500 sec
TIME:1350550955.19290805:	Calculation and result dump (1)	8.24901200 sec
TIME:1350550955.19292092:	Transmitter data send (1)	0.00000500 sec
TIME:1350550958.43465400:	Calculation and result dump (0)	8.16484100 sec
TIME:1350550958.43466806:	Transmitter data send (0)	0.00000400 sec
TIME:1350550961.80528498:	Calculation and result dump (2)	8.23545600 sec
TIME:1350550961.80529904:	Transmitter data send (2)	0.00000400 sec
TIME:1350550962.05962205:	Calculation and result dump (3)	8.21863800 sec
TIME:1350550962.05963397:	Transmitter data send (3)	0.00000400 sec
TIME:1350550963.42678690:	Calculation and result dump (1)	8.23386200 sec
TIME:1350550963.42679906:	Transmitter data send (1)	0.00000400 sec
TIME:1350550966.22802401:	Calculation and result dump (0)	7.79335200 sec
TIME:1350550966.22803712:	Transmitter data send (0)	0.00000400 sec
TIME:1350550970.04247594:	Calculation and result dump (2)	8.23717200 sec
TIME:1350550970.04249096:	Transmitter data send (2)	0.00000500 sec
TIME:1350550970.29692197:	Calculation and result dump (3)	8.23728400 sec
TIME:1350550970.29693890:	Transmitter data send (3)	0.00000500 sec
TIME:1350550971.69102001:	Calculation and result dump (1)	8.26421700 sec
TIME:1350550971.69103408:	Transmitter data send (1)	0.00000500 sec
TIME:1350550974.39559102:	Calculation and result dump (0)	8.16755000 sec
TIME:1350550974.39560604:	Transmitter data send (0)	0.00000500 sec
TIME:1350550978.28840089:	Calculation and result dump (2)	8.24590600 sec
TIME:1350550978.28841996:	Transmitter data send (2)	0.00000500 sec
TIME:1350550978.51324511:	Calculation and result dump (3)	8.21630100 sec
TIME:1350550978.51325893:	Transmitter data send (3)	0.00000500 sec
TIME:1350550979.92501497:	Calculation and result dump (1)	8.23397700 sec
TIME:1350550979.92502904:	Transmitter data send (1)	0.00000500 sec
TIME:1350550982.55554008:	Calculation and result dump (0)	8.15992900 sec
TIME:1350550982.55555511:	Transmitter data send (0)	0.00000400 sec
TIME:1350550986.35220790:	Calculation and result dump (3)	7.83894500 sec
TIME:1350550986.35222197:	Transmitter data send (3)	0.00000500 sec
TIME:1350550986.52413607:	Calculation and result dump (2)	8.23571100 sec
TIME:1350550986.52414894:	Transmitter data send (2)	0.00000400 sec
TIME:1350550988.16237092:	Calculation and result dump (1)	8.23733800 sec
TIME:1350550988.16238499:	Transmitter data send (1)	0.00000500 sec
TIME:1350550990.74440408:	Calculation and result dump (0)	8.18884500 sec
TIME:1350550990.74441695:	Transmitter data send (0)	0.00000500 sec
TIME:1350550994.59343410:	Calculation and result dump (3)	8.24120700 sec
TIME:1350550994.59344697:	Transmitter data send (3)	0.00000400 sec
TIME:1350550994.75488496:	Calculation and result dump (2)	8.23073100 sec
TIME:1350550994.75489712:	Transmitter data send (2)	0.00000400 sec
TIME:1350550996.40998697:	Calculation and result dump (1)	8.24759800 sec
TIME:1350550996.41000009:	Transmitter data send (1)	0.00000400 sec
TIME:1350550998.90411901:	Calculation and result dump (0)	8.15969800 sec
TIME:1350550998.90413404:	Transmitter data send (0)	0.00000500 sec
TIME:1350551002.81335902:	Calculation and result dump (3)	8.21990800 sec
TIME:1350551002.81337309:	Transmitter data send (3)	0.00000500 sec
TIME:1350551002.98206210:	Calculation and result dump (2)	8.22716100 sec
TIME:1350551002.98207498:	Transmitter data send (2)	0.00000500 sec
TIME:1350551004.64187193:	Calculation and result dump (1)	8.23186800 sec
TIME:1350551004.64188504:	Transmitter data send (1)	0.00000400 sec
TIME:1350551006.69334292:	Calculation and result dump (0)	7.78920500 sec
TIME:1350551006.69335604:	Transmitter data send (0)	0.00000400 sec
TIME:1350551011.03547597:	Calculation and result dump (3)	8.22209900 sec
TIME:1350551011.03548908:	Transmitter data send (3)	0.00000400 sec
TIME:1350551011.23363996:	Calculation and result dump (2)	8.25156100 sec
TIME:1350551011.23365688:	Transmitter data send (2)	0.00000500 sec
TIME:1350551012.90276694:	Calculation and result dump (1)	8.26087700 sec
