Number of processors:	128
Transmitters per processor:	40
Processes per node:	4
TIME:1350547761.91165590:	Read input data	18.68957300 sec
Spawning 128 workers to process 5120 transmitters ...
TIME:1350547763.65946698:	Dynamic process spawning	1.74778000 sec
TIME:1350547808.19835997:	Common data distribution	44.52760000 sec
TIME:1350547808.19844103:	Transmitter data send (0)	0.00000600 sec
TIME:1350547808.19897890:	Transmitter data send (3)	0.00000600 sec
TIME:1350547808.19899988:	Transmitter data send (2)	0.00000500 sec
TIME:1350547808.19917893:	Transmitter data send (32)	0.00000500 sec
TIME:1350547808.19919395:	Transmitter data send (1)	0.00000300 sec
TIME:1350547808.19920802:	Transmitter data send (64)	0.00000400 sec
TIME:1350547808.20023894:	Transmitter data send (65)	0.00000500 sec
TIME:1350547808.20025492:	Transmitter data send (4)	0.00000500 sec
TIME:1350547808.20026588:	Transmitter data send (5)	0.00000400 sec
TIME:1350547808.20027900:	Transmitter data send (6)	0.00000400 sec
TIME:1350547808.20029092:	Transmitter data send (7)	0.00000400 sec
TIME:1350547808.20030308:	Transmitter data send (8)	0.00000400 sec
TIME:1350547808.20031500:	Transmitter data send (9)	0.00000400 sec
TIME:1350547808.20032692:	Transmitter data send (10)	0.00000400 sec
TIME:1350547808.20033908:	Transmitter data send (11)	0.00000400 sec
TIME:1350547808.20035195:	Transmitter data send (12)	0.00000400 sec
TIME:1350547808.20036292:	Transmitter data send (13)	0.00000400 sec
TIME:1350547808.20037603:	Transmitter data send (14)	0.00000400 sec
TIME:1350547808.20038891:	Transmitter data send (15)	0.00000500 sec
TIME:1350547808.20040202:	Transmitter data send (16)	0.00000400 sec
TIME:1350547808.20041299:	Transmitter data send (17)	0.00000400 sec
TIME:1350547808.20042610:	Transmitter data send (18)	0.00000400 sec
TIME:1350547808.20043802:	Transmitter data send (19)	0.00000400 sec
TIME:1350547808.20045400:	Transmitter data send (20)	0.00000700 sec
TIME:1350547808.20046592:	Transmitter data send (21)	0.00000400 sec
TIME:1350547808.20047903:	Transmitter data send (22)	0.00000400 sec
TIME:1350547808.20049095:	Transmitter data send (23)	0.00000400 sec
TIME:1350547808.20050406:	Transmitter data send (24)	0.00000500 sec
TIME:1350547808.20051599:	Transmitter data send (25)	0.00000500 sec
TIME:1350547808.20052910:	Transmitter data send (26)	0.00000500 sec
TIME:1350547808.20054102:	Transmitter data send (27)	0.00000400 sec
TIME:1350547808.20055389:	Transmitter data send (28)	0.00000400 sec
TIME:1350547808.20056605:	Transmitter data send (29)	0.00000400 sec
TIME:1350547808.20057893:	Transmitter data send (30)	0.00000400 sec
TIME:1350547808.20059109:	Transmitter data send (31)	0.00000400 sec
TIME:1350547808.20060205:	Transmitter data send (33)	0.00000400 sec
TIME:1350547808.20061493:	Transmitter data send (34)	0.00000400 sec
TIME:1350547808.20062709:	Transmitter data send (35)	0.00000400 sec
TIME:1350547808.20064092:	Transmitter data send (36)	0.00000400 sec
TIME:1350547808.20065188:	Transmitter data send (37)	0.00000400 sec
TIME:1350547808.20066500:	Transmitter data send (38)	0.00000400 sec
TIME:1350547808.20067692:	Transmitter data send (39)	0.00000400 sec
TIME:1350547808.20068908:	Transmitter data send (40)	0.00000400 sec
TIME:1350547808.20070100:	Transmitter data send (41)	0.00000400 sec
TIME:1350547808.20071602:	Transmitter data send (42)	0.00000500 sec
TIME:1350547808.20072699:	Transmitter data send (43)	0.00000400 sec
TIME:1350547808.20074201:	Transmitter data send (44)	0.00000600 sec
TIME:1350547808.20075297:	Transmitter data send (45)	0.00000400 sec
TIME:1350547808.20076609:	Transmitter data send (46)	0.00000400 sec
TIME:1350547808.20077801:	Transmitter data send (47)	0.00000400 sec
TIME:1350547808.20078993:	Transmitter data send (48)	0.00000400 sec
TIME:1350547808.20080209:	Transmitter data send (49)	0.00000400 sec
TIME:1350547808.20081496:	Transmitter data send (50)	0.00000400 sec
TIME:1350547808.20082688:	Transmitter data send (51)	0.00000400 sec
TIME:1350547808.20084000:	Transmitter data send (52)	0.00000400 sec
TIME:1350547808.20085311:	Transmitter data send (53)	0.00000400 sec
TIME:1350547808.20086598:	Transmitter data send (54)	0.00000400 sec
TIME:1350547808.20087790:	Transmitter data send (55)	0.00000500 sec
TIME:1350547808.20089102:	Transmitter data send (56)	0.00000400 sec
TIME:1350547808.20090294:	Transmitter data send (57)	0.00000400 sec
TIME:1350547808.20091701:	Transmitter data send (58)	0.00000500 sec
TIME:1350547808.20092797:	Transmitter data send (59)	0.00000400 sec
TIME:1350547808.20094109:	Transmitter data send (60)	0.00000400 sec
TIME:1350547808.20095301:	Transmitter data send (61)	0.00000400 sec
TIME:1350547808.20096707:	Transmitter data send (62)	0.00000500 sec
TIME:1350547808.20097899:	Transmitter data send (63)	0.00000500 sec
TIME:1350547808.20099211:	Transmitter data send (66)	0.00000400 sec
TIME:1350547808.20100498:	Transmitter data send (67)	0.00000500 sec
TIME:1350547808.20101810:	Transmitter data send (68)	0.00000400 sec
TIME:1350547808.20103002:	Transmitter data send (69)	0.00000400 sec
TIME:1350547808.20104408:	Transmitter data send (70)	0.00000500 sec
TIME:1350547808.20105505:	Transmitter data send (71)	0.00000400 sec
TIME:1350547808.20106792:	Transmitter data send (72)	0.00000400 sec
TIME:1350547808.20108008:	Transmitter data send (73)	0.00000400 sec
TIME:1350547808.20109391:	Transmitter data send (74)	0.00000500 sec
TIME:1350547808.20110607:	Transmitter data send (75)	0.00000400 sec
TIME:1350547808.20111895:	Transmitter data send (76)	0.00000500 sec
TIME:1350547808.20113111:	Transmitter data send (77)	0.00000500 sec
TIME:1350547808.20114398:	Transmitter data send (78)	0.00000400 sec
TIME:1350547808.20115495:	Transmitter data send (79)	0.00000300 sec
TIME:1350547808.20116806:	Transmitter data send (80)	0.00000400 sec
TIME:1350547808.20118093:	Transmitter data send (81)	0.00000400 sec
TIME:1350547808.20119405:	Transmitter data send (82)	0.00000400 sec
TIME:1350547808.20120597:	Transmitter data send (83)	0.00000400 sec
TIME:1350547808.20121908:	Transmitter data send (84)	0.00000400 sec
TIME:1350547808.20123100:	Transmitter data send (85)	0.00000400 sec
TIME:1350547808.20124507:	Transmitter data send (86)	0.00000400 sec
TIME:1350547808.20125699:	Transmitter data send (87)	0.00000400 sec
TIME:1350547808.20127201:	Transmitter data send (88)	0.00000500 sec
TIME:1350547808.20128393:	Transmitter data send (89)	0.00000400 sec
TIME:1350547808.20129609:	Transmitter data send (90)	0.00000400 sec
TIME:1350547808.20130801:	Transmitter data send (91)	0.00000400 sec
TIME:1350547808.20132303:	Transmitter data send (92)	0.00000500 sec
TIME:1350547808.20133591:	Transmitter data send (93)	0.00000500 sec
TIME:1350547808.20134902:	Transmitter data send (94)	0.00000400 sec
TIME:1350547808.20135999:	Transmitter data send (95)	0.00000400 sec
TIME:1350547808.20137310:	Transmitter data send (96)	0.00000400 sec
TIME:1350547808.20138597:	Transmitter data send (97)	0.00000400 sec
TIME:1350547808.20139790:	Transmitter data send (98)	0.00000400 sec
TIME:1350547808.20140910:	Transmitter data send (99)	0.00000400 sec
TIME:1350547808.20142102:	Transmitter data send (100)	0.00000400 sec
TIME:1350547808.20143390:	Transmitter data send (101)	0.00000400 sec
TIME:1350547808.20144606:	Transmitter data send (102)	0.00000300 sec
TIME:1350547808.20147395:	Transmitter data send (103)	0.00000400 sec
TIME:1350547808.20149112:	Transmitter data send (104)	0.00000500 sec
TIME:1350547808.20150208:	Transmitter data send (105)	0.00000400 sec
TIME:1350547808.20151401:	Transmitter data send (106)	0.00000400 sec
TIME:1350547808.20152497:	Transmitter data send (107)	0.00000300 sec
TIME:1350547808.20153809:	Transmitter data send (108)	0.00000400 sec
TIME:1350547808.20154905:	Transmitter data send (109)	0.00000400 sec
TIME:1350547808.20156193:	Transmitter data send (110)	0.00000400 sec
TIME:1350547808.20157290:	Transmitter data send (111)	0.00000400 sec
TIME:1350547808.20158601:	Transmitter data send (112)	0.00000400 sec
TIME:1350547808.20159698:	Transmitter data send (113)	0.00000300 sec
TIME:1350547808.20161009:	Transmitter data send (114)	0.00000300 sec
TIME:1350547808.20162106:	Transmitter data send (115)	0.00000300 sec
TIME:1350547808.20163608:	Transmitter data send (120)	0.00000500 sec
TIME:1350547808.20164704:	Transmitter data send (121)	0.00000300 sec
TIME:1350547808.20165992:	Transmitter data send (122)	0.00000400 sec
TIME:1350547808.20167089:	Transmitter data send (123)	0.00000400 sec
TIME:1350547808.20169210:	Transmitter data send (124)	0.00000400 sec
TIME:1350547808.20170498:	Transmitter data send (116)	0.00000400 sec
TIME:1350547808.20171595:	Transmitter data send (117)	0.00000400 sec
TIME:1350547808.20172811:	Transmitter data send (118)	0.00000400 sec
TIME:1350547808.20174098:	Transmitter data send (119)	0.00000500 sec
TIME:1350547808.20175099:	Transmitter data send (125)	0.00000300 sec
TIME:1350547808.20176291:	Transmitter data send (126)	0.00000300 sec
TIME:1350547808.20177388:	Transmitter data send (127)	0.00000300 sec
TIME:1350547817.46378899:	Calculation and result dump (58)	9.26286800 sec
TIME:1350547817.46380305:	Transmitter data send (58)	0.00000400 sec
TIME:1350547817.46633792:	Calculation and result dump (38)	9.26566900 sec
TIME:1350547817.46635103:	Transmitter data send (38)	0.00000500 sec
TIME:1350547817.46934390:	Calculation and result dump (124)	9.26764700 sec
TIME:1350547817.46935701:	Transmitter data send (124)	0.00000500 sec
TIME:1350547817.46962810:	Calculation and result dump (70)	9.26858000 sec
TIME:1350547817.46963906:	Transmitter data send (70)	0.00000400 sec
TIME:1350547817.46983600:	Calculation and result dump (110)	9.26827000 sec
TIME:1350547817.46984696:	Transmitter data send (110)	0.00000400 sec
TIME:1350547817.47016096:	Calculation and result dump (100)	9.26873600 sec
TIME:1350547817.47017097:	Transmitter data send (100)	0.00000400 sec
