Number of processors:	4
Transmitters per processor:	5
Processes per node:	4
TIME:1350524692.39529204:	Read input data	8.75405800 sec
Spawning 4 workers to process 20 transmitters ...
TIME:1350524693.80923891:	Dynamic process spawning	1.41391700 sec
TIME:1350524713.73508000:	Common data distribution	19.91667900 sec
TIME:1350524713.73515606:	Transmitter data send (0)	0.00000500 sec
TIME:1350524713.73535800:	Transmitter data send (2)	0.00000500 sec
TIME:1350524713.73537111:	Transmitter data send (1)	0.00000400 sec
TIME:1350524713.73538399:	Transmitter data send (3)	0.00000500 sec
TIME:1350524723.00390291:	Calculation and result dump (0)	9.26874100 sec
TIME:1350524723.00391793:	Transmitter data send (0)	0.00000400 sec
TIME:1350524724.14801002:	Calculation and result dump (3)	10.41262200 sec
TIME:1350524724.14802408:	Transmitter data send (3)	0.00000400 sec
TIME:1350524724.68406200:	Calculation and result dump (1)	10.94868600 sec
TIME:1350524724.68407607:	Transmitter data send (1)	0.00000400 sec
TIME:1350524724.68939590:	Calculation and result dump (2)	10.95403200 sec
TIME:1350524724.68940997:	Transmitter data send (2)	0.00000500 sec
TIME:1350524731.15718889:	Calculation and result dump (0)	8.15326600 sec
TIME:1350524731.15720892:	Transmitter data send (0)	0.00000500 sec
TIME:1350524732.37977695:	Calculation and result dump (3)	8.23174800 sec
TIME:1350524732.37979007:	Transmitter data send (3)	0.00000400 sec
TIME:1350524732.90180707:	Calculation and result dump (1)	8.21772700 sec
TIME:1350524732.90181994:	Transmitter data send (1)	0.00000400 sec
TIME:1350524732.93273807:	Calculation and result dump (2)	8.24332400 sec
TIME:1350524732.93275094:	Transmitter data send (2)	0.00000400 sec
TIME:1350524739.30716705:	Calculation and result dump (0)	8.14995300 sec
TIME:1350524739.30718088:	Transmitter data send (0)	0.00000400 sec
TIME:1350524740.59875894:	Calculation and result dump (3)	8.21896400 sec
TIME:1350524740.59877396:	Transmitter data send (3)	0.00000500 sec
TIME:1350524740.75264597:	Calculation and result dump (1)	7.85082200 sec
TIME:1350524740.75265908:	Transmitter data send (1)	0.00000400 sec
TIME:1350524741.18533301:	Calculation and result dump (2)	8.25257800 sec
TIME:1350524741.18534589:	Transmitter data send (2)	0.00000400 sec
TIME:1350524747.48165011:	Calculation and result dump (0)	8.17446500 sec
TIME:1350524747.48166490:	Transmitter data send (0)	0.00000500 sec
TIME:1350524748.84091210:	Calculation and result dump (3)	8.24213400 sec
TIME:1350524748.84092498:	Transmitter data send (3)	0.00000400 sec
TIME:1350524748.97027302:	Calculation and result dump (1)	8.21761000 sec
TIME:1350524748.97028494:	Transmitter data send (1)	0.00000400 sec
TIME:1350524749.44472694:	Calculation and result dump (2)	8.25937700 sec
TIME:1350524749.44474006:	Transmitter data send (2)	0.00000400 sec
TIME:1350524755.63223505:	Calculation and result dump (0)	8.15056600 sec
TIME:1350524756.92692900:	Calculation and result dump (3)	8.08600000 sec
TIME:1350524757.04028893:	Calculation and result dump (1)	8.07000000 sec
TIME:1350524757.46902609:	Calculation and result dump (2)	8.02428200 sec
Process took 74 sec
