Number of processors:	64
Transmitters per processor:	5
Processes per node:	4
TIME:1350525433.03738499:	Read input data	9.33444100 sec
Spawning 64 workers to process 320 transmitters ...
TIME:1350525440.59301805:	Dynamic process spawning	7.55560500 sec
TIME:1350525485.67958212:	Common data distribution	45.08587300 sec
TIME:1350525485.67965293:	Transmitter data send (0)	0.00000600 sec
TIME:1350525485.68005705:	Transmitter data send (3)	0.00000500 sec
TIME:1350525485.68007398:	Transmitter data send (1)	0.00000500 sec
TIME:1350525485.68008590:	Transmitter data send (2)	0.00000400 sec
TIME:1350525485.68060493:	Transmitter data send (32)	0.00000400 sec
TIME:1350525485.68062091:	Transmitter data send (4)	0.00000400 sec
TIME:1350525485.68063307:	Transmitter data send (5)	0.00000400 sec
TIME:1350525485.68064904:	Transmitter data send (6)	0.00000500 sec
TIME:1350525485.68066096:	Transmitter data send (7)	0.00000400 sec
TIME:1350525485.68067408:	Transmitter data send (8)	0.00000400 sec
TIME:1350525485.68068600:	Transmitter data send (9)	0.00000400 sec
TIME:1350525485.68070197:	Transmitter data send (10)	0.00000500 sec
TIME:1350525485.68071389:	Transmitter data send (11)	0.00000400 sec
TIME:1350525485.68072701:	Transmitter data send (12)	0.00000400 sec
TIME:1350525485.68074203:	Transmitter data send (13)	0.00000700 sec
TIME:1350525485.68075609:	Transmitter data send (14)	0.00000400 sec
TIME:1350525485.68076801:	Transmitter data send (15)	0.00000300 sec
TIME:1350525485.68078208:	Transmitter data send (16)	0.00000500 sec
TIME:1350525485.68079591:	Transmitter data send (17)	0.00000400 sec
TIME:1350525485.68080997:	Transmitter data send (18)	0.00000500 sec
TIME:1350525485.68082309:	Transmitter data send (19)	0.00000400 sec
TIME:1350525485.68083596:	Transmitter data send (20)	0.00000400 sec
TIME:1350525485.68085098:	Transmitter data send (21)	0.00000400 sec
TIME:1350525485.68086505:	Transmitter data send (22)	0.00000500 sec
TIME:1350525485.68087697:	Transmitter data send (23)	0.00000400 sec
TIME:1350525485.68089294:	Transmitter data send (24)	0.00000700 sec
TIME:1350525485.68090510:	Transmitter data send (25)	0.00000400 sec
TIME:1350525485.68091893:	Transmitter data send (26)	0.00000500 sec
TIME:1350525485.68093204:	Transmitter data send (27)	0.00000400 sec
TIME:1350525485.68094802:	Transmitter data send (31)	0.00000400 sec
TIME:1350525485.68096089:	Transmitter data send (33)	0.00000400 sec
TIME:1350525485.68097496:	Transmitter data send (34)	0.00000500 sec
TIME:1350525485.68098998:	Transmitter data send (35)	0.00000700 sec
TIME:1350525485.68100691:	Transmitter data send (36)	0.00000500 sec
TIME:1350525485.68101907:	Transmitter data send (37)	0.00000400 sec
TIME:1350525485.68103290:	Transmitter data send (38)	0.00000500 sec
TIME:1350525485.68104696:	Transmitter data send (39)	0.00000400 sec
TIME:1350525485.68106198:	Transmitter data send (40)	0.00000500 sec
TIME:1350525485.68107390:	Transmitter data send (41)	0.00000400 sec
TIME:1350525485.68109012:	Transmitter data send (42)	0.00000600 sec
TIME:1350525485.68110299:	Transmitter data send (43)	0.00000400 sec
TIME:1350525485.68111706:	Transmitter data send (44)	0.00000500 sec
TIME:1350525485.68112993:	Transmitter data send (45)	0.00000500 sec
TIME:1350525485.68114710:	Transmitter data send (46)	0.00000500 sec
TIME:1350525485.68115997:	Transmitter data send (47)	0.00000500 sec
TIME:1350525485.68117404:	Transmitter data send (48)	0.00000400 sec
