Number of processors:	32
Transmitters per processor:	10
Processes per node:	4
TIME:1350527179.07355905:	Read input data	9.32142700 sec
Spawning 32 workers to process 320 transmitters ...
TIME:1350527180.54601598:	Dynamic process spawning	1.47242900 sec
TIME:1350527225.23122501:	Common data distribution	44.68468200 sec
TIME:1350527225.23129010:	Transmitter data send (0)	0.00000500 sec
TIME:1350527225.23204708:	Transmitter data send (1)	0.00000500 sec
TIME:1350527225.23206401:	Transmitter data send (2)	0.00000400 sec
TIME:1350527225.23207593:	Transmitter data send (3)	0.00000400 sec
TIME:1350527225.23208904:	Transmitter data send (4)	0.00000400 sec
TIME:1350527225.23211002:	Transmitter data send (5)	0.00000400 sec
TIME:1350527225.23212409:	Transmitter data send (6)	0.00000400 sec
TIME:1350527225.23213506:	Transmitter data send (7)	0.00000400 sec
TIME:1350527225.23215890:	Transmitter data send (8)	0.00000500 sec
TIME:1350527225.23217106:	Transmitter data send (9)	0.00000400 sec
TIME:1350527225.23218393:	Transmitter data send (10)	0.00000400 sec
TIME:1350527225.23220801:	Transmitter data send (11)	0.00001700 sec
TIME:1350527225.23222399:	Transmitter data send (12)	0.00000400 sec
TIME:1350527225.23223591:	Transmitter data send (13)	0.00000400 sec
TIME:1350527225.23225689:	Transmitter data send (14)	0.00000400 sec
TIME:1350527225.23227000:	Transmitter data send (15)	0.00000400 sec
TIME:1350527225.23228407:	Transmitter data send (16)	0.00000400 sec
TIME:1350527225.23230600:	Transmitter data send (17)	0.00001400 sec
TIME:1350527225.23232007:	Transmitter data send (18)	0.00000400 sec
TIME:1350527225.23233199:	Transmitter data send (19)	0.00000400 sec
TIME:1350527225.23234510:	Transmitter data send (20)	0.00000400 sec
TIME:1350527225.23236299:	Transmitter data send (21)	0.00000400 sec
TIME:1350527225.23237705:	Transmitter data send (22)	0.00000400 sec
TIME:1350527225.23238897:	Transmitter data send (23)	0.00000400 sec
TIME:1350527225.23240805:	Transmitter data send (24)	0.00000500 sec
TIME:1350527225.23241997:	Transmitter data send (25)	0.00000400 sec
TIME:1350527225.23243403:	Transmitter data send (26)	0.00000400 sec
TIME:1350527225.23245597:	Transmitter data send (27)	0.00001400 sec
TIME:1350527225.23247004:	Transmitter data send (28)	0.00000500 sec
TIME:1350527225.23248291:	Transmitter data send (31)	0.00000400 sec
TIME:1350527225.23250604:	Transmitter data send (29)	0.00001100 sec
TIME:1350527225.23251891:	Transmitter data send (30)	0.00000500 sec
TIME:1350527234.50027490:	Calculation and result dump (10)	9.26808700 sec
TIME:1350527234.50028992:	Transmitter data send (10)	0.00000500 sec
TIME:1350527234.50186205:	Calculation and result dump (29)	9.26935100 sec
TIME:1350527234.50187492:	Transmitter data send (29)	0.00000400 sec
TIME:1350527234.50378394:	Calculation and result dump (0)	9.27248800 sec
TIME:1350527234.50379610:	Transmitter data send (0)	0.00000400 sec
TIME:1350527234.50788903:	Calculation and result dump (20)	9.27553400 sec
TIME:1350527234.50790095:	Transmitter data send (20)	0.00000400 sec
TIME:1350527235.32124090:	Calculation and result dump (24)	10.08882900 sec
TIME:1350527235.32125401:	Transmitter data send (24)	0.00000400 sec
TIME:1350527235.32416296:	Calculation and result dump (16)	10.09187400 sec
TIME:1350527235.32417488:	Transmitter data send (16)	0.00000400 sec
