Number of processors:	16
Transmitters per processor:	5
Processes per node:	4
TIME:1350525131.71038890:	Read input data	8.87128800 sec
Spawning 16 workers to process 80 transmitters ...
TIME:1350525133.13890696:	Dynamic process spawning	1.42848900 sec
TIME:1350525175.34482408:	Common data distribution	42.20549600 sec
TIME:1350525175.34489298:	Transmitter data send (0)	0.00000500 sec
TIME:1350525175.34533405:	Transmitter data send (2)	0.00000500 sec
TIME:1350525175.34534788:	Transmitter data send (1)	0.00000400 sec
TIME:1350525175.34536004:	Transmitter data send (3)	0.00000400 sec
TIME:1350525175.34538007:	Transmitter data send (4)	0.00000500 sec
TIME:1350525175.34539199:	Transmitter data send (5)	0.00000500 sec
TIME:1350525175.34540606:	Transmitter data send (6)	0.00000500 sec
TIME:1350525175.34541798:	Transmitter data send (7)	0.00000500 sec
TIME:1350525175.34543395:	Transmitter data send (8)	0.00000800 sec
TIME:1350525175.34544706:	Transmitter data send (9)	0.00000400 sec
TIME:1350525175.34545898:	Transmitter data send (10)	0.00000400 sec
TIME:1350525175.34547091:	Transmitter data send (11)	0.00000400 sec
TIME:1350525175.34549093:	Transmitter data send (12)	0.00000400 sec
TIME:1350525175.34550309:	Transmitter data send (13)	0.00000300 sec
TIME:1350525175.34551811:	Transmitter data send (14)	0.00000600 sec
TIME:1350525175.34554005:	Transmitter data send (15)	0.00001200 sec
TIME:1350525184.61551189:	Calculation and result dump (10)	9.27004800 sec
TIME:1350525184.61552811:	Transmitter data send (10)	0.00000500 sec
TIME:1350525184.62277603:	Calculation and result dump (0)	9.27787700 sec
TIME:1350525184.62278891:	Transmitter data send (0)	0.00000400 sec
TIME:1350525185.43482709:	Calculation and result dump (6)	10.08941700 sec
TIME:1350525185.43484092:	Transmitter data send (6)	0.00000500 sec
TIME:1350525185.43787003:	Calculation and result dump (14)	10.09234800 sec
TIME:1350525185.43788290:	Transmitter data send (14)	0.00000400 sec
TIME:1350525185.44396806:	Calculation and result dump (4)	10.09858400 sec
TIME:1350525185.44397998:	Transmitter data send (4)	0.00000400 sec
TIME:1350525185.45366192:	Calculation and result dump (5)	10.10826600 sec
TIME:1350525185.45367503:	Transmitter data send (5)	0.00000400 sec
TIME:1350525185.46868992:	Calculation and result dump (15)	10.12314500 sec
TIME:1350525185.46870208:	Transmitter data send (15)	0.00000400 sec
TIME:1350525185.51030302:	Calculation and result dump (8)	10.16486400 sec
TIME:1350525185.51031590:	Transmitter data send (8)	0.00000400 sec
TIME:1350525185.52600193:	Calculation and result dump (7)	10.18058000 sec
TIME:1350525185.52601504:	Transmitter data send (7)	0.00000400 sec
TIME:1350525185.53411102:	Calculation and result dump (9)	10.18866000 sec
TIME:1350525185.53412390:	Transmitter data send (9)	0.00000500 sec
TIME:1350525185.75800395:	Calculation and result dump (13)	10.41249700 sec
TIME:1350525185.75801802:	Transmitter data send (13)	0.00000400 sec
TIME:1350525185.75896907:	Calculation and result dump (3)	10.41359900 sec
TIME:1350525185.75898194:	Transmitter data send (3)	0.00000400 sec
TIME:1350525186.26952600:	Calculation and result dump (11)	10.92405100 sec
TIME:1350525186.26953912:	Transmitter data send (11)	0.00000500 sec
TIME:1350525186.29529500:	Calculation and result dump (2)	10.94995500 sec
TIME:1350525186.29530811:	Transmitter data send (2)	0.00000500 sec
TIME:1350525186.29772806:	Calculation and result dump (1)	10.95237500 sec
TIME:1350525186.29774094:	Transmitter data send (1)	0.00000500 sec
TIME:1350525186.30633998:	Calculation and result dump (12)	10.96084400 sec
TIME:1350525186.30635309:	Transmitter data send (12)	0.00000400 sec
TIME:1350525192.77188897:	Calculation and result dump (10)	8.15635600 sec
TIME:1350525192.77190208:	Transmitter data send (10)	0.00000400 sec
TIME:1350525192.78641701:	Calculation and result dump (0)	8.16362400 sec
TIME:1350525192.78642988:	Transmitter data send (0)	0.00000400 sec
