Number of processors:	4
Transmitters per processor:	80
Processes per node:	4
TIME:1350551422.72768211:	Read input data	9.33579700 sec
Spawning 4 workers to process 320 transmitters ...
TIME:1350551424.13986993:	Dynamic process spawning	1.41215900 sec
TIME:1350551444.05882406:	Common data distribution	19.91854900 sec
TIME:1350551444.05889797:	Transmitter data send (0)	0.00000500 sec
TIME:1350551444.05910110:	Transmitter data send (1)	0.00000500 sec
TIME:1350551444.05911803:	Transmitter data send (2)	0.00000400 sec
TIME:1350551444.05912995:	Transmitter data send (3)	0.00000400 sec
TIME:1350551453.32635307:	Calculation and result dump (0)	9.26744400 sec
TIME:1350551453.32636809:	Transmitter data send (0)	0.00000500 sec
TIME:1350551454.47750092:	Calculation and result dump (3)	10.41836700 sec
TIME:1350551454.47751498:	Transmitter data send (3)	0.00000500 sec
TIME:1350551455.01267505:	Calculation and result dump (2)	10.95355300 sec
TIME:1350551455.01268911:	Transmitter data send (2)	0.00000500 sec
TIME:1350551455.02028489:	Calculation and result dump (1)	10.96117900 sec
TIME:1350551455.02029800:	Transmitter data send (1)	0.00000500 sec
TIME:1350551461.47877502:	Calculation and result dump (0)	8.15240300 sec
TIME:1350551461.47879004:	Transmitter data send (0)	0.00000500 sec
TIME:1350551462.71624494:	Calculation and result dump (3)	8.23872600 sec
TIME:1350551462.71625900:	Transmitter data send (3)	0.00000500 sec
TIME:1350551463.23650289:	Calculation and result dump (2)	8.22381000 sec
TIME:1350551463.23651505:	Transmitter data send (2)	0.00000400 sec
TIME:1350551463.24104095:	Calculation and result dump (1)	8.22073900 sec
TIME:1350551463.24105310:	Transmitter data send (1)	0.00000400 sec
TIME:1350551469.62636709:	Calculation and result dump (0)	8.14757300 sec
TIME:1350551469.62637997:	Transmitter data send (0)	0.00000400 sec
TIME:1350551470.94277096:	Calculation and result dump (3)	8.22650800 sec
TIME:1350551470.94278407:	Transmitter data send (3)	0.00000500 sec
TIME:1350551471.09462309:	Calculation and result dump (2)	7.85810300 sec
TIME:1350551471.09463596:	Transmitter data send (2)	0.00000500 sec
TIME:1350551471.47124910:	Calculation and result dump (1)	8.23019200 sec
TIME:1350551471.47126198:	Transmitter data send (1)	0.00000500 sec
TIME:1350551477.80021691:	Calculation and result dump (0)	8.17383300 sec
TIME:1350551477.80023098:	Transmitter data send (0)	0.00000400 sec
TIME:1350551479.19240689:	Calculation and result dump (3)	8.24961900 sec
TIME:1350551479.19241905:	Transmitter data send (3)	0.00000400 sec
TIME:1350551479.31785703:	Calculation and result dump (2)	8.22321700 sec
TIME:1350551479.31786895:	Transmitter data send (2)	0.00000300 sec
TIME:1350551479.70829701:	Calculation and result dump (1)	8.23703100 sec
TIME:1350551479.70830894:	Transmitter data send (1)	0.00000400 sec
TIME:1350551485.94996405:	Calculation and result dump (0)	8.14972800 sec
TIME:1350551485.94997692:	Transmitter data send (0)	0.00000400 sec
TIME:1350551487.41794300:	Calculation and result dump (3)	8.22552000 sec
TIME:1350551487.41795707:	Transmitter data send (3)	0.00000500 sec
TIME:1350551487.54094005:	Calculation and result dump (2)	8.22306600 sec
TIME:1350551487.54095292:	Transmitter data send (2)	0.00000400 sec
TIME:1350551487.93075299:	Calculation and result dump (1)	8.22244000 sec
TIME:1350551487.93076611:	Transmitter data send (1)	0.00000500 sec
TIME:1350551493.73517895:	Calculation and result dump (0)	7.78519800 sec
TIME:1350551493.73519301:	Transmitter data send (0)	0.00000400 sec
TIME:1350551495.64656997:	Calculation and result dump (3)	8.22860900 sec
TIME:1350551495.64658308:	Transmitter data send (3)	0.00000400 sec
TIME:1350551495.78480911:	Calculation and result dump (2)	8.24385200 sec
TIME:1350551495.78482199:	Transmitter data send (2)	0.00000400 sec
TIME:1350551496.18690491:	Calculation and result dump (1)	8.25613500 sec
TIME:1350551496.18691707:	Transmitter data send (1)	0.00000400 sec
TIME:1350551501.89307189:	Calculation and result dump (0)	8.15787500 sec
TIME:1350551501.89308596:	Transmitter data send (0)	0.00000500 sec
TIME:1350551503.88229108:	Calculation and result dump (3)	8.23570400 sec
TIME:1350551503.88230491:	Transmitter data send (3)	0.00000500 sec
TIME:1350551504.00875092:	Calculation and result dump (2)	8.22392500 sec
TIME:1350551504.00876307:	Transmitter data send (2)	0.00000400 sec
TIME:1350551504.41232204:	Calculation and result dump (1)	8.22540100 sec
TIME:1350551504.41233611:	Transmitter data send (1)	0.00000500 sec
TIME:1350551510.04528999:	Calculation and result dump (0)	8.15220000 sec
TIME:1350551510.04530406:	Transmitter data send (0)	0.00000400 sec
TIME:1350551511.86353803:	Calculation and result dump (2)	7.85477000 sec
TIME:1350551511.86355090:	Transmitter data send (2)	0.00000400 sec
TIME:1350551512.10727501:	Calculation and result dump (3)	8.22496500 sec
TIME:1350551512.10728693:	Transmitter data send (3)	0.00000400 sec
TIME:1350551512.63970304:	Calculation and result dump (1)	8.22736300 sec
TIME:1350551512.63971591:	Transmitter data send (1)	0.00000400 sec
TIME:1350551518.22283292:	Calculation and result dump (0)	8.17752500 sec
TIME:1350551518.22284698:	Transmitter data send (0)	0.00000500 sec
TIME:1350551520.11629009:	Calculation and result dump (2)	8.25273500 sec
TIME:1350551520.11630297:	Transmitter data send (2)	0.00000400 sec
TIME:1350551520.33547401:	Calculation and result dump (3)	8.22818300 sec
TIME:1350551520.33548689:	Transmitter data send (3)	0.00000500 sec
TIME:1350551520.87935090:	Calculation and result dump (1)	8.23963000 sec
TIME:1350551520.87936401:	Transmitter data send (1)	0.00000400 sec
TIME:1350551526.37664008:	Calculation and result dump (0)	8.15378900 sec
TIME:1350551526.37665391:	Transmitter data send (0)	0.00000400 sec
TIME:1350551528.34060001:	Calculation and result dump (2)	8.22429300 sec
TIME:1350551528.34061289:	Transmitter data send (2)	0.00000400 sec
TIME:1350551528.55857706:	Calculation and result dump (3)	8.22308600 sec
TIME:1350551528.55858898:	Transmitter data send (3)	0.00000400 sec
TIME:1350551529.10542488:	Calculation and result dump (1)	8.22605700 sec
TIME:1350551529.10543704:	Transmitter data send (1)	0.00000400 sec
TIME:1350551534.16479492:	Calculation and result dump (0)	7.78813700 sec
TIME:1350551534.16480899:	Transmitter data send (0)	0.00000500 sec
TIME:1350551536.56767511:	Calculation and result dump (2)	8.22705800 sec
TIME:1350551536.56768894:	Transmitter data send (2)	0.00000400 sec
TIME:1350551536.80519295:	Calculation and result dump (3)	8.24660000 sec
TIME:1350551536.80521107:	Transmitter data send (3)	0.00000500 sec
TIME:1350551537.36407304:	Calculation and result dump (1)	8.25863200 sec
TIME:1350551537.36408591:	Transmitter data send (1)	0.00000400 sec
TIME:1350551542.32689810:	Calculation and result dump (0)	8.16208500 sec
TIME:1350551542.32691097:	Transmitter data send (0)	0.00000400 sec
TIME:1350551544.80755305:	Calculation and result dump (2)	8.23986000 sec
TIME:1350551544.80756593:	Transmitter data send (2)	0.00000400 sec
TIME:1350551545.03195810:	Calculation and result dump (3)	8.22674200 sec
TIME:1350551545.03197002:	Transmitter data send (3)	0.00000400 sec
TIME:1350551545.59327006:	Calculation and result dump (1)	8.22918000 sec
TIME:1350551545.59328198:	Transmitter data send (1)	0.00000300 sec
TIME:1350551550.48289299:	Calculation and result dump (0)	8.15597800 sec
TIME:1350551550.48290706:	Transmitter data send (0)	0.00000500 sec
TIME:1350551552.88300800:	Calculation and result dump (3)	7.85103400 sec
TIME:1350551552.88302207:	Transmitter data send (3)	0.00000500 sec
TIME:1350551553.03545189:	Calculation and result dump (2)	8.22788200 sec
TIME:1350551553.03546500:	Transmitter data send (2)	0.00000500 sec
TIME:1350551553.82502794:	Calculation and result dump (1)	8.23174200 sec
TIME:1350551553.82504201:	Transmitter data send (1)	0.00000500 sec
TIME:1350551558.66713595:	Calculation and result dump (0)	8.18422500 sec
TIME:1350551558.66714907:	Transmitter data send (0)	0.00000400 sec
TIME:1350551561.13361311:	Calculation and result dump (3)	8.25058700 sec
TIME:1350551561.13362598:	Transmitter data send (3)	0.00000400 sec
TIME:1350551561.26352406:	Calculation and result dump (2)	8.22805500 sec
TIME:1350551561.26353693:	Transmitter data send (2)	0.00000500 sec
TIME:1350551562.06957603:	Calculation and result dump (1)	8.24453000 sec
TIME:1350551562.06958890:	Transmitter data send (1)	0.00000400 sec
TIME:1350551566.82457399:	Calculation and result dump (0)	8.15742100 sec
TIME:1350551566.82458901:	Transmitter data send (0)	0.00000500 sec
TIME:1350551569.36371589:	Calculation and result dump (3)	8.23008600 sec
TIME:1350551569.36372995:	Transmitter data send (3)	0.00000500 sec
TIME:1350551569.48883295:	Calculation and result dump (2)	8.22529200 sec
TIME:1350551569.48884606:	Transmitter data send (2)	0.00000500 sec
TIME:1350551570.30047202:	Calculation and result dump (1)	8.23087900 sec
TIME:1350551570.30048490:	Transmitter data send (1)	0.00000400 sec
TIME:1350551574.61515307:	Calculation and result dump (0)	7.79056000 sec
TIME:1350551574.61516595:	Transmitter data send (0)	0.00000400 sec
TIME:1350551577.59966803:	Calculation and result dump (3)	8.23593400 sec
TIME:1350551577.59968209:	Transmitter data send (3)	0.00000400 sec
TIME:1350551577.73637891:	Calculation and result dump (2)	8.24752900 sec
TIME:1350551577.73639107:	Transmitter data send (2)	0.00000400 sec
TIME:1350551578.56164289:	Calculation and result dump (1)	8.26115400 sec
TIME:1350551578.56165600:	Transmitter data send (1)	0.00000400 sec
TIME:1350551582.77872610:	Calculation and result dump (0)	8.16355500 sec
TIME:1350551582.77873993:	Transmitter data send (0)	0.00000500 sec
TIME:1350551585.84100699:	Calculation and result dump (3)	8.24132100 sec
TIME:1350551585.84102106:	Transmitter data send (3)	0.00000500 sec
TIME:1350551585.96485209:	Calculation and result dump (2)	8.22845600 sec
TIME:1350551585.96486497:	Transmitter data send (2)	0.00000400 sec
TIME:1350551586.79332089:	Calculation and result dump (1)	8.23166100 sec
TIME:1350551586.79333496:	Transmitter data send (1)	0.00000500 sec
TIME:1350551590.93681908:	Calculation and result dump (0)	8.15807500 sec
TIME:1350551590.93683195:	Transmitter data send (0)	0.00000400 sec
TIME:1350551593.82262206:	Calculation and result dump (2)	7.85775300 sec
TIME:1350551593.82263589:	Transmitter data send (2)	0.00000500 sec
TIME:1350551594.07353902:	Calculation and result dump (3)	8.23251400 sec
TIME:1350551594.07355189:	Transmitter data send (3)	0.00000400 sec
TIME:1350551595.02578998:	Calculation and result dump (1)	8.23245100 sec
TIME:1350551595.02580190:	Transmitter data send (1)	0.00000400 sec
TIME:1350551599.12311101:	Calculation and result dump (0)	8.18627400 sec
TIME:1350551599.12312603:	Transmitter data send (0)	0.00000500 sec
TIME:1350551602.07781196:	Calculation and result dump (2)	8.25517200 sec
TIME:1350551602.07782507:	Transmitter data send (2)	0.00000500 sec
TIME:1350551602.30993700:	Calculation and result dump (3)	8.23638100 sec
TIME:1350551602.30995011:	Transmitter data send (3)	0.00000400 sec
TIME:1350551603.26892304:	Calculation and result dump (1)	8.24311700 sec
TIME:1350551603.26893592:	Transmitter data send (1)	0.00000400 sec
TIME:1350551607.28505492:	Calculation and result dump (0)	8.16192500 sec
TIME:1350551607.28506804:	Transmitter data send (0)	0.00000400 sec
TIME:1350551610.30605412:	Calculation and result dump (2)	8.22822500 sec
TIME:1350551610.30606699:	Transmitter data send (2)	0.00000400 sec
TIME:1350551610.53997707:	Calculation and result dump (3)	8.23002300 sec
TIME:1350551610.53998899:	Transmitter data send (3)	0.00000400 sec
TIME:1350551611.49761891:	Calculation and result dump (1)	8.22867900 sec
TIME:1350551611.49763203:	Transmitter data send (1)	0.00000400 sec
TIME:1350551615.07840300:	Calculation and result dump (0)	7.79333100 sec
TIME:1350551615.07841706:	Transmitter data send (0)	0.00000500 sec
TIME:1350551618.53777695:	Calculation and result dump (2)	8.23170600 sec
TIME:1350551618.53779006:	Transmitter data send (2)	0.00000400 sec
TIME:1350551618.79211593:	Calculation and result dump (3)	8.25212300 sec
TIME:1350551618.79212904:	Transmitter data send (3)	0.00000500 sec
TIME:1350551619.75691104:	Calculation and result dump (1)	8.25927500 sec
TIME:1350551619.75692391:	Transmitter data send (1)	0.00000500 sec
TIME:1350551623.24774790:	Calculation and result dump (0)	8.16932700 sec
TIME:1350551623.24776101:	Transmitter data send (0)	0.00000400 sec
TIME:1350551626.78116989:	Calculation and result dump (2)	8.24337500 sec
TIME:1350551626.78118396:	Transmitter data send (2)	0.00000500 sec
TIME:1350551627.02290106:	Calculation and result dump (3)	8.23076800 sec
TIME:1350551627.02291489:	Transmitter data send (3)	0.00000500 sec
TIME:1350551627.98715997:	Calculation and result dump (1)	8.23023200 sec
TIME:1350551627.98717308:	Transmitter data send (1)	0.00000400 sec
TIME:1350551631.40982103:	Calculation and result dump (0)	8.16205600 sec
TIME:1350551631.40983391:	Transmitter data send (0)	0.00000400 sec
TIME:1350551634.87563992:	Calculation and result dump (3)	7.85272100 sec
TIME:1350551634.87565303:	Transmitter data send (3)	0.00000400 sec
TIME:1350551635.01232791:	Calculation and result dump (2)	8.23114000 sec
TIME:1350551635.01234007:	Transmitter data send (2)	0.00000300 sec
TIME:1350551636.22016597:	Calculation and result dump (1)	8.23298800 sec
TIME:1350551636.22017908:	Transmitter data send (1)	0.00000400 sec
TIME:1350551639.59893608:	Calculation and result dump (0)	8.18909800 sec
TIME:1350551639.59894896:	Transmitter data send (0)	0.00000400 sec
TIME:1350551643.03691602:	Calculation and result dump (3)	8.16125900 sec
TIME:1350551643.03693008:	Transmitter data send (3)	0.00000500 sec
TIME:1350551643.24270511:	Calculation and result dump (2)	8.23036000 sec
TIME:1350551643.24271798:	Transmitter data send (2)	0.00000500 sec
TIME:1350551644.46196389:	Calculation and result dump (1)	8.24178100 sec
TIME:1350551644.46197701:	Transmitter data send (1)	0.00000500 sec
TIME:1350551647.76219010:	Calculation and result dump (0)	8.16323700 sec
TIME:1350551647.76220894:	Transmitter data send (0)	0.00000500 sec
TIME:1350551651.27128410:	Calculation and result dump (3)	8.23435000 sec
TIME:1350551651.27129602:	Transmitter data send (3)	0.00000400 sec
TIME:1350551651.46986794:	Calculation and result dump (2)	8.22714600 sec
TIME:1350551651.46988010:	Transmitter data send (2)	0.00000400 sec
TIME:1350551652.68813205:	Calculation and result dump (1)	8.22615100 sec
TIME:1350551652.68814492:	Transmitter data send (1)	0.00000400 sec
TIME:1350551655.55214500:	Calculation and result dump (0)	7.78993100 sec
TIME:1350551655.55215693:	Transmitter data send (0)	0.00000400 sec
TIME:1350551659.50934601:	Calculation and result dump (3)	8.23804600 sec
TIME:1350551659.50936007:	Transmitter data send (3)	0.00000500 sec
TIME:1350551659.71722794:	Calculation and result dump (2)	8.24734400 sec
TIME:1350551659.71724105:	Transmitter data send (2)	0.00000400 sec
TIME:1350551660.94523692:	Calculation and result dump (1)	8.25708700 sec
TIME:1350551660.94525099:	Transmitter data send (1)	0.00000500 sec
TIME:1350551663.71704888:	Calculation and result dump (0)	8.16488700 sec
TIME:1350551663.71706295:	Transmitter data send (0)	0.00000500 sec
TIME:1350551667.75292802:	Calculation and result dump (3)	8.24356400 sec
TIME:1350551667.75294089:	Transmitter data send (3)	0.00000400 sec
TIME:1350551667.94257998:	Calculation and result dump (2)	8.22533500 sec
TIME:1350551667.94259191:	Transmitter data send (2)	0.00000300 sec
TIME:1350551669.17338705:	Calculation and result dump (1)	8.22813200 sec
