Number of processors:	64
Transmitters per processor:	80
Processes per node:	4
TIME:1350556421.36619496:	Read input data	18.70349400 sec
Spawning 64 workers to process 5120 transmitters ...
TIME:1350556428.91810894:	Dynamic process spawning	7.55187800 sec
TIME:1350556473.29959297:	Common data distribution	44.38083600 sec
TIME:1350556473.29966497:	Transmitter data send (0)	0.00000600 sec
TIME:1350556473.30055594:	Transmitter data send (2)	0.00000500 sec
TIME:1350556473.30057192:	Transmitter data send (1)	0.00000400 sec
TIME:1350556473.30058289:	Transmitter data send (3)	0.00000400 sec
TIME:1350556473.30059600:	Transmitter data send (4)	0.00000400 sec
TIME:1350556473.30060697:	Transmitter data send (5)	0.00000400 sec
TIME:1350556473.30061889:	Transmitter data send (6)	0.00000400 sec
TIME:1350556473.30063009:	Transmitter data send (7)	0.00000400 sec
TIME:1350556473.30064297:	Transmitter data send (8)	0.00000400 sec
TIME:1350556473.30065489:	Transmitter data send (9)	0.00000500 sec
TIME:1350556473.30066705:	Transmitter data send (10)	0.00000400 sec
TIME:1350556473.30067897:	Transmitter data send (11)	0.00000400 sec
TIME:1350556473.30069208:	Transmitter data send (12)	0.00000500 sec
TIME:1350556473.30070305:	Transmitter data send (13)	0.00000400 sec
TIME:1350556473.30071497:	Transmitter data send (14)	0.00000400 sec
TIME:1350556473.30072594:	Transmitter data send (15)	0.00000300 sec
TIME:1350556473.30074000:	Transmitter data send (16)	0.00000400 sec
TIME:1350556473.30075192:	Transmitter data send (17)	0.00000500 sec
TIME:1350556473.30076504:	Transmitter data send (18)	0.00000400 sec
TIME:1350556473.30077600:	Transmitter data send (19)	0.00000400 sec
TIME:1350556473.30078912:	Transmitter data send (24)	0.00000400 sec
TIME:1350556473.30080009:	Transmitter data send (25)	0.00000400 sec
TIME:1350556473.30081201:	Transmitter data send (26)	0.00000400 sec
TIME:1350556473.30082393:	Transmitter data send (27)	0.00000400 sec
TIME:1350556473.30083609:	Transmitter data send (32)	0.00000400 sec
TIME:1350556473.30084801:	Transmitter data send (33)	0.00000400 sec
TIME:1350556473.30085993:	Transmitter data send (34)	0.00000400 sec
TIME:1350556473.30087209:	Transmitter data send (35)	0.00000400 sec
TIME:1350556473.30088902:	Transmitter data send (36)	0.00000400 sec
TIME:1350556473.30090094:	Transmitter data send (37)	0.00000500 sec
TIME:1350556473.30091405:	Transmitter data send (38)	0.00000500 sec
TIME:1350556473.30092502:	Transmitter data send (39)	0.00000400 sec
TIME:1350556473.30093789:	Transmitter data send (40)	0.00000500 sec
TIME:1350556473.30094910:	Transmitter data send (41)	0.00000400 sec
TIME:1350556473.30096102:	Transmitter data send (42)	0.00000400 sec
TIME:1350556473.30097294:	Transmitter data send (43)	0.00000400 sec
TIME:1350556473.30098605:	Transmitter data send (44)	0.00000500 sec
TIME:1350556473.30099797:	Transmitter data send (45)	0.00000400 sec
TIME:1350556473.30101109:	Transmitter data send (46)	0.00000500 sec
