Number of processors:	1
Transmitters per processor:	256
Processes per node:	1
TIME:1350578170.67970800:	Read input data	9.20864100 sec
Spawning 1 workers to process 256 transmitters ...
TIME:1350578171.08174610:	Dynamic process spawning	0.40201600 sec
TIME:1350578189.14681792:	Common data distribution	18.06471500 sec
TIME:1350578189.14689493:	Transmitter data send (0)	0.00000500 sec
TIME:1350578197.67775011:	Calculation and result dump (0)	8.53084900 sec
TIME:1350578197.67776608:	Transmitter data send (0)	0.00000500 sec
TIME:1350578204.64329004:	Calculation and result dump (0)	6.96552000 sec
TIME:1350578204.64330506:	Transmitter data send (0)	0.00000500 sec
TIME:1350578211.59840798:	Calculation and result dump (0)	6.95509900 sec
TIME:1350578211.59842205:	Transmitter data send (0)	0.00000400 sec
TIME:1350578218.55366302:	Calculation and result dump (0)	6.95523600 sec
TIME:1350578218.55367708:	Transmitter data send (0)	0.00000400 sec
TIME:1350578225.50611901:	Calculation and result dump (0)	6.95243800 sec
TIME:1350578225.50613499:	Transmitter data send (0)	0.00000500 sec
TIME:1350578232.45687509:	Calculation and result dump (0)	6.95073600 sec
TIME:1350578232.45689011:	Transmitter data send (0)	0.00000400 sec
TIME:1350578239.10199404:	Calculation and result dump (0)	6.64509900 sec
TIME:1350578239.10200906:	Transmitter data send (0)	0.00000500 sec
TIME:1350578246.05879903:	Calculation and result dump (0)	6.95678600 sec
TIME:1350578246.05881310:	Transmitter data send (0)	0.00000400 sec
TIME:1350578253.03195405:	Calculation and result dump (0)	6.97313700 sec
TIME:1350578253.03196907:	Transmitter data send (0)	0.00000500 sec
TIME:1350578260.01417494:	Calculation and result dump (0)	6.98220200 sec
TIME:1350578260.01418805:	Transmitter data send (0)	0.00000400 sec
TIME:1350578266.96857595:	Calculation and result dump (0)	6.95438300 sec
TIME:1350578266.96859002:	Transmitter data send (0)	0.00000500 sec
TIME:1350578273.93195391:	Calculation and result dump (0)	6.96336000 sec
TIME:1350578273.93196797:	Transmitter data send (0)	0.00000400 sec
TIME:1350578280.88542700:	Calculation and result dump (0)	6.95345500 sec
TIME:1350578280.88544202:	Transmitter data send (0)	0.00000500 sec
TIME:1350578287.84002209:	Calculation and result dump (0)	6.95457600 sec
TIME:1350578287.84003711:	Transmitter data send (0)	0.00000400 sec
TIME:1350578294.79221797:	Calculation and result dump (0)	6.95217700 sec
TIME:1350578294.79223299:	Transmitter data send (0)	0.00000500 sec
TIME:1350578301.74286699:	Calculation and result dump (0)	6.95063000 sec
TIME:1350578301.74288106:	Transmitter data send (0)	0.00000500 sec
TIME:1350578308.38732195:	Calculation and result dump (0)	6.64443700 sec
TIME:1350578308.38733602:	Transmitter data send (0)	0.00000400 sec
TIME:1350578315.34382391:	Calculation and result dump (0)	6.95648300 sec
TIME:1350578315.34383798:	Transmitter data send (0)	0.00000400 sec
TIME:1350578322.31772304:	Calculation and result dump (0)	6.97388100 sec
TIME:1350578322.31773806:	Transmitter data send (0)	0.00000500 sec
TIME:1350578329.29960394:	Calculation and result dump (0)	6.98186200 sec
TIME:1350578329.29961801:	Transmitter data send (0)	0.00000400 sec
TIME:1350578336.25296998:	Calculation and result dump (0)	6.95334800 sec
TIME:1350578336.25298500:	Transmitter data send (0)	0.00000500 sec
TIME:1350578343.21749902:	Calculation and result dump (0)	6.96451000 sec
TIME:1350578343.21751404:	Transmitter data send (0)	0.00000500 sec
TIME:1350578350.17068410:	Calculation and result dump (0)	6.95316600 sec
TIME:1350578350.17070007:	Transmitter data send (0)	0.00000500 sec
TIME:1350578357.12469697:	Calculation and result dump (0)	6.95399300 sec
TIME:1350578357.12471104:	Transmitter data send (0)	0.00000500 sec
TIME:1350578364.07640791:	Calculation and result dump (0)	6.95169300 sec
TIME:1350578364.07642198:	Transmitter data send (0)	0.00000400 sec
TIME:1350578371.02715993:	Calculation and result dump (0)	6.95073300 sec
TIME:1350578371.02717304:	Transmitter data send (0)	0.00000300 sec
TIME:1350578377.67131305:	Calculation and result dump (0)	6.64413500 sec
TIME:1350578377.67132807:	Transmitter data send (0)	0.00000500 sec
TIME:1350578384.62771392:	Calculation and result dump (0)	6.95638200 sec
TIME:1350578384.62772894:	Transmitter data send (0)	0.00000500 sec
TIME:1350578391.60079408:	Calculation and result dump (0)	6.97306100 sec
TIME:1350578391.60080791:	Transmitter data send (0)	0.00000400 sec
TIME:1350578398.58277607:	Calculation and result dump (0)	6.98196400 sec
TIME:1350578398.58278990:	Transmitter data send (0)	0.00000500 sec
TIME:1350578405.53585696:	Calculation and result dump (0)	6.95306300 sec
TIME:1350578405.53587198:	Transmitter data send (0)	0.00000500 sec
TIME:1350578412.49933600:	Calculation and result dump (0)	6.96346000 sec
TIME:1350578412.49935198:	Transmitter data send (0)	0.00000600 sec
TIME:1350578419.45306993:	Calculation and result dump (0)	6.95371400 sec
TIME:1350578419.45308399:	Transmitter data send (0)	0.00000400 sec
TIME:1350578426.40752411:	Calculation and result dump (0)	6.95443600 sec
TIME:1350578426.40753794:	Transmitter data send (0)	0.00000400 sec
TIME:1350578433.35962296:	Calculation and result dump (0)	6.95208000 sec
TIME:1350578433.35963702:	Transmitter data send (0)	0.00000400 sec
TIME:1350578440.31058097:	Calculation and result dump (0)	6.95094000 sec
TIME:1350578440.31059504:	Transmitter data send (0)	0.00000400 sec
TIME:1350578446.95530796:	Calculation and result dump (0)	6.64470800 sec
TIME:1350578446.95532107:	Transmitter data send (0)	0.00000400 sec
