Number of processors:	4
Transmitters per processor:	32
Processes per node:	4
TIME:1350570479.78744888:	Read input data	8.94610200 sec
Spawning 4 workers to process 128 transmitters ...
TIME:1350570481.18987203:	Dynamic process spawning	1.40239200 sec
TIME:1350570501.10834289:	Common data distribution	19.91808700 sec
TIME:1350570501.10841799:	Transmitter data send (0)	0.00000600 sec
TIME:1350570501.10862398:	Transmitter data send (2)	0.00000400 sec
TIME:1350570501.10863805:	Transmitter data send (1)	0.00000400 sec
TIME:1350570501.10864902:	Transmitter data send (3)	0.00000400 sec
TIME:1350570511.21818995:	Calculation and result dump (3)	10.10953700 sec
TIME:1350570511.21821308:	Transmitter data send (3)	0.00000600 sec
TIME:1350570511.22149396:	Calculation and result dump (1)	10.11285200 sec
TIME:1350570511.22150612:	Transmitter data send (1)	0.00000400 sec
TIME:1350570511.52336788:	Calculation and result dump (2)	10.41473800 sec
TIME:1350570511.52338099:	Transmitter data send (2)	0.00000400 sec
TIME:1350570512.05392599:	Calculation and result dump (0)	10.94550200 sec
TIME:1350570512.05393910:	Transmitter data send (0)	0.00000400 sec
TIME:1350570519.44191909:	Calculation and result dump (3)	8.22370100 sec
TIME:1350570519.44193411:	Transmitter data send (3)	0.00000500 sec
TIME:1350570519.46306801:	Calculation and result dump (1)	8.24155700 sec
TIME:1350570519.46307993:	Transmitter data send (1)	0.00000400 sec
TIME:1350570519.73898005:	Calculation and result dump (2)	8.21559500 sec
TIME:1350570519.73899198:	Transmitter data send (2)	0.00000300 sec
TIME:1350570520.27010798:	Calculation and result dump (0)	8.21616400 sec
TIME:1350570520.27012205:	Transmitter data send (0)	0.00000500 sec
TIME:1350570527.29859090:	Calculation and result dump (3)	7.85665300 sec
TIME:1350570527.29860592:	Transmitter data send (3)	0.00000500 sec
TIME:1350570527.71262789:	Calculation and result dump (1)	8.24954400 sec
TIME:1350570527.71264100:	Transmitter data send (1)	0.00000500 sec
TIME:1350570527.97337198:	Calculation and result dump (2)	8.23437500 sec
TIME:1350570527.97338510:	Transmitter data send (2)	0.00000400 sec
TIME:1350570528.51498699:	Calculation and result dump (0)	8.24486100 sec
TIME:1350570528.51500010:	Transmitter data send (0)	0.00000400 sec
TIME:1350570535.52410412:	Calculation and result dump (3)	8.22549300 sec
TIME:1350570535.52411890:	Transmitter data send (3)	0.00000500 sec
TIME:1350570535.96679807:	Calculation and result dump (1)	8.25415300 sec
TIME:1350570535.96681094:	Transmitter data send (1)	0.00000400 sec
TIME:1350570536.18971300:	Calculation and result dump (2)	8.21632400 sec
TIME:1350570536.18972611:	Transmitter data send (2)	0.00000400 sec
TIME:1350570536.72981095:	Calculation and result dump (0)	8.21480700 sec
TIME:1350570536.72982597:	Transmitter data send (0)	0.00000500 sec
TIME:1350570543.74773598:	Calculation and result dump (3)	8.22361300 sec
TIME:1350570543.74775290:	Transmitter data send (3)	0.00000500 sec
TIME:1350570544.03023195:	Calculation and result dump (2)	7.84050200 sec
TIME:1350570544.03024602:	Transmitter data send (2)	0.00000500 sec
TIME:1350570544.20682693:	Calculation and result dump (1)	8.24001200 sec
TIME:1350570544.20684099:	Transmitter data send (1)	0.00000500 sec
TIME:1350570544.94704890:	Calculation and result dump (0)	8.21721900 sec
TIME:1350570544.94706106:	Transmitter data send (0)	0.00000300 sec
TIME:1350570551.99551797:	Calculation and result dump (3)	8.24776100 sec
TIME:1350570551.99553609:	Transmitter data send (3)	0.00000400 sec
TIME:1350570552.26939893:	Calculation and result dump (2)	8.23914900 sec
TIME:1350570552.26941204:	Transmitter data send (2)	0.00000300 sec
TIME:1350570552.44846606:	Calculation and result dump (1)	8.24162100 sec
TIME:1350570552.44847894:	Transmitter data send (1)	0.00000400 sec
TIME:1350570553.17875600:	Calculation and result dump (0)	8.23169000 sec
TIME:1350570553.17876911:	Transmitter data send (0)	0.00000400 sec
TIME:1350570560.22041011:	Calculation and result dump (3)	8.22486900 sec
TIME:1350570560.22042394:	Transmitter data send (3)	0.00000500 sec
TIME:1350570560.48691392:	Calculation and result dump (2)	8.21749700 sec
TIME:1350570560.48692799:	Transmitter data send (2)	0.00000500 sec
TIME:1350570560.68661499:	Calculation and result dump (1)	8.23813200 sec
TIME:1350570560.68662810:	Transmitter data send (1)	0.00000400 sec
TIME:1350570561.39587808:	Calculation and result dump (0)	8.21710500 sec
TIME:1350570561.39589095:	Transmitter data send (0)	0.00000500 sec
TIME:1350570568.08009195:	Calculation and result dump (3)	7.85966400 sec
TIME:1350570568.08010602:	Transmitter data send (3)	0.00000400 sec
TIME:1350570568.70637989:	Calculation and result dump (2)	8.21944800 sec
TIME:1350570568.70639396:	Transmitter data send (2)	0.00000500 sec
TIME:1350570568.95158410:	Calculation and result dump (1)	8.26495100 sec
TIME:1350570568.95159602:	Transmitter data send (1)	0.00000400 sec
TIME:1350570569.64383698:	Calculation and result dump (0)	8.24794200 sec
TIME:1350570569.64384890:	Transmitter data send (0)	0.00000300 sec
TIME:1350570576.30760002:	Calculation and result dump (3)	8.22749000 sec
TIME:1350570576.30761409:	Transmitter data send (3)	0.00000500 sec
TIME:1350570576.93542004:	Calculation and result dump (2)	8.22902200 sec
TIME:1350570576.93543410:	Transmitter data send (2)	0.00000500 sec
TIME:1350570577.19486403:	Calculation and result dump (1)	8.24326400 sec
TIME:1350570577.19487691:	Transmitter data send (1)	0.00000400 sec
TIME:1350570577.86056590:	Calculation and result dump (0)	8.21671200 sec
TIME:1350570577.86057901:	Transmitter data send (0)	0.00000400 sec
TIME:1350570584.53384709:	Calculation and result dump (3)	8.22622800 sec
TIME:1350570584.53386092:	Transmitter data send (3)	0.00000500 sec
TIME:1350570585.06927991:	Calculation and result dump (1)	7.87439900 sec
TIME:1350570585.06929302:	Transmitter data send (1)	0.00000400 sec
TIME:1350570585.15164995:	Calculation and result dump (2)	8.21621200 sec
TIME:1350570585.15166306:	Transmitter data send (2)	0.00000400 sec
TIME:1350570586.08046603:	Calculation and result dump (0)	8.21988300 sec
TIME:1350570586.08047795:	Transmitter data send (0)	0.00000400 sec
TIME:1350570592.78559804:	Calculation and result dump (3)	8.25173300 sec
TIME:1350570592.78561211:	Transmitter data send (3)	0.00000500 sec
TIME:1350570593.34011698:	Calculation and result dump (1)	8.27082000 sec
TIME:1350570593.34013009:	Transmitter data send (1)	0.00000400 sec
TIME:1350570593.37084007:	Calculation and result dump (2)	8.21917300 sec
TIME:1350570593.37085295:	Transmitter data send (2)	0.00000500 sec
