Number of processors:	4
Transmitters per processor:	64
Processes per node:	4
TIME:1350575736.72721910:	Read input data	9.20483800 sec
Spawning 4 workers to process 256 transmitters ...
TIME:1350575738.13794708:	Dynamic process spawning	1.41070000 sec
TIME:1350575758.05884099:	Common data distribution	19.91762200 sec
TIME:1350575758.05890894:	Transmitter data send (0)	0.00000600 sec
TIME:1350575758.05909300:	Transmitter data send (1)	0.00000500 sec
TIME:1350575758.05910897:	Transmitter data send (2)	0.00000500 sec
TIME:1350575758.05912209:	Transmitter data send (3)	0.00000500 sec
TIME:1350575768.12658596:	Calculation and result dump (1)	10.06748800 sec
TIME:1350575768.12660789:	Transmitter data send (1)	0.00000700 sec
TIME:1350575768.15109396:	Calculation and result dump (0)	10.09217900 sec
TIME:1350575768.15110898:	Transmitter data send (0)	0.00000500 sec
TIME:1350575768.17696500:	Calculation and result dump (2)	10.11785200 sec
TIME:1350575768.17697906:	Transmitter data send (2)	0.00000500 sec
TIME:1350575768.22089100:	Calculation and result dump (3)	10.16176500 sec
TIME:1350575768.22090507:	Transmitter data send (3)	0.00000500 sec
TIME:1350575776.04940009:	Calculation and result dump (2)	7.87241600 sec
TIME:1350575776.04941392:	Transmitter data send (2)	0.00000500 sec
TIME:1350575776.30734396:	Calculation and result dump (1)	8.18073100 sec
TIME:1350575776.30735707:	Transmitter data send (1)	0.00000400 sec
TIME:1350575776.36969209:	Calculation and result dump (0)	8.21857900 sec
TIME:1350575776.36970496:	Transmitter data send (0)	0.00000400 sec
TIME:1350575776.46035290:	Calculation and result dump (3)	8.23944400 sec
TIME:1350575776.46036601:	Transmitter data send (3)	0.00000400 sec
TIME:1350575784.31388402:	Calculation and result dump (2)	8.26446600 sec
TIME:1350575784.31389809:	Transmitter data send (2)	0.00000500 sec
TIME:1350575784.51851606:	Calculation and result dump (1)	8.21115500 sec
TIME:1350575784.51852989:	Transmitter data send (1)	0.00000500 sec
TIME:1350575784.58713794:	Calculation and result dump (0)	8.21742800 sec
TIME:1350575784.58715105:	Transmitter data send (0)	0.00000400 sec
TIME:1350575784.69914603:	Calculation and result dump (3)	8.23877500 sec
TIME:1350575784.69915891:	Transmitter data send (3)	0.00000400 sec
TIME:1350575792.55660892:	Calculation and result dump (2)	8.24270600 sec
TIME:1350575792.55662394:	Transmitter data send (2)	0.00000500 sec
TIME:1350575792.69782710:	Calculation and result dump (1)	8.17929300 sec
TIME:1350575792.69783998:	Transmitter data send (1)	0.00000400 sec
TIME:1350575792.80220389:	Calculation and result dump (0)	8.21504800 sec
TIME:1350575792.80221796:	Transmitter data send (0)	0.00000500 sec
TIME:1350575792.92262793:	Calculation and result dump (3)	8.22346400 sec
TIME:1350575792.92264104:	Transmitter data send (3)	0.00000400 sec
TIME:1350575800.43179893:	Calculation and result dump (2)	7.87517100 sec
TIME:1350575800.43181396:	Transmitter data send (2)	0.00000500 sec
TIME:1350575800.88082290:	Calculation and result dump (1)	8.18297900 sec
TIME:1350575800.88083601:	Transmitter data send (1)	0.00000500 sec
TIME:1350575801.04170203:	Calculation and result dump (0)	8.23948000 sec
TIME:1350575801.04171491:	Transmitter data send (0)	0.00000400 sec
TIME:1350575801.16565108:	Calculation and result dump (3)	8.24300600 sec
TIME:1350575801.16566396:	Transmitter data send (3)	0.00000400 sec
TIME:1350575808.67643094:	Calculation and result dump (2)	8.24461300 sec
TIME:1350575808.67644501:	Transmitter data send (2)	0.00000400 sec
TIME:1350575809.07233000:	Calculation and result dump (1)	8.19149000 sec
TIME:1350575809.07234311:	Transmitter data send (1)	0.00000400 sec
TIME:1350575809.25764894:	Calculation and result dump (0)	8.21593000 sec
TIME:1350575809.25766206:	Transmitter data send (0)	0.00000400 sec
TIME:1350575809.39203095:	Calculation and result dump (3)	8.22636200 sec
TIME:1350575809.39204407:	Transmitter data send (3)	0.00000400 sec
TIME:1350575816.91858792:	Calculation and result dump (2)	8.24213800 sec
TIME:1350575816.91860294:	Transmitter data send (2)	0.00000500 sec
TIME:1350575817.10528398:	Calculation and result dump (0)	7.84761700 sec
TIME:1350575817.10529804:	Transmitter data send (0)	0.00000500 sec
TIME:1350575817.25139308:	Calculation and result dump (1)	8.17904600 sec
TIME:1350575817.25140691:	Transmitter data send (1)	0.00000500 sec
TIME:1350575817.62713504:	Calculation and result dump (3)	8.23508700 sec
TIME:1350575817.62714911:	Transmitter data send (3)	0.00000500 sec
TIME:1350575825.18312693:	Calculation and result dump (2)	8.26452000 sec
TIME:1350575825.18314290:	Transmitter data send (2)	0.00000500 sec
TIME:1350575825.35141802:	Calculation and result dump (0)	8.24611600 sec
TIME:1350575825.35143089:	Transmitter data send (0)	0.00000400 sec
TIME:1350575825.43070292:	Calculation and result dump (1)	8.17929200 sec
TIME:1350575825.43071604:	Transmitter data send (1)	0.00000400 sec
TIME:1350575825.87139010:	Calculation and result dump (3)	8.24423700 sec
TIME:1350575825.87140298:	Transmitter data send (3)	0.00000400 sec
TIME:1350575833.42366099:	Calculation and result dump (2)	8.24051400 sec
TIME:1350575833.42367697:	Transmitter data send (2)	0.00000500 sec
TIME:1350575833.56661296:	Calculation and result dump (0)	8.21517700 sec
TIME:1350575833.56662703:	Transmitter data send (0)	0.00000500 sec
TIME:1350575833.60737491:	Calculation and result dump (1)	8.17665500 sec
TIME:1350575833.60738897:	Transmitter data send (1)	0.00000500 sec
TIME:1350575834.10080099:	Calculation and result dump (3)	8.22939400 sec
TIME:1350575834.10081506:	Transmitter data send (3)	0.00000500 sec
TIME:1350575841.29713297:	Calculation and result dump (2)	7.87345200 sec
TIME:1350575841.29714704:	Transmitter data send (2)	0.00000500 sec
TIME:1350575841.78714991:	Calculation and result dump (0)	8.22051900 sec
TIME:1350575841.78716302:	Transmitter data send (0)	0.00000500 sec
TIME:1350575841.81118298:	Calculation and result dump (1)	8.20379000 sec
TIME:1350575841.81119609:	Transmitter data send (1)	0.00000400 sec
TIME:1350575842.34980512:	Calculation and result dump (3)	8.24898600 sec
TIME:1350575842.34981894:	Transmitter data send (3)	0.00000500 sec
TIME:1350575849.54226303:	Calculation and result dump (2)	8.24511200 sec
TIME:1350575849.54227805:	Transmitter data send (2)	0.00000500 sec
TIME:1350575849.99252295:	Calculation and result dump (1)	8.18131800 sec
TIME:1350575849.99253607:	Transmitter data send (1)	0.00000500 sec
TIME:1350575850.01720500:	Calculation and result dump (0)	8.23003800 sec
TIME:1350575850.01721811:	Transmitter data send (0)	0.00000400 sec
TIME:1350575850.58445907:	Calculation and result dump (3)	8.23463600 sec
TIME:1350575850.58447289:	Transmitter data send (3)	0.00000500 sec
TIME:1350575857.78679609:	Calculation and result dump (2)	8.24451400 sec
TIME:1350575857.78680992:	Transmitter data send (2)	0.00000400 sec
TIME:1350575857.87029409:	Calculation and result dump (0)	7.85307100 sec
TIME:1350575857.87030697:	Transmitter data send (0)	0.00000500 sec
TIME:1350575858.17414188:	Calculation and result dump (1)	8.18160100 sec
TIME:1350575858.17415500:	Transmitter data send (1)	0.00000400 sec
TIME:1350575858.82589507:	Calculation and result dump (3)	8.24141800 sec
TIME:1350575858.82590795:	Transmitter data send (3)	0.00000400 sec
TIME:1350575866.05049706:	Calculation and result dump (2)	8.26368300 sec
TIME:1350575866.05051088:	Transmitter data send (2)	0.00000400 sec
TIME:1350575866.12136412:	Calculation and result dump (0)	8.25105300 sec
TIME:1350575866.12137699:	Transmitter data send (0)	0.00000400 sec
TIME:1350575866.35853601:	Calculation and result dump (1)	8.18437700 sec
TIME:1350575866.35855007:	Transmitter data send (1)	0.00000500 sec
TIME:1350575867.07520390:	Calculation and result dump (3)	8.24929100 sec
TIME:1350575867.07521796:	Transmitter data send (3)	0.00000500 sec
TIME:1350575874.29118109:	Calculation and result dump (2)	8.24066500 sec
TIME:1350575874.29119492:	Transmitter data send (2)	0.00000400 sec
TIME:1350575874.34180188:	Calculation and result dump (0)	8.22042000 sec
TIME:1350575874.34181499:	Transmitter data send (0)	0.00000400 sec
TIME:1350575874.53898811:	Calculation and result dump (1)	8.18043400 sec
TIME:1350575874.53900003:	Transmitter data send (1)	0.00000400 sec
TIME:1350575875.30961800:	Calculation and result dump (3)	8.23439600 sec
TIME:1350575875.30963111:	Transmitter data send (3)	0.00000500 sec
TIME:1350575882.16425991:	Calculation and result dump (2)	7.87305600 sec
TIME:1350575882.16427708:	Transmitter data send (2)	0.00000500 sec
TIME:1350575882.56854391:	Calculation and result dump (0)	8.22672500 sec
