Number of processors:	64
Transmitters per processor:	64
Processes per node:	4
TIME:1350689349.81514692:	Read input data	16.69267600 sec
Spawning 64 workers to process 4096 transmitters ...
TIME:1350689351.36567402:	Dynamic process spawning	1.55049800 sec
TIME:1350689395.39119005:	Common data distribution	44.02482100 sec
TIME:1350689395.39126205:	Transmitter data send (0)	0.00000500 sec
TIME:1350689395.39162898:	Transmitter data send (3)	0.00000500 sec
TIME:1350689395.39164591:	Transmitter data send (2)	0.00000500 sec
TIME:1350689395.39219689:	Transmitter data send (1)	0.00000500 sec
TIME:1350689395.39221311:	Transmitter data send (4)	0.00000400 sec
TIME:1350689395.39222503:	Transmitter data send (5)	0.00000400 sec
TIME:1350689395.39223790:	Transmitter data send (6)	0.00000400 sec
TIME:1350689395.39225101:	Transmitter data send (7)	0.00000600 sec
TIME:1350689395.39226389:	Transmitter data send (8)	0.00000400 sec
TIME:1350689395.39227509:	Transmitter data send (9)	0.00000400 sec
TIME:1350689395.39228797:	Transmitter data send (10)	0.00000400 sec
TIME:1350689395.39230108:	Transmitter data send (11)	0.00000600 sec
TIME:1350689395.39231396:	Transmitter data send (12)	0.00000400 sec
TIME:1350689395.39233398:	Transmitter data send (13)	0.00001200 sec
TIME:1350689395.39235210:	Transmitter data send (14)	0.00000700 sec
TIME:1350689395.39236307:	Transmitter data send (15)	0.00000300 sec
TIME:1350689395.39237690:	Transmitter data send (16)	0.00000400 sec
TIME:1350689395.39238906:	Transmitter data send (17)	0.00000400 sec
TIME:1350689395.39240408:	Transmitter data send (18)	0.00000600 sec
TIME:1350689395.39241695:	Transmitter data send (19)	0.00000500 sec
TIME:1350689395.39243007:	Transmitter data send (20)	0.00000400 sec
TIME:1350689395.39244199:	Transmitter data send (21)	0.00000400 sec
TIME:1350689395.39245701:	Transmitter data send (22)	0.00000400 sec
TIME:1350689395.39246893:	Transmitter data send (23)	0.00000500 sec
TIME:1350689395.39248109:	Transmitter data send (24)	0.00000400 sec
TIME:1350689395.39249301:	Transmitter data send (25)	0.00000400 sec
TIME:1350689395.39250708:	Transmitter data send (26)	0.00000400 sec
TIME:1350689395.39251900:	Transmitter data send (27)	0.00000400 sec
TIME:1350689395.39253211:	Transmitter data send (28)	0.00000400 sec
TIME:1350689395.39254403:	Transmitter data send (29)	0.00000400 sec
TIME:1350689395.39255905:	Transmitter data send (31)	0.00000400 sec
TIME:1350689395.39257193:	Transmitter data send (32)	0.00000400 sec
TIME:1350689395.39258289:	Transmitter data send (33)	0.00000300 sec
TIME:1350689395.39259601:	Transmitter data send (34)	0.00000400 sec
TIME:1350689395.39260888:	Transmitter data send (35)	0.00000400 sec
TIME:1350689395.39262199:	Transmitter data send (36)	0.00000400 sec
TIME:1350689395.39263391:	Transmitter data send (37)	0.00000500 sec
TIME:1350689395.39264703:	Transmitter data send (38)	0.00000400 sec
TIME:1350689395.39266109:	Transmitter data send (39)	0.00000400 sec
TIME:1350689395.39267397:	Transmitter data send (40)	0.00000400 sec
TIME:1350689395.39268494:	Transmitter data send (41)	0.00000300 sec
TIME:1350689395.39270091:	Transmitter data send (42)	0.00000700 sec
TIME:1350689395.39271212:	Transmitter data send (43)	0.00000400 sec
TIME:1350689395.39272594:	Transmitter data send (44)	0.00000400 sec
TIME:1350689395.39273691:	Transmitter data send (45)	0.00000300 sec
TIME:1350689395.39275289:	Transmitter data send (46)	0.00000600 sec
TIME:1350689395.39276505:	Transmitter data send (47)	0.00000400 sec
TIME:1350689395.39277792:	Transmitter data send (48)	0.00000500 sec
TIME:1350689395.39279008:	Transmitter data send (49)	0.00000400 sec
TIME:1350689395.39280510:	Transmitter data send (50)	0.00000400 sec
TIME:1350689395.39281702:	Transmitter data send (51)	0.00000400 sec
TIME:1350689395.39282894:	Transmitter data send (52)	0.00000400 sec
TIME:1350689395.39284110:	Transmitter data send (53)	0.00000400 sec
TIME:1350689395.39285707:	Transmitter data send (55)	0.00000500 sec
TIME:1350689395.39286995:	Transmitter data send (56)	0.00000500 sec
TIME:1350689395.39288092:	Transmitter data send (57)	0.00000400 sec
TIME:1350689395.39289403:	Transmitter data send (58)	0.00000500 sec
TIME:1350689395.39290810:	Transmitter data send (59)	0.00000400 sec
TIME:1350689395.39292598:	Transmitter data send (54)	0.00000400 sec
TIME:1350689395.39293790:	Transmitter data send (30)	0.00000400 sec
TIME:1350689395.39295292:	Transmitter data send (60)	0.00000600 sec
TIME:1350689395.39296508:	Transmitter data send (61)	0.00000400 sec
TIME:1350689395.39298010:	Transmitter data send (62)	0.00000400 sec
TIME:1350689395.39299107:	Transmitter data send (63)	0.00000300 sec
TIME:1350689404.65652895:	Calculation and result dump (37)	9.26389100 sec
TIME:1350689404.65654492:	Transmitter data send (37)	0.00000500 sec
TIME:1350689404.65919209:	Calculation and result dump (26)	9.26668000 sec
TIME:1350689404.65920496:	Transmitter data send (26)	0.00000500 sec
TIME:1350689404.67456198:	Calculation and result dump (58)	9.28166200 sec
TIME:1350689404.67457509:	Transmitter data send (58)	0.00000500 sec
TIME:1350689404.67458010:	Calculation and result dump (6)	9.28233800 sec
TIME:1350689404.67459106:	Transmitter data send (6)	0.00000400 sec
TIME:1350689404.67660189:	Calculation and result dump (16)	9.28422000 sec
TIME:1350689404.67661500:	Transmitter data send (16)	0.00000500 sec
TIME:1350689404.68334508:	Calculation and result dump (47)	9.29057600 sec
TIME:1350689404.68335700:	Transmitter data send (47)	0.00000400 sec
TIME:1350689405.44731593:	Calculation and result dump (43)	10.05460000 sec
TIME:1350689405.44733095:	Transmitter data send (43)	0.00000500 sec
TIME:1350689405.44870591:	Calculation and result dump (2)	10.05705200 sec
TIME:1350689405.44871807:	Transmitter data send (2)	0.00000400 sec
TIME:1350689405.48165107:	Calculation and result dump (33)	10.08906400 sec
TIME:1350689405.48166394:	Transmitter data send (33)	0.00000400 sec
TIME:1350689405.48773098:	Calculation and result dump (12)	10.09541300 sec
TIME:1350689405.48774290:	Transmitter data send (12)	0.00000400 sec
TIME:1350689405.49086308:	Calculation and result dump (31)	10.09830000 sec
TIME:1350689405.49087501:	Transmitter data send (31)	0.00000400 sec
TIME:1350689405.49318910:	Calculation and result dump (20)	10.10075500 sec
TIME:1350689405.49320197:	Transmitter data send (20)	0.00000500 sec
TIME:1350689405.49320602:	Calculation and result dump (41)	10.10051700 sec
TIME:1350689405.49321795:	Transmitter data send (41)	0.00000500 sec
TIME:1350689405.49371409:	Calculation and result dump (3)	10.10207900 sec
TIME:1350689405.49372602:	Transmitter data send (3)	0.00000500 sec
TIME:1350689405.49373007:	Calculation and result dump (60)	10.10077300 sec
TIME:1350689405.49374104:	Transmitter data send (60)	0.00000400 sec
TIME:1350689405.49459505:	Calculation and result dump (62)	10.10161100 sec
TIME:1350689405.49460697:	Transmitter data send (62)	0.00000400 sec
TIME:1350689405.49595594:	Calculation and result dump (11)	10.10365100 sec
TIME:1350689405.49596906:	Transmitter data send (11)	0.00000400 sec
TIME:1350689405.49885297:	Calculation and result dump (42)	10.10614800 sec
TIME:1350689405.49886608:	Transmitter data send (42)	0.00000500 sec
TIME:1350689405.50157094:	Calculation and result dump (61)	10.10860200 sec
TIME:1350689405.50158310:	Transmitter data send (61)	0.00000400 sec
TIME:1350689405.50448298:	Calculation and result dump (51)	10.11166200 sec
TIME:1350689405.50449491:	Transmitter data send (51)	0.00000400 sec
TIME:1350689405.50642800:	Calculation and result dump (10)	10.11413600 sec
TIME:1350689405.50643992:	Transmitter data send (10)	0.00000400 sec
TIME:1350689405.51055002:	Calculation and result dump (21)	10.11810400 sec
