Number of processors:	64
Transmitters per processor:	32
Processes per node:	4
TIME:1350628605.37366295:	Read input data	12.70556100 sec
Spawning 64 workers to process 2048 transmitters ...
TIME:1350628606.92219901:	Dynamic process spawning	1.54851100 sec
TIME:1350628651.43471003:	Common data distribution	44.51183500 sec
TIME:1350628651.43477988:	Transmitter data send (0)	0.00000600 sec
TIME:1350628651.43570590:	Transmitter data send (3)	0.00000500 sec
TIME:1350628651.43572402:	Transmitter data send (1)	0.00000400 sec
TIME:1350628651.43573499:	Transmitter data send (2)	0.00000400 sec
TIME:1350628651.43574810:	Transmitter data send (4)	0.00000400 sec
TIME:1350628651.43575907:	Transmitter data send (5)	0.00000300 sec
TIME:1350628651.43577409:	Transmitter data send (6)	0.00000400 sec
TIME:1350628651.43578601:	Transmitter data send (7)	0.00000400 sec
TIME:1350628651.43579888:	Transmitter data send (8)	0.00000400 sec
TIME:1350628651.43581009:	Transmitter data send (9)	0.00000400 sec
TIME:1350628651.43582511:	Transmitter data send (10)	0.00000400 sec
TIME:1350628651.43583703:	Transmitter data send (11)	0.00000400 sec
TIME:1350628651.43584991:	Transmitter data send (12)	0.00000400 sec
TIME:1350628651.43586111:	Transmitter data send (13)	0.00000400 sec
TIME:1350628651.43587589:	Transmitter data send (14)	0.00000400 sec
TIME:1350628651.43588805:	Transmitter data send (15)	0.00000400 sec
TIME:1350628651.43590307:	Transmitter data send (16)	0.00000500 sec
TIME:1350628651.43591499:	Transmitter data send (17)	0.00000500 sec
TIME:1350628651.43593001:	Transmitter data send (18)	0.00000400 sec
TIME:1350628651.43594098:	Transmitter data send (19)	0.00000300 sec
TIME:1350628651.43595409:	Transmitter data send (20)	0.00000400 sec
TIME:1350628651.43596601:	Transmitter data send (21)	0.00000400 sec
TIME:1350628651.43598104:	Transmitter data send (22)	0.00000400 sec
TIME:1350628651.43599200:	Transmitter data send (23)	0.00000400 sec
TIME:1350628651.43600512:	Transmitter data send (24)	0.00000400 sec
TIME:1350628651.43601894:	Transmitter data send (25)	0.00000700 sec
TIME:1350628651.43603301:	Transmitter data send (26)	0.00000500 sec
TIME:1350628651.43604398:	Transmitter data send (27)	0.00000400 sec
TIME:1350628651.43605709:	Transmitter data send (28)	0.00000400 sec
TIME:1350628651.43607211:	Transmitter data send (29)	0.00000700 sec
TIME:1350628651.43608499:	Transmitter data send (30)	0.00000400 sec
TIME:1350628651.43609691:	Transmitter data send (31)	0.00000400 sec
TIME:1350628651.43611002:	Transmitter data send (32)	0.00000400 sec
TIME:1350628651.43612409:	Transmitter data send (33)	0.00000400 sec
TIME:1350628651.43613696:	Transmitter data send (34)	0.00000400 sec
TIME:1350628651.43615007:	Transmitter data send (35)	0.00000500 sec
TIME:1350628651.43616295:	Transmitter data send (36)	0.00000400 sec
TIME:1350628651.43617797:	Transmitter data send (37)	0.00000400 sec
TIME:1350628651.43619108:	Transmitter data send (38)	0.00000400 sec
TIME:1350628651.43620205:	Transmitter data send (39)	0.00000300 sec
TIME:1350628651.43621492:	Transmitter data send (40)	0.00000400 sec
TIME:1350628651.43622994:	Transmitter data send (41)	0.00000400 sec
TIME:1350628651.43624306:	Transmitter data send (42)	0.00000500 sec
TIME:1350628651.43625498:	Transmitter data send (43)	0.00000400 sec
TIME:1350628651.43627191:	Transmitter data send (44)	0.00000700 sec
TIME:1350628651.43628311:	Transmitter data send (45)	0.00000300 sec
TIME:1350628651.43629694:	Transmitter data send (46)	0.00000500 sec
TIME:1350628651.43630910:	Transmitter data send (47)	0.00000400 sec
TIME:1350628651.43634295:	Transmitter data send (48)	0.00002000 sec
TIME:1350628651.43635607:	Transmitter data send (49)	0.00000400 sec
TIME:1350628651.43637109:	Transmitter data send (50)	0.00000600 sec
TIME:1350628651.43638301:	Transmitter data send (51)	0.00000400 sec
TIME:1350628651.43639588:	Transmitter data send (52)	0.00000400 sec
TIME:1350628651.43640900:	Transmitter data send (53)	0.00000500 sec
TIME:1350628651.43642402:	Transmitter data send (54)	0.00000400 sec
TIME:1350628651.43643594:	Transmitter data send (55)	0.00000400 sec
TIME:1350628651.43645000:	Transmitter data send (56)	0.00000500 sec
TIME:1350628651.43646312:	Transmitter data send (58)	0.00000400 sec
TIME:1350628651.43647790:	Transmitter data send (59)	0.00000500 sec
TIME:1350628651.43649507:	Transmitter data send (57)	0.00000400 sec
TIME:1350628651.43650889:	Transmitter data send (60)	0.00000400 sec
TIME:1350628651.43652296:	Transmitter data send (61)	0.00000400 sec
TIME:1350628651.43653488:	Transmitter data send (62)	0.00000400 sec
TIME:1350628651.43654799:	Transmitter data send (63)	0.00000500 sec
TIME:1350628660.70058799:	Calculation and result dump (59)	9.26410600 sec
TIME:1350628660.70060301:	Transmitter data send (59)	0.00000400 sec
TIME:1350628660.70153308:	Calculation and result dump (8)	9.26573000 sec
TIME:1350628660.70154595:	Transmitter data send (8)	0.00000500 sec
TIME:1350628660.70530701:	Calculation and result dump (28)	9.26924500 sec
TIME:1350628660.70531988:	Transmitter data send (28)	0.00000500 sec
TIME:1350628660.70638299:	Calculation and result dump (48)	9.27003500 sec
TIME:1350628660.70639610:	Transmitter data send (48)	0.00000400 sec
TIME:1350628660.72350407:	Calculation and result dump (38)	9.28730900 sec
TIME:1350628660.72351694:	Transmitter data send (38)	0.00000500 sec
TIME:1350628660.72803211:	Calculation and result dump (18)	9.29209800 sec
TIME:1350628660.72804403:	Transmitter data send (18)	0.00000400 sec
TIME:1350628661.52488899:	Calculation and result dump (4)	10.08913700 sec
TIME:1350628661.52490211:	Transmitter data send (4)	0.00000400 sec
TIME:1350628661.52676010:	Calculation and result dump (12)	10.09090600 sec
TIME:1350628661.52677298:	Transmitter data send (12)	0.00000500 sec
TIME:1350628661.52779508:	Calculation and result dump (1)	10.09206700 sec
TIME:1350628661.52780700:	Transmitter data send (1)	0.00000400 sec
TIME:1350628661.52787304:	Calculation and result dump (44)	10.09159700 sec
TIME:1350628661.52788401:	Transmitter data send (44)	0.00000400 sec
TIME:1350628661.53616190:	Calculation and result dump (43)	10.09990300 sec
TIME:1350628661.53617406:	Transmitter data send (43)	0.00000400 sec
TIME:1350628661.53801608:	Calculation and result dump (32)	10.10190200 sec
TIME:1350628661.53802800:	Transmitter data send (32)	0.00000400 sec
TIME:1350628661.54096389:	Calculation and result dump (63)	10.10441200 sec
TIME:1350628661.54097605:	Transmitter data send (63)	0.00000400 sec
TIME:1350628661.54117298:	Calculation and result dump (2)	10.10543400 sec
TIME:1350628661.54118490:	Transmitter data send (2)	0.00000500 sec
TIME:1350628661.54208302:	Calculation and result dump (62)	10.10554300 sec
TIME:1350628661.54209495:	Transmitter data send (62)	0.00000400 sec
TIME:1350628661.54282904:	Calculation and result dump (23)	10.10683300 sec
TIME:1350628661.54284096:	Transmitter data send (23)	0.00000500 sec
TIME:1350628661.54350495:	Calculation and result dump (24)	10.10749600 sec
TIME:1350628661.54351711:	Transmitter data send (24)	0.00000400 sec
TIME:1350628661.54462504:	Calculation and result dump (42)	10.10837700 sec
TIME:1350628661.54463696:	Transmitter data send (42)	0.00000400 sec
TIME:1350628661.54616308:	Calculation and result dump (13)	10.11029800 sec
TIME:1350628661.54617500:	Transmitter data send (13)	0.00000400 sec
TIME:1350628661.55006409:	Calculation and result dump (22)	10.11407900 sec
TIME:1350628661.55007601:	Transmitter data send (22)	0.00000400 sec
TIME:1350628661.55711198:	Calculation and result dump (54)	10.12068300 sec
TIME:1350628661.55712390:	Transmitter data send (54)	0.00000400 sec
TIME:1350628661.55883789:	Calculation and result dump (14)	10.12295700 sec
TIME:1350628661.55885005:	Transmitter data send (14)	0.00000400 sec
TIME:1350628661.55895805:	Calculation and result dump (52)	10.12255700 sec
TIME:1350628661.55896902:	Transmitter data send (52)	0.00000400 sec
TIME:1350628661.57925892:	Calculation and result dump (34)	10.14311800 sec
TIME:1350628661.57927203:	Transmitter data send (34)	0.00000500 sec
TIME:1350628661.58071589:	Calculation and result dump (7)	10.14492600 sec
TIME:1350628661.58072996:	Transmitter data send (7)	0.00000600 sec
TIME:1350628661.58581591:	Calculation and result dump (26)	10.14977900 sec
TIME:1350628661.58582807:	Transmitter data send (26)	0.00000500 sec
TIME:1350628661.58587098:	Calculation and result dump (37)	10.14968900 sec
TIME:1350628661.58588195:	Transmitter data send (37)	0.00000400 sec
TIME:1350628661.58903098:	Calculation and result dump (17)	10.15311000 sec
