Number of processors:	32
Transmitters per processor:	2
Processes per node:	4
TIME:1350883510.76153302:	Read input data	8.82923000 sec
Spawning 32 workers to process 64 transmitters ...
TIME:1350883512.22870994:	Dynamic process spawning	1.46714700 sec
TIME:1350883555.79226589:	Common data distribution	43.56293200 sec
TIME:1350883555.79231191:	Transmitter data send (0)	0.00000500 sec
TIME:1350883555.79289889:	Transmitter data send (1)	0.00000500 sec
TIME:1350883555.79291391:	Transmitter data send (2)	0.00000400 sec
TIME:1350883555.79292798:	Transmitter data send (3)	0.00000600 sec
TIME:1350883555.79294109:	Transmitter data send (4)	0.00000400 sec
TIME:1350883555.79295206:	Transmitter data send (5)	0.00000400 sec
TIME:1350883555.79296589:	Transmitter data send (6)	0.00000500 sec
TIME:1350883555.79297996:	Transmitter data send (7)	0.00000500 sec
TIME:1350883555.79299307:	Transmitter data send (8)	0.00000400 sec
TIME:1350883555.79300499:	Transmitter data send (9)	0.00000500 sec
TIME:1350883555.79301810:	Transmitter data send (10)	0.00000400 sec
TIME:1350883555.79303193:	Transmitter data send (11)	0.00000400 sec
TIME:1350883555.79304695:	Transmitter data send (16)	0.00000500 sec
TIME:1350883555.79305792:	Transmitter data send (17)	0.00000400 sec
TIME:1350883555.79307103:	Transmitter data send (18)	0.00000400 sec
TIME:1350883555.79308605:	Transmitter data send (19)	0.00000400 sec
TIME:1350883555.79310012:	Transmitter data send (20)	0.00000500 sec
TIME:1350883555.79311204:	Transmitter data send (21)	0.00000500 sec
TIME:1350883555.79312706:	Transmitter data send (22)	0.00000600 sec
TIME:1350883555.79313898:	Transmitter data send (23)	0.00000400 sec
TIME:1350883555.79315209:	Transmitter data send (24)	0.00000400 sec
TIME:1350883555.79316497:	Transmitter data send (26)	0.00000400 sec
TIME:1350883555.79317808:	Transmitter data send (27)	0.00000600 sec
TIME:1350883555.79319906:	Transmitter data send (25)	0.00000400 sec
TIME:1350883555.79321289:	Transmitter data send (12)	0.00000400 sec
TIME:1350883555.79322600:	Transmitter data send (13)	0.00000600 sec
TIME:1350883555.79324007:	Transmitter data send (14)	0.00000500 sec
TIME:1350883555.79325104:	Transmitter data send (15)	0.00000400 sec
TIME:1350883555.79326296:	Transmitter data send (28)	0.00000400 sec
TIME:1350883555.79327703:	Transmitter data send (29)	0.00000600 sec
TIME:1350883555.79329109:	Transmitter data send (30)	0.00000500 sec
TIME:1350883555.79330301:	Transmitter data send (31)	0.00000500 sec
TIME:1350883565.06087303:	Calculation and result dump (4)	9.26792800 sec
