Number of processors:	64
Transmitters per processor:	64
Processes per node:	4
TIME:1350688756.38121605:	Read input data	16.66905300 sec
Spawning 64 workers to process 4096 transmitters ...
TIME:1350688757.92989206:	Dynamic process spawning	1.54864800 sec
TIME:1350688802.43791604:	Common data distribution	44.50730000 sec
TIME:1350688802.43798995:	Transmitter data send (0)	0.00000600 sec
TIME:1350688802.43894506:	Transmitter data send (1)	0.00000400 sec
TIME:1350688802.43896389:	Transmitter data send (2)	0.00000400 sec
TIME:1350688802.43897700:	Transmitter data send (3)	0.00000600 sec
TIME:1350688802.43899012:	Transmitter data send (4)	0.00000400 sec
TIME:1350688802.43900108:	Transmitter data send (5)	0.00000300 sec
TIME:1350688802.43901396:	Transmitter data send (6)	0.00000400 sec
TIME:1350688802.43902493:	Transmitter data send (7)	0.00000400 sec
TIME:1350688802.43903995:	Transmitter data send (8)	0.00000400 sec
TIME:1350688802.43905091:	Transmitter data send (9)	0.00000400 sec
TIME:1350688802.43906307:	Transmitter data send (10)	0.00000400 sec
TIME:1350688802.43907404:	Transmitter data send (11)	0.00000400 sec
TIME:1350688802.43908906:	Transmitter data send (12)	0.00000400 sec
TIME:1350688802.43910003:	Transmitter data send (13)	0.00000400 sec
TIME:1350688802.43911195:	Transmitter data send (14)	0.00000300 sec
TIME:1350688802.43912411:	Transmitter data send (15)	0.00000400 sec
TIME:1350688802.43914390:	Transmitter data send (16)	0.00000400 sec
TIME:1350688802.43915510:	Transmitter data send (17)	0.00000400 sec
TIME:1350688802.43916798:	Transmitter data send (18)	0.00000400 sec
TIME:1350688802.43918109:	Transmitter data send (19)	0.00000400 sec
TIME:1350688802.43919492:	Transmitter data send (20)	0.00000400 sec
TIME:1350688802.43920708:	Transmitter data send (21)	0.00000400 sec
TIME:1350688802.43921900:	Transmitter data send (22)	0.00000400 sec
TIME:1350688802.43923306:	Transmitter data send (23)	0.00000400 sec
TIME:1350688802.43924594:	Transmitter data send (24)	0.00000400 sec
TIME:1350688802.43925691:	Transmitter data send (25)	0.00000400 sec
TIME:1350688802.43926907:	Transmitter data send (26)	0.00000400 sec
TIME:1350688802.43928289:	Transmitter data send (27)	0.00000400 sec
TIME:1350688802.43929601:	Transmitter data send (32)	0.00000400 sec
TIME:1350688802.43930697:	Transmitter data send (33)	0.00000400 sec
TIME:1350688802.43932104:	Transmitter data send (34)	0.00000400 sec
TIME:1350688802.43934488:	Transmitter data send (35)	0.00000400 sec
TIME:1350688802.43935895:	Transmitter data send (36)	0.00000500 sec
TIME:1350688802.43936992:	Transmitter data send (37)	0.00000400 sec
TIME:1350688802.43938494:	Transmitter data send (38)	0.00000300 sec
TIME:1350688802.43939710:	Transmitter data send (39)	0.00000400 sec
TIME:1350688802.43940997:	Transmitter data send (40)	0.00000500 sec
TIME:1350688802.43942094:	Transmitter data send (41)	0.00000400 sec
TIME:1350688802.43943596:	Transmitter data send (42)	0.00000400 sec
TIME:1350688802.43944812:	Transmitter data send (43)	0.00000500 sec
TIME:1350688802.43946099:	Transmitter data send (46)	0.00000400 sec
TIME:1350688802.43947411:	Transmitter data send (48)	0.00000500 sec
TIME:1350688802.43948793:	Transmitter data send (49)	0.00000400 sec
TIME:1350688802.43950200:	Transmitter data send (50)	0.00000400 sec
TIME:1350688802.43951297:	Transmitter data send (51)	0.00000400 sec
TIME:1350688802.43952894:	Transmitter data send (52)	0.00000700 sec
TIME:1350688802.43953991:	Transmitter data send (53)	0.00000400 sec
TIME:1350688802.43955302:	Transmitter data send (54)	0.00000400 sec
TIME:1350688802.43956399:	Transmitter data send (55)	0.00000400 sec
TIME:1350688802.43957901:	Transmitter data send (56)	0.00000700 sec
TIME:1350688802.43959188:	Transmitter data send (57)	0.00000400 sec
TIME:1350688802.43960404:	Transmitter data send (58)	0.00000400 sec
TIME:1350688802.43961501:	Transmitter data send (59)	0.00000300 sec
TIME:1350688802.43964100:	Transmitter data send (45)	0.00000400 sec
TIME:1350688802.43965411:	Transmitter data send (28)	0.00000400 sec
TIME:1350688802.43966508:	Transmitter data send (29)	0.00000400 sec
TIME:1350688802.43968010:	Transmitter data send (30)	0.00000600 sec
TIME:1350688802.43969107:	Transmitter data send (31)	0.00000400 sec
TIME:1350688802.43970203:	Transmitter data send (44)	0.00000400 sec
TIME:1350688802.43971300:	Transmitter data send (47)	0.00000400 sec
TIME:1350688802.43972898:	Transmitter data send (60)	0.00000700 sec
TIME:1350688802.43974090:	Transmitter data send (61)	0.00000400 sec
TIME:1350688802.43975401:	Transmitter data send (62)	0.00000400 sec
TIME:1350688802.43976593:	Transmitter data send (63)	0.00000400 sec
TIME:1350688811.70885110:	Calculation and result dump (40)	9.26943700 sec
TIME:1350688811.70886588:	Transmitter data send (40)	0.00000500 sec
TIME:1350688811.71358299:	Calculation and result dump (26)	9.27431000 sec
TIME:1350688811.71359491:	Transmitter data send (26)	0.00000400 sec
TIME:1350688811.72106600:	Calculation and result dump (6)	9.28204800 sec
TIME:1350688811.72107792:	Transmitter data send (6)	0.00000400 sec
TIME:1350688811.72422600:	Calculation and result dump (30)	9.28454200 sec
TIME:1350688811.72423792:	Transmitter data send (30)	0.00000400 sec
TIME:1350688811.74238992:	Calculation and result dump (53)	9.30284600 sec
TIME:1350688811.74240208:	Transmitter data send (53)	0.00000400 sec
TIME:1350688811.74973607:	Calculation and result dump (16)	9.31058800 sec
TIME:1350688811.74974799:	Transmitter data send (16)	0.00000400 sec
TIME:1350688812.51087999:	Calculation and result dump (0)	10.07288500 sec
TIME:1350688812.51089311:	Transmitter data send (0)	0.00000400 sec
TIME:1350688812.52826500:	Calculation and result dump (10)	10.08919800 sec
TIME:1350688812.52827811:	Transmitter data send (10)	0.00000400 sec
TIME:1350688812.53052711:	Calculation and result dump (20)	10.09132800 sec
TIME:1350688812.53053999:	Transmitter data send (20)	0.00000500 sec
TIME:1350688812.53091002:	Calculation and result dump (59)	10.09129100 sec
TIME:1350688812.53092098:	Transmitter data send (59)	0.00000400 sec
TIME:1350688812.53339601:	Calculation and result dump (22)	10.09417200 sec
TIME:1350688812.53340912:	Transmitter data send (22)	0.00000500 sec
TIME:1350688812.53494692:	Calculation and result dump (62)	10.09518800 sec
TIME:1350688812.53495908:	Transmitter data send (62)	0.00000400 sec
TIME:1350688812.53571391:	Calculation and result dump (60)	10.09598000 sec
TIME:1350688812.53572702:	Transmitter data send (60)	0.00000500 sec
TIME:1350688812.53639889:	Calculation and result dump (36)	10.09703600 sec
TIME:1350688812.53641105:	Transmitter data send (36)	0.00000400 sec
TIME:1350688812.53687692:	Calculation and result dump (46)	10.09741200 sec
TIME:1350688812.53688788:	Transmitter data send (46)	0.00000400 sec
TIME:1350688812.53947401:	Calculation and result dump (49)	10.09998200 sec
TIME:1350688812.53948593:	Transmitter data send (49)	0.00000400 sec
TIME:1350688812.54067993:	Calculation and result dump (12)	10.10158700 sec
TIME:1350688812.54069209:	Transmitter data send (12)	0.00000400 sec
TIME:1350688812.54112697:	Calculation and result dump (48)	10.10164700 sec
TIME:1350688812.54113793:	Transmitter data send (48)	0.00000400 sec
TIME:1350688812.54400301:	Calculation and result dump (61)	10.10425800 sec
TIME:1350688812.54401493:	Transmitter data send (61)	0.00000400 sec
TIME:1350688812.54416203:	Calculation and result dump (1)	10.10521000 sec
TIME:1350688812.54417300:	Transmitter data send (1)	0.00000400 sec
TIME:1350688812.54498792:	Calculation and result dump (2)	10.10602000 sec
TIME:1350688812.54500008:	Transmitter data send (2)	0.00000400 sec
TIME:1350688812.55107594:	Calculation and result dump (58)	10.11146800 sec
TIME:1350688812.55108809:	Transmitter data send (58)	0.00000400 sec
