Number of processors:	64
Transmitters per processor:	8
Processes per node:	4
TIME:1350581971.45012999:	Read input data	9.71330400 sec
Spawning 64 workers to process 512 transmitters ...
TIME:1350581972.99980092:	Dynamic process spawning	1.54964300 sec
TIME:1350582017.61673903:	Common data distribution	44.61629200 sec
TIME:1350582017.61680794:	Transmitter data send (0)	0.00000700 sec
TIME:1350582017.61712790:	Transmitter data send (3)	0.00000500 sec
TIME:1350582017.61774206:	Transmitter data send (2)	0.00000400 sec
TIME:1350582017.61775804:	Transmitter data send (1)	0.00000400 sec
TIME:1350582017.61777091:	Transmitter data send (4)	0.00000400 sec
TIME:1350582017.61778307:	Transmitter data send (5)	0.00000400 sec
TIME:1350582017.61779594:	Transmitter data send (6)	0.00000400 sec
TIME:1350582017.61780810:	Transmitter data send (7)	0.00000400 sec
TIME:1350582017.61782098:	Transmitter data send (8)	0.00000400 sec
TIME:1350582017.61783195:	Transmitter data send (9)	0.00000400 sec
TIME:1350582017.61784506:	Transmitter data send (10)	0.00000400 sec
TIME:1350582017.61785698:	Transmitter data send (11)	0.00000400 sec
TIME:1350582017.61787009:	Transmitter data send (12)	0.00000400 sec
TIME:1350582017.61788106:	Transmitter data send (13)	0.00000400 sec
TIME:1350582017.61789393:	Transmitter data send (14)	0.00000400 sec
TIME:1350582017.61790609:	Transmitter data send (15)	0.00000400 sec
TIME:1350582017.61791992:	Transmitter data send (16)	0.00000400 sec
TIME:1350582017.61793208:	Transmitter data send (17)	0.00000400 sec
TIME:1350582017.61794400:	Transmitter data send (18)	0.00000400 sec
TIME:1350582017.61795712:	Transmitter data send (19)	0.00000500 sec
TIME:1350582017.61797094:	Transmitter data send (20)	0.00000500 sec
TIME:1350582017.61798310:	Transmitter data send (21)	0.00000400 sec
TIME:1350582017.61799598:	Transmitter data send (22)	0.00000400 sec
TIME:1350582017.61800790:	Transmitter data send (23)	0.00000400 sec
TIME:1350582017.61802101:	Transmitter data send (24)	0.00000400 sec
TIME:1350582017.61803293:	Transmitter data send (25)	0.00000500 sec
TIME:1350582017.61804605:	Transmitter data send (26)	0.00000500 sec
TIME:1350582017.61805797:	Transmitter data send (27)	0.00000500 sec
TIME:1350582017.61806989:	Transmitter data send (32)	0.00000400 sec
TIME:1350582017.61808300:	Transmitter data send (33)	0.00000500 sec
TIME:1350582017.61809611:	Transmitter data send (34)	0.00000400 sec
TIME:1350582017.61810803:	Transmitter data send (35)	0.00000500 sec
TIME:1350582017.61811996:	Transmitter data send (36)	0.00000400 sec
TIME:1350582017.61813211:	Transmitter data send (37)	0.00000400 sec
TIME:1350582017.61814499:	Transmitter data send (38)	0.00000400 sec
TIME:1350582017.61815691:	Transmitter data send (39)	0.00000400 sec
TIME:1350582017.61817002:	Transmitter data send (40)	0.00000400 sec
TIME:1350582017.61818290:	Transmitter data send (41)	0.00000400 sec
TIME:1350582017.61819601:	Transmitter data send (42)	0.00000400 sec
TIME:1350582017.61820793:	Transmitter data send (43)	0.00000400 sec
TIME:1350582017.61822104:	Transmitter data send (44)	0.00000400 sec
TIME:1350582017.61823511:	Transmitter data send (47)	0.00000400 sec
TIME:1350582017.61824894:	Transmitter data send (48)	0.00000400 sec
TIME:1350582017.61826110:	Transmitter data send (49)	0.00000400 sec
TIME:1350582017.61827397:	Transmitter data send (50)	0.00000400 sec
TIME:1350582017.61828709:	Transmitter data send (51)	0.00000400 sec
TIME:1350582017.61829996:	Transmitter data send (52)	0.00000400 sec
TIME:1350582017.61831188:	Transmitter data send (53)	0.00000400 sec
TIME:1350582017.61832500:	Transmitter data send (54)	0.00000400 sec
TIME:1350582017.61833811:	Transmitter data send (55)	0.00000400 sec
TIME:1350582017.61835098:	Transmitter data send (56)	0.00000400 sec
TIME:1350582017.61836290:	Transmitter data send (57)	0.00000500 sec
TIME:1350582017.61837602:	Transmitter data send (58)	0.00000500 sec
TIME:1350582017.61838698:	Transmitter data send (59)	0.00000400 sec
TIME:1350582017.61841011:	Transmitter data send (30)	0.00000500 sec
TIME:1350582017.61842394:	Transmitter data send (28)	0.00000400 sec
TIME:1350582017.61843610:	Transmitter data send (29)	0.00000400 sec
TIME:1350582017.61844707:	Transmitter data send (31)	0.00000400 sec
TIME:1350582017.61847305:	Transmitter data send (45)	0.00000400 sec
TIME:1350582017.61848593:	Transmitter data send (46)	0.00000400 sec
TIME:1350582017.61849904:	Transmitter data send (60)	0.00000400 sec
TIME:1350582017.61851192:	Transmitter data send (61)	0.00000400 sec
TIME:1350582017.61852694:	Transmitter data send (62)	0.00000400 sec
TIME:1350582017.61854005:	Transmitter data send (63)	0.00000500 sec
TIME:1350582026.88166404:	Calculation and result dump (22)	9.26366400 sec
TIME:1350582026.88167906:	Transmitter data send (22)	0.00000500 sec
TIME:1350582026.88381696:	Calculation and result dump (36)	9.26569300 sec
TIME:1350582026.88383007:	Transmitter data send (36)	0.00000400 sec
TIME:1350582026.88585591:	Calculation and result dump (48)	9.26760300 sec
TIME:1350582026.88586903:	Transmitter data send (48)	0.00000500 sec
TIME:1350582026.88816595:	Calculation and result dump (62)	9.26963400 sec
TIME:1350582026.88817906:	Transmitter data send (62)	0.00000400 sec
TIME:1350582026.89568305:	Calculation and result dump (12)	9.27780900 sec
TIME:1350582026.89569592:	Transmitter data send (12)	0.00000500 sec
TIME:1350582026.89842200:	Calculation and result dump (58)	9.28004200 sec
TIME:1350582026.89843512:	Transmitter data send (58)	0.00000400 sec
TIME:1350582026.90054703:	Calculation and result dump (2)	9.28279900 sec
