Number of processors:	16
Transmitters per processor:	128
Processes per node:	4
TIME:1350631216.62593794:	Read input data	12.64456600 sec
Spawning 16 workers to process 2048 transmitters ...
TIME:1350631218.06051898:	Dynamic process spawning	1.43455600 sec
TIME:1350631260.46650410:	Common data distribution	42.40483100 sec
TIME:1350631260.46657300:	Transmitter data send (0)	0.00000700 sec
TIME:1350631260.46702504:	Transmitter data send (3)	0.00000400 sec
TIME:1350631260.46703911:	Transmitter data send (1)	0.00000400 sec
TIME:1350631260.46705008:	Transmitter data send (2)	0.00000400 sec
TIME:1350631260.46706295:	Transmitter data send (4)	0.00000400 sec
TIME:1350631260.46707511:	Transmitter data send (5)	0.00000400 sec
TIME:1350631260.46708894:	Transmitter data send (6)	0.00000500 sec
TIME:1350631260.46710110:	Transmitter data send (7)	0.00000500 sec
TIME:1350631260.46711493:	Transmitter data send (8)	0.00000500 sec
TIME:1350631260.46713209:	Transmitter data send (9)	0.00000400 sec
TIME:1350631260.46714592:	Transmitter data send (10)	0.00000500 sec
TIME:1350631260.46715808:	Transmitter data send (11)	0.00000500 sec
TIME:1350631260.46717691:	Transmitter data send (12)	0.00001000 sec
TIME:1350631260.46719003:	Transmitter data send (13)	0.00000500 sec
TIME:1350631260.46721196:	Transmitter data send (14)	0.00001300 sec
TIME:1350631260.46723104:	Transmitter data send (15)	0.00000400 sec
TIME:1350631269.74671102:	Calculation and result dump (8)	9.27959200 sec
TIME:1350631269.74672794:	Transmitter data send (8)	0.00000500 sec
TIME:1350631270.56214309:	Calculation and result dump (4)	10.09507500 sec
TIME:1350631270.56215692:	Transmitter data send (4)	0.00000500 sec
TIME:1350631270.57143307:	Calculation and result dump (1)	10.10439000 sec
TIME:1350631270.57144690:	Transmitter data send (1)	0.00000500 sec
TIME:1350631270.57228589:	Calculation and result dump (2)	10.10523200 sec
TIME:1350631270.57229996:	Transmitter data send (2)	0.00000500 sec
TIME:1350631270.57442999:	Calculation and result dump (12)	10.10724800 sec
TIME:1350631270.57444310:	Transmitter data send (12)	0.00000400 sec
TIME:1350631270.58254910:	Calculation and result dump (14)	10.11533200 sec
TIME:1350631270.58256292:	Transmitter data send (14)	0.00000500 sec
TIME:1350631270.58675408:	Calculation and result dump (13)	10.11956000 sec
TIME:1350631270.58676791:	Transmitter data send (13)	0.00000500 sec
TIME:1350631270.61764193:	Calculation and result dump (6)	10.15054900 sec
TIME:1350631270.61765599:	Transmitter data send (6)	0.00000500 sec
TIME:1350631270.62761092:	Calculation and result dump (15)	10.16037500 sec
TIME:1350631270.62762403:	Transmitter data send (15)	0.00000500 sec
TIME:1350631270.63191700:	Calculation and result dump (7)	10.16481200 sec
TIME:1350631270.63193011:	Transmitter data send (7)	0.00000400 sec
TIME:1350631270.65605092:	Calculation and result dump (5)	10.18897200 sec
TIME:1350631270.65606403:	Transmitter data send (5)	0.00000500 sec
TIME:1350631270.89248490:	Calculation and result dump (11)	10.42532300 sec
TIME:1350631270.89249897:	Transmitter data send (11)	0.00000500 sec
TIME:1350631270.89432693:	Calculation and result dump (3)	10.42729600 sec
