Number of processors:	8
Transmitters per processor:	128
Processes per node:	4
TIME:1350601048.62752199:	Calculation and result dump (4)	8.15304200 sec
TIME:1350601048.62753606:	Transmitter data send (4)	0.00000400 sec
TIME:1350601049.90689611:	Calculation and result dump (1)	8.23051100 sec
TIME:1350601049.90690899:	Transmitter data send (1)	0.00000400 sec
TIME:1350601049.96794105:	Calculation and result dump (0)	7.86572000 sec
TIME:1350601049.96795511:	Transmitter data send (0)	0.00000400 sec
TIME:1350601050.20758891:	Calculation and result dump (2)	8.21847000 sec
TIME:1350601050.20760107:	Transmitter data send (2)	0.00000400 sec
TIME:1350601050.27942395:	Calculation and result dump (3)	8.22327900 sec
TIME:1350601050.27943707:	Transmitter data send (3)	0.00000400 sec
TIME:1350601050.49737191:	Calculation and result dump (7)	8.21996200 sec
TIME:1350601050.49738503:	Transmitter data send (7)	0.00000400 sec
TIME:1350601050.64254403:	Calculation and result dump (5)	8.24050800 sec
TIME:1350601050.64255691:	Transmitter data send (5)	0.00000400 sec
TIME:1350601051.23180604:	Calculation and result dump (6)	8.27836500 sec
TIME:1350601051.23181891:	Transmitter data send (6)	0.00000400 sec
TIME:1350601056.78617191:	Calculation and result dump (4)	8.15863200 sec
TIME:1350601056.78618598:	Transmitter data send (4)	0.00000500 sec
TIME:1350601058.14554000:	Calculation and result dump (1)	8.23862700 sec
TIME:1350601058.14555407:	Transmitter data send (1)	0.00000400 sec
TIME:1350601058.20731306:	Calculation and result dump (0)	8.23935400 sec
TIME:1350601058.20732594:	Transmitter data send (0)	0.00000400 sec
TIME:1350601058.42530489:	Calculation and result dump (2)	8.21770000 sec
TIME:1350601058.42531896:	Transmitter data send (2)	0.00000500 sec
TIME:1350601058.49448705:	Calculation and result dump (5)	7.85192600 sec
TIME:1350601058.49449992:	Transmitter data send (5)	0.00000500 sec
TIME:1350601058.49899292:	Calculation and result dump (3)	8.21955200 sec
TIME:1350601058.49900603:	Transmitter data send (3)	0.00000400 sec
TIME:1350601058.71750212:	Calculation and result dump (7)	8.22011300 sec
TIME:1350601058.71751499:	Transmitter data send (7)	0.00000500 sec
TIME:1350601059.48112607:	Calculation and result dump (6)	8.24930300 sec
TIME:1350601059.48113990:	Transmitter data send (6)	0.00000500 sec
TIME:1350601064.96195602:	Calculation and result dump (4)	8.17576500 sec
TIME:1350601064.96197009:	Transmitter data send (4)	0.00000400 sec
TIME:1350601066.39957094:	Calculation and result dump (1)	8.25401200 sec
TIME:1350601066.39958405:	Transmitter data send (1)	0.00000400 sec
TIME:1350601066.44707608:	Calculation and result dump (0)	8.23974500 sec
