Number of processors:	2
Transmitters per processor:	1024
Processes per node:	2
TIME:1350652361.55943108:	Read input data	12.70019200 sec
Spawning 2 workers to process 2048 transmitters ...
TIME:1350652362.96671104:	Dynamic process spawning	1.40725200 sec
TIME:1350652381.69988108:	Common data distribution	18.73279200 sec
TIME:1350652381.69994402:	Transmitter data send (0)	0.00000600 sec
TIME:1350652381.70010304:	Transmitter data send (1)	0.00000400 sec
TIME:1350652390.67764711:	Calculation and result dump (1)	8.97753800 sec
TIME:1350652390.67766190:	Transmitter data send (1)	0.00000400 sec
TIME:1350652391.09671211:	Calculation and result dump (0)	9.39675800 sec
TIME:1350652391.09672499:	Transmitter data send (0)	0.00000400 sec
TIME:1350652397.75805306:	Calculation and result dump (1)	7.08038600 sec
TIME:1350652397.75806594:	Transmitter data send (1)	0.00000400 sec
TIME:1350652398.17148209:	Calculation and result dump (0)	7.07475200 sec
TIME:1350652398.17149496:	Transmitter data send (0)	0.00000400 sec
TIME:1350652404.83670592:	Calculation and result dump (1)	7.07863500 sec
TIME:1350652404.83671999:	Transmitter data send (1)	0.00000500 sec
TIME:1350652405.23427010:	Calculation and result dump (0)	7.06277000 sec
TIME:1350652405.23428202:	Transmitter data send (0)	0.00000400 sec
TIME:1350652411.91426110:	Calculation and result dump (1)	7.07753700 sec
TIME:1350652411.91427398:	Transmitter data send (1)	0.00000400 sec
TIME:1350652412.29587698:	Calculation and result dump (0)	7.06159100 sec
TIME:1350652412.29589009:	Transmitter data send (0)	0.00000500 sec
TIME:1350652418.67396498:	Calculation and result dump (1)	6.75968700 sec
TIME:1350652418.67397904:	Transmitter data send (1)	0.00000400 sec
TIME:1350652419.35995293:	Calculation and result dump (0)	7.06405900 sec
TIME:1350652419.35996699:	Transmitter data send (0)	0.00000500 sec
TIME:1350652425.77145100:	Calculation and result dump (1)	7.09746800 sec
TIME:1350652425.77146411:	Transmitter data send (1)	0.00000400 sec
TIME:1350652426.44983602:	Calculation and result dump (0)	7.08986500 sec
TIME:1350652426.44984889:	Transmitter data send (0)	0.00000400 sec
TIME:1350652432.85712409:	Calculation and result dump (1)	7.08565600 sec
TIME:1350652432.85713792:	Transmitter data send (1)	0.00000500 sec
TIME:1350652433.52363491:	Calculation and result dump (0)	7.07378200 sec
TIME:1350652433.52364898:	Transmitter data send (0)	0.00000500 sec
TIME:1350652439.93818903:	Calculation and result dump (1)	7.08104700 sec
