Number of processors:	32
Transmitters per processor:	2
Processes per node:	4
TIME:1350883436.57259107:	Read input data	8.80061400 sec
Spawning 32 workers to process 64 transmitters ...
TIME:1350883438.06253505:	Dynamic process spawning	1.48991400 sec
TIME:1350883482.08472300:	Common data distribution	44.02159600 sec
TIME:1350883482.08480406:	Transmitter data send (0)	0.00000600 sec
TIME:1350883482.08558297:	Transmitter data send (3)	0.00000600 sec
TIME:1350883482.08562303:	Transmitter data send (1)	0.00000500 sec
TIME:1350883482.08563590:	Transmitter data send (2)	0.00000500 sec
TIME:1350883482.08564997:	Transmitter data send (4)	0.00000500 sec
TIME:1350883482.08566189:	Transmitter data send (5)	0.00000400 sec
TIME:1350883482.08567500:	Transmitter data send (6)	0.00000400 sec
TIME:1350883482.08569193:	Transmitter data send (7)	0.00001000 sec
TIME:1350883482.08570600:	Transmitter data send (8)	0.00000500 sec
TIME:1350883482.08571696:	Transmitter data send (9)	0.00000400 sec
TIME:1350883482.08572888:	Transmitter data send (10)	0.00000400 sec
TIME:1350883482.08574700:	Transmitter data send (11)	0.00000500 sec
TIME:1350883482.08576012:	Transmitter data send (16)	0.00000400 sec
TIME:1350883482.08577204:	Transmitter data send (17)	0.00000400 sec
TIME:1350883482.08578992:	Transmitter data send (18)	0.00001000 sec
TIME:1350883482.08580303:	Transmitter data send (19)	0.00000400 sec
TIME:1350883482.08581710:	Transmitter data send (20)	0.00000400 sec
TIME:1350883482.08582902:	Transmitter data send (21)	0.00000400 sec
TIME:1350883482.08584905:	Transmitter data send (22)	0.00000400 sec
TIME:1350883482.08586097:	Transmitter data send (23)	0.00000400 sec
TIME:1350883482.08587408:	Transmitter data send (24)	0.00000400 sec
TIME:1350883482.08589101:	Transmitter data send (25)	0.00001000 sec
TIME:1350883482.08590508:	Transmitter data send (26)	0.00000400 sec
TIME:1350883482.08591700:	Transmitter data send (27)	0.00000400 sec
TIME:1350883482.08594489:	Transmitter data send (14)	0.00001300 sec
TIME:1350883482.08595991:	Transmitter data send (12)	0.00000500 sec
TIME:1350883482.08597112:	Transmitter data send (13)	0.00000400 sec
TIME:1350883482.08598208:	Transmitter data send (15)	0.00000400 sec
TIME:1350883482.08600307:	Transmitter data send (28)	0.00000400 sec
TIME:1350883482.08601499:	Transmitter data send (29)	0.00000400 sec
TIME:1350883482.08602810:	Transmitter data send (30)	0.00000400 sec
TIME:1350883482.08604693:	Transmitter data send (31)	0.00000400 sec
TIME:1350883491.35894489:	Calculation and result dump (18)	9.27315000 sec
TIME:1350883491.35895991:	Transmitter data send (18)	0.00000500 sec
TIME:1350883491.36039591:	Calculation and result dump (4)	9.27474200 sec
TIME:1350883491.36040902:	Transmitter data send (4)	0.00000500 sec
TIME:1350883491.37259293:	Calculation and result dump (14)	9.28664300 sec
TIME:1350883491.37260604:	Transmitter data send (14)	0.00000400 sec
TIME:1350883492.17763901:	Calculation and result dump (8)	10.09192900 sec
TIME:1350883492.17765188:	Transmitter data send (8)	0.00000400 sec
TIME:1350883492.17866993:	Calculation and result dump (28)	10.09266200 sec
TIME:1350883492.17868304:	Transmitter data send (28)	0.00000500 sec
TIME:1350883492.17896199:	Calculation and result dump (30)	10.09293000 sec
TIME:1350883492.17897391:	Transmitter data send (30)	0.00000500 sec
TIME:1350883492.19068503:	Calculation and result dump (9)	10.10496400 sec
TIME:1350883492.19069791:	Transmitter data send (9)	0.00000400 sec
TIME:1350883492.19183707:	Calculation and result dump (24)	10.10595900 sec
TIME:1350883492.19184995:	Transmitter data send (24)	0.00000400 sec
TIME:1350883492.19350910:	Calculation and result dump (22)	10.10765500 sec
TIME:1350883492.19352198:	Transmitter data send (22)	0.00000400 sec
TIME:1350883492.19756794:	Calculation and result dump (10)	10.11183500 sec
TIME:1350883492.19758105:	Transmitter data send (10)	0.00000400 sec
TIME:1350883492.20597410:	Calculation and result dump (23)	10.12010900 sec
TIME:1350883492.20598698:	Transmitter data send (23)	0.00000400 sec
TIME:1350883492.20624208:	Calculation and result dump (0)	10.12143200 sec
TIME:1350883492.20625401:	Transmitter data send (0)	0.00000300 sec
TIME:1350883492.22145391:	Calculation and result dump (29)	10.13543500 sec
TIME:1350883492.22146797:	Transmitter data send (29)	0.00000500 sec
TIME:1350883492.23449802:	Calculation and result dump (17)	10.14872200 sec
TIME:1350883492.23450994:	Transmitter data send (17)	0.00000400 sec
TIME:1350883492.23600006:	Calculation and result dump (1)	10.15037300 sec
TIME:1350883492.23601198:	Transmitter data send (1)	0.00000400 sec
TIME:1350883492.23970509:	Calculation and result dump (2)	10.15406500 sec
TIME:1350883492.23971796:	Transmitter data send (2)	0.00000400 sec
TIME:1350883492.23992300:	Calculation and result dump (3)	10.15431100 sec
TIME:1350883492.23993492:	Transmitter data send (3)	0.00000400 sec
TIME:1350883492.24021411:	Calculation and result dump (27)	10.15429300 sec
TIME:1350883492.24022698:	Transmitter data send (27)	0.00000500 sec
TIME:1350883492.24023104:	Calculation and result dump (16)	10.15446700 sec
