Number of processors:	8
Transmitters per processor:	16
Processes per node:	4
TIME:1350569816.22090292:	Read input data	8.96143700 sec
Spawning 8 workers to process 128 transmitters ...
TIME:1350569817.63705301:	Dynamic process spawning	1.41612200 sec
TIME:1350569855.78584290:	Common data distribution	38.14480600 sec
TIME:1350569855.78593302:	Transmitter data send (0)	0.00000700 sec
TIME:1350569855.78626895:	Transmitter data send (4)	0.00000500 sec
TIME:1350569855.78628302:	Transmitter data send (1)	0.00000400 sec
TIME:1350569855.78629589:	Transmitter data send (2)	0.00000400 sec
TIME:1350569855.78630805:	Transmitter data send (3)	0.00000400 sec
TIME:1350569855.78631997:	Transmitter data send (5)	0.00000400 sec
TIME:1350569855.78633404:	Transmitter data send (6)	0.00000500 sec
TIME:1350569855.78634596:	Transmitter data send (7)	0.00000400 sec
TIME:1350569865.88450599:	Calculation and result dump (1)	10.09821900 sec
TIME:1350569865.88452196:	Transmitter data send (1)	0.00000500 sec
TIME:1350569865.88653398:	Calculation and result dump (3)	10.10022200 sec
TIME:1350569865.88654804:	Transmitter data send (3)	0.00000500 sec
TIME:1350569865.90482211:	Calculation and result dump (2)	10.11852200 sec
TIME:1350569865.90483594:	Transmitter data send (2)	0.00000500 sec
TIME:1350569865.92971492:	Calculation and result dump (7)	10.14336400 sec
TIME:1350569865.92972898:	Transmitter data send (7)	0.00000500 sec
TIME:1350569865.94343901:	Calculation and result dump (6)	10.15710100 sec
TIME:1350569865.94345188:	Transmitter data send (6)	0.00000400 sec
TIME:1350569865.95217204:	Calculation and result dump (5)	10.16584800 sec
TIME:1350569865.95218492:	Transmitter data send (5)	0.00000400 sec
TIME:1350569866.21138811:	Calculation and result dump (4)	10.42511300 sec
TIME:1350569866.21140099:	Transmitter data send (4)	0.00000400 sec
TIME:1350569866.74425793:	Calculation and result dump (0)	10.95832000 sec
TIME:1350569866.74427104:	Transmitter data send (0)	0.00000400 sec
TIME:1350569873.74564600:	Calculation and result dump (1)	7.86112000 sec
TIME:1350569873.74566007:	Transmitter data send (1)	0.00000400 sec
TIME:1350569874.11811805:	Calculation and result dump (3)	8.23156600 sec
TIME:1350569874.11813092:	Transmitter data send (3)	0.00000400 sec
TIME:1350569874.16505504:	Calculation and result dump (2)	8.26021500 sec
TIME:1350569874.16506791:	Transmitter data send (2)	0.00000400 sec
TIME:1350569874.18027306:	Calculation and result dump (6)	8.23681600 sec
TIME:1350569874.18028498:	Transmitter data send (6)	0.00000400 sec
TIME:1350569874.18101501:	Calculation and result dump (7)	8.25128200 sec
TIME:1350569874.18102503:	Transmitter data send (7)	0.00000300 sec
TIME:1350569874.20345402:	Calculation and result dump (5)	8.25126500 sec
TIME:1350569874.20346594:	Transmitter data send (5)	0.00000400 sec
