Number of processors:	4
Transmitters per processor:	256
Processes per node:	4
TIME:1350604203.13416505:	Read input data	10.69204200 sec
Spawning 4 workers to process 1024 transmitters ...
TIME:1350604204.54036999:	Dynamic process spawning	1.40618200 sec
TIME:1350604224.45554209:	Common data distribution	19.91480300 sec
TIME:1350604224.45561790:	Transmitter data send (0)	0.00000600 sec
TIME:1350604224.45581603:	Transmitter data send (3)	0.00000500 sec
TIME:1350604224.45582795:	Transmitter data send (1)	0.00000300 sec
TIME:1350604224.45583892:	Transmitter data send (2)	0.00000300 sec
TIME:1350604234.54289198:	Calculation and result dump (0)	10.08726800 sec
TIME:1350604234.54290795:	Transmitter data send (0)	0.00000500 sec
TIME:1350604234.60759497:	Calculation and result dump (1)	10.15176300 sec
TIME:1350604234.60760903:	Transmitter data send (1)	0.00000500 sec
TIME:1350604234.63786888:	Calculation and result dump (3)	10.18204800 sec
TIME:1350604234.63788199:	Transmitter data send (3)	0.00000400 sec
TIME:1350604234.65050006:	Calculation and result dump (2)	10.19465700 sec
TIME:1350604234.65051293:	Transmitter data send (2)	0.00000400 sec
TIME:1350604242.39364290:	Calculation and result dump (0)	7.85073100 sec
TIME:1350604242.39365697:	Transmitter data send (0)	0.00000500 sec
TIME:1350604242.83562303:	Calculation and result dump (1)	8.22801000 sec
TIME:1350604242.83563590:	Transmitter data send (1)	0.00000400 sec
TIME:1350604242.90544391:	Calculation and result dump (2)	8.25492700 sec
TIME:1350604242.90545607:	Transmitter data send (2)	0.00000400 sec
TIME:1350604242.90812802:	Calculation and result dump (3)	8.27024200 sec
TIME:1350604242.90813994:	Transmitter data send (3)	0.00000400 sec
TIME:1350604250.61259198:	Calculation and result dump (0)	8.21893000 sec
TIME:1350604250.61260509:	Transmitter data send (0)	0.00000400 sec
TIME:1350604251.06772304:	Calculation and result dump (1)	8.23208300 sec
TIME:1350604251.06773591:	Transmitter data send (1)	0.00000500 sec
TIME:1350604251.12338805:	Calculation and result dump (2)	8.21792800 sec
TIME:1350604251.12339997:	Transmitter data send (2)	0.00000400 sec
