Number of processors:	8
Transmitters per processor:	256
Processes per node:	4
TIME:1350634484.25462604:	Read input data	12.71313500 sec
Spawning 8 workers to process 2048 transmitters ...
TIME:1350634485.67785811:	Dynamic process spawning	1.42320600 sec
TIME:1350634523.82031202:	Common data distribution	38.14209200 sec
TIME:1350634523.82039094:	Transmitter data send (0)	0.00000600 sec
TIME:1350634523.82072902:	Transmitter data send (4)	0.00000500 sec
TIME:1350634523.82074189:	Transmitter data send (1)	0.00000400 sec
TIME:1350634523.82075500:	Transmitter data send (2)	0.00000400 sec
TIME:1350634523.82076597:	Transmitter data send (3)	0.00000300 sec
TIME:1350634523.82077789:	Transmitter data send (5)	0.00000400 sec
TIME:1350634523.82079101:	Transmitter data send (6)	0.00000400 sec
TIME:1350634523.82080412:	Transmitter data send (7)	0.00000500 sec
TIME:1350634533.91913795:	Calculation and result dump (3)	10.09836800 sec
TIME:1350634533.91915393:	Transmitter data send (3)	0.00000500 sec
TIME:1350634533.92254710:	Calculation and result dump (2)	10.10178800 sec
TIME:1350634533.92256093:	Transmitter data send (2)	0.00000500 sec
TIME:1350634533.92469907:	Calculation and result dump (1)	10.10395300 sec
TIME:1350634533.92471194:	Transmitter data send (1)	0.00000400 sec
TIME:1350634533.97469592:	Calculation and result dump (7)	10.15388800 sec
TIME:1350634533.97470903:	Transmitter data send (7)	0.00000400 sec
TIME:1350634533.97518611:	Calculation and result dump (5)	10.15440400 sec
TIME:1350634533.97519803:	Transmitter data send (5)	0.00000400 sec
TIME:1350634533.97861195:	Calculation and result dump (6)	10.15781700 sec
TIME:1350634533.97862506:	Transmitter data send (6)	0.00000500 sec
TIME:1350634534.24814105:	Calculation and result dump (4)	10.42740600 sec
TIME:1350634534.24815392:	Transmitter data send (4)	0.00000500 sec
TIME:1350634534.80495811:	Calculation and result dump (0)	10.98456200 sec
TIME:1350634534.80497098:	Transmitter data send (0)	0.00000400 sec
TIME:1350634541.78231311:	Calculation and result dump (3)	7.86315500 sec
TIME:1350634541.78232694:	Transmitter data send (3)	0.00000400 sec
TIME:1350634542.14485502:	Calculation and result dump (2)	8.22229000 sec
TIME:1350634542.14486694:	Transmitter data send (2)	0.00000400 sec
TIME:1350634542.17740607:	Calculation and result dump (1)	8.25269000 sec
TIME:1350634542.17741799:	Transmitter data send (1)	0.00000400 sec
TIME:1350634542.20390201:	Calculation and result dump (5)	8.22869400 sec
TIME:1350634542.20391393:	Transmitter data send (5)	0.00000400 sec
TIME:1350634542.22886491:	Calculation and result dump (6)	8.25023600 sec
TIME:1350634542.22887707:	Transmitter data send (6)	0.00000400 sec
