Number of processors:	64
Transmitters per processor:	4
Processes per node:	4
TIME:1350573738.44493389:	Read input data	9.21612900 sec
Spawning 64 workers to process 256 transmitters ...
TIME:1350573739.99361110:	Dynamic process spawning	1.54864800 sec
TIME:1350573784.14392710:	Common data distribution	44.14964900 sec
TIME:1350573784.14401102:	Transmitter data send (0)	0.00000600 sec
TIME:1350573784.14549494:	Transmitter data send (3)	0.00000500 sec
TIME:1350573784.14551306:	Transmitter data send (1)	0.00000500 sec
TIME:1350573784.14552498:	Transmitter data send (2)	0.00000500 sec
TIME:1350573784.14553809:	Transmitter data send (4)	0.00000400 sec
TIME:1350573784.14554906:	Transmitter data send (5)	0.00000300 sec
TIME:1350573784.14556193:	Transmitter data send (6)	0.00000400 sec
TIME:1350573784.14557409:	Transmitter data send (7)	0.00000400 sec
TIME:1350573784.14558697:	Transmitter data send (8)	0.00000400 sec
TIME:1350573784.14560294:	Transmitter data send (9)	0.00000400 sec
TIME:1350573784.14561605:	Transmitter data send (10)	0.00000400 sec
TIME:1350573784.14562798:	Transmitter data send (11)	0.00000400 sec
TIME:1350573784.14564109:	Transmitter data send (12)	0.00000500 sec
TIME:1350573784.14565897:	Transmitter data send (13)	0.00000400 sec
TIME:1350573784.14567208:	Transmitter data send (14)	0.00000400 sec
TIME:1350573784.14568496:	Transmitter data send (15)	0.00000500 sec
TIME:1350573784.14570403:	Transmitter data send (16)	0.00000500 sec
TIME:1350573784.14571595:	Transmitter data send (17)	0.00000400 sec
TIME:1350573784.14573002:	Transmitter data send (18)	0.00000500 sec
TIME:1350573784.14574194:	Transmitter data send (19)	0.00000500 sec
TIME:1350573784.14576292:	Transmitter data send (20)	0.00000400 sec
TIME:1350573784.14577508:	Transmitter data send (21)	0.00000400 sec
TIME:1350573784.14578700:	Transmitter data send (22)	0.00000400 sec
TIME:1350573784.14580607:	Transmitter data send (23)	0.00000400 sec
TIME:1350573784.14581895:	Transmitter data send (24)	0.00000400 sec
TIME:1350573784.14583111:	Transmitter data send (25)	0.00000400 sec
TIME:1350573784.14584994:	Transmitter data send (26)	0.00001000 sec
TIME:1350573784.14586306:	Transmitter data send (27)	0.00000500 sec
TIME:1350573784.14587593:	Transmitter data send (28)	0.00000400 sec
TIME:1350573784.14588690:	Transmitter data send (29)	0.00000400 sec
TIME:1350573784.14590907:	Transmitter data send (30)	0.00000400 sec
TIME:1350573784.14592195:	Transmitter data send (31)	0.00000400 sec
TIME:1350573784.14593410:	Transmitter data send (32)	0.00000400 sec
TIME:1350573784.14595199:	Transmitter data send (33)	0.00001000 sec
TIME:1350573784.14596510:	Transmitter data send (34)	0.00000400 sec
TIME:1350573784.14597607:	Transmitter data send (35)	0.00000300 sec
TIME:1350573784.14598989:	Transmitter data send (36)	0.00000500 sec
TIME:1350573784.14600801:	Transmitter data send (37)	0.00000400 sec
TIME:1350573784.14602089:	Transmitter data send (38)	0.00000400 sec
TIME:1350573784.14603400:	Transmitter data send (39)	0.00000400 sec
TIME:1350573784.14605594:	Transmitter data send (40)	0.00001400 sec
TIME:1350573784.14606810:	Transmitter data send (41)	0.00000400 sec
TIME:1350573784.14608097:	Transmitter data send (42)	0.00000400 sec
TIME:1350573784.14609790:	Transmitter data send (43)	0.00000900 sec
TIME:1350573784.14611197:	Transmitter data send (44)	0.00000500 sec
TIME:1350573784.14612293:	Transmitter data send (45)	0.00000400 sec
TIME:1350573784.14613700:	Transmitter data send (46)	0.00000400 sec
TIME:1350573784.14615393:	Transmitter data send (47)	0.00000400 sec
TIME:1350573784.14617300:	Transmitter data send (48)	0.00000600 sec
TIME:1350573784.14618397:	Transmitter data send (49)	0.00000400 sec
TIME:1350573784.14622307:	Transmitter data send (50)	0.00000500 sec
TIME:1350573784.14623594:	Transmitter data send (51)	0.00000400 sec
TIME:1350573784.14625406:	Transmitter data send (52)	0.00000400 sec
TIME:1350573784.14626598:	Transmitter data send (53)	0.00000400 sec
TIME:1350573784.14627910:	Transmitter data send (54)	0.00000400 sec
TIME:1350573784.14629102:	Transmitter data send (55)	0.00000400 sec
TIME:1350573784.14631200:	Transmitter data send (56)	0.00000400 sec
TIME:1350573784.14632297:	Transmitter data send (57)	0.00000300 sec
TIME:1350573784.14633608:	Transmitter data send (58)	0.00000400 sec
TIME:1350573784.14635897:	Transmitter data send (59)	0.00000500 sec
TIME:1350573784.14637208:	Transmitter data send (60)	0.00000400 sec
TIME:1350573784.14638305:	Transmitter data send (61)	0.00000300 sec
TIME:1350573784.14640307:	Transmitter data send (62)	0.00000500 sec
TIME:1350573784.14641500:	Transmitter data send (63)	0.00000400 sec
TIME:1350573793.38021493:	Calculation and result dump (56)	9.23389900 sec
TIME:1350573793.38023210:	Transmitter data send (56)	0.00000500 sec
TIME:1350573793.40687490:	Calculation and result dump (26)	9.26102000 sec
TIME:1350573793.40688801:	Transmitter data send (26)	0.00000400 sec
TIME:1350573793.41153097:	Calculation and result dump (16)	9.26582300 sec
TIME:1350573793.41154408:	Transmitter data send (16)	0.00000500 sec
TIME:1350573793.41747689:	Calculation and result dump (6)	9.27191000 sec
TIME:1350573793.41749001:	Transmitter data send (6)	0.00000400 sec
TIME:1350573793.43043709:	Calculation and result dump (36)	9.28443700 sec
TIME:1350573793.43044901:	Transmitter data send (36)	0.00000400 sec
TIME:1350573793.43318796:	Calculation and result dump (46)	9.28704700 sec
TIME:1350573793.43320608:	Transmitter data send (46)	0.00000900 sec
TIME:1350573794.23524690:	Calculation and result dump (22)	10.08945600 sec
TIME:1350573794.23526001:	Transmitter data send (22)	0.00000400 sec
TIME:1350573794.23648691:	Calculation and result dump (10)	10.09086700 sec
TIME:1350573794.23650002:	Transmitter data send (10)	0.00000500 sec
TIME:1350573794.23887396:	Calculation and result dump (60)	10.09249800 sec
