Number of processors:	1
Transmitters per processor:	128
Processes per node:	1
TIME:1350571746.25001097:	Read input data	8.95759800 sec
Spawning 1 workers to process 128 transmitters ...
TIME:1350571746.64945889:	Dynamic process spawning	0.39941900 sec
TIME:1350571764.70909595:	Common data distribution	18.05927200 sec
TIME:1350571764.70917797:	Transmitter data send (0)	0.00000600 sec
TIME:1350571773.95134091:	Calculation and result dump (0)	9.24215800 sec
TIME:1350571773.95135593:	Transmitter data send (0)	0.00000400 sec
TIME:1350571780.92797399:	Calculation and result dump (0)	6.97661400 sec
TIME:1350571780.92798901:	Transmitter data send (0)	0.00000500 sec
TIME:1350571787.88019490:	Calculation and result dump (0)	6.95220200 sec
TIME:1350571787.88020992:	Transmitter data send (0)	0.00000400 sec
TIME:1350571794.84116507:	Calculation and result dump (0)	6.96095000 sec
TIME:1350571794.84117889:	Transmitter data send (0)	0.00000500 sec
TIME:1350571801.79102898:	Calculation and result dump (0)	6.94984600 sec
TIME:1350571801.79104400:	Transmitter data send (0)	0.00000500 sec
TIME:1350571808.74208498:	Calculation and result dump (0)	6.95103700 sec
TIME:1350571808.74210000:	Transmitter data send (0)	0.00000400 sec
TIME:1350571815.69317102:	Calculation and result dump (0)	6.95106700 sec
TIME:1350571815.69318604:	Transmitter data send (0)	0.00000500 sec
TIME:1350571822.64329696:	Calculation and result dump (0)	6.95010700 sec
TIME:1350571822.64331007:	Transmitter data send (0)	0.00000400 sec
TIME:1350571829.28466511:	Calculation and result dump (0)	6.64135100 sec
TIME:1350571829.28467894:	Transmitter data send (0)	0.00000500 sec
TIME:1350571836.23390388:	Calculation and result dump (0)	6.94922100 sec
TIME:1350571836.23391700:	Transmitter data send (0)	0.00000400 sec
TIME:1350571843.20156908:	Calculation and result dump (0)	6.96764800 sec
TIME:1350571843.20158291:	Transmitter data send (0)	0.00000500 sec
TIME:1350571850.17737103:	Calculation and result dump (0)	6.97578400 sec
TIME:1350571850.17738390:	Transmitter data send (0)	0.00000400 sec
TIME:1350571857.12975001:	Calculation and result dump (0)	6.95236200 sec
TIME:1350571857.12976408:	Transmitter data send (0)	0.00000400 sec
TIME:1350571864.09150004:	Calculation and result dump (0)	6.96173100 sec
TIME:1350571864.09151411:	Transmitter data send (0)	0.00000400 sec
TIME:1350571871.04213905:	Calculation and result dump (0)	6.95062000 sec
TIME:1350571871.04215407:	Transmitter data send (0)	0.00000500 sec
TIME:1350571877.99253201:	Calculation and result dump (0)	6.95037400 sec
TIME:1350571877.99254489:	Transmitter data send (0)	0.00000300 sec
TIME:1350571884.94397092:	Calculation and result dump (0)	6.95142100 sec
TIME:1350571884.94398594:	Transmitter data send (0)	0.00000500 sec
TIME:1350571891.89336991:	Calculation and result dump (0)	6.94938000 sec
TIME:1350571891.89338398:	Transmitter data send (0)	0.00000400 sec
TIME:1350571898.53517795:	Calculation and result dump (0)	6.64179000 sec
TIME:1350571898.53519201:	Transmitter data send (0)	0.00000500 sec
TIME:1350571905.48480797:	Calculation and result dump (0)	6.94961100 sec
TIME:1350571905.48482108:	Transmitter data send (0)	0.00000400 sec
TIME:1350571912.45143008:	Calculation and result dump (0)	6.96660500 sec
TIME:1350571912.45144391:	Transmitter data send (0)	0.00000500 sec
TIME:1350571919.42817998:	Calculation and result dump (0)	6.97673200 sec
TIME:1350571919.42819309:	Transmitter data send (0)	0.00000400 sec
TIME:1350571926.38052297:	Calculation and result dump (0)	6.95232500 sec
TIME:1350571926.38054109:	Transmitter data send (0)	0.00000500 sec
TIME:1350571933.34118104:	Calculation and result dump (0)	6.96063500 sec
TIME:1350571933.34119511:	Transmitter data send (0)	0.00000400 sec
TIME:1350571940.29095793:	Calculation and result dump (0)	6.94975400 sec
TIME:1350571940.29097295:	Transmitter data send (0)	0.00000500 sec
TIME:1350571947.24187708:	Calculation and result dump (0)	6.95090000 sec
TIME:1350571947.24189091:	Transmitter data send (0)	0.00000400 sec
TIME:1350571954.19290495:	Calculation and result dump (0)	6.95101000 sec
TIME:1350571954.19291902:	Transmitter data send (0)	0.00000400 sec
TIME:1350571961.14351106:	Calculation and result dump (0)	6.95058800 sec
TIME:1350571961.14352608:	Transmitter data send (0)	0.00000500 sec
TIME:1350571967.78495789:	Calculation and result dump (0)	6.64142800 sec
TIME:1350571967.78497100:	Transmitter data send (0)	0.00000400 sec
TIME:1350571974.73554111:	Calculation and result dump (0)	6.95056600 sec
TIME:1350571974.73555493:	Transmitter data send (0)	0.00000500 sec
TIME:1350571981.70221591:	Calculation and result dump (0)	6.96665700 sec
TIME:1350571981.70223188:	Transmitter data send (0)	0.00000500 sec
TIME:1350571988.67765903:	Calculation and result dump (0)	6.97542300 sec
TIME:1350571988.67767501:	Transmitter data send (0)	0.00000500 sec
TIME:1350571995.62989998:	Calculation and result dump (0)	6.95222100 sec
TIME:1350571995.62991405:	Transmitter data send (0)	0.00000400 sec
TIME:1350572002.59079504:	Calculation and result dump (0)	6.96087700 sec
TIME:1350572002.59080911:	Transmitter data send (0)	0.00000500 sec
TIME:1350572009.54119706:	Calculation and result dump (0)	6.95038400 sec
TIME:1350572009.54121208:	Transmitter data send (0)	0.00000400 sec
TIME:1350572016.49222302:	Calculation and result dump (0)	6.95100700 sec
TIME:1350572016.49223709:	Transmitter data send (0)	0.00000500 sec
TIME:1350572023.44370294:	Calculation and result dump (0)	6.95146200 sec
TIME:1350572023.44371700:	Transmitter data send (0)	0.00000400 sec
TIME:1350572030.39456296:	Calculation and result dump (0)	6.95084200 sec
TIME:1350572030.39457703:	Transmitter data send (0)	0.00000400 sec
TIME:1350572037.03664494:	Calculation and result dump (0)	6.64206300 sec
TIME:1350572037.03665805:	Transmitter data send (0)	0.00000400 sec
TIME:1350572043.98608708:	Calculation and result dump (0)	6.94942400 sec
TIME:1350572043.98610210:	Transmitter data send (0)	0.00000500 sec
TIME:1350572050.95264602:	Calculation and result dump (0)	6.96654000 sec
TIME:1350572050.95266008:	Transmitter data send (0)	0.00000400 sec
TIME:1350572057.92870307:	Calculation and result dump (0)	6.97603900 sec
TIME:1350572057.92871690:	Transmitter data send (0)	0.00000400 sec
TIME:1350572064.88169503:	Calculation and result dump (0)	6.95297300 sec
TIME:1350572064.88170910:	Transmitter data send (0)	0.00000400 sec
TIME:1350572071.84282589:	Calculation and result dump (0)	6.96111300 sec
TIME:1350572071.84283996:	Transmitter data send (0)	0.00000400 sec
TIME:1350572078.79339790:	Calculation and result dump (0)	6.95055300 sec
TIME:1350572078.79341197:	Transmitter data send (0)	0.00000500 sec
TIME:1350572085.74405599:	Calculation and result dump (0)	6.95064000 sec
TIME:1350572085.74407005:	Transmitter data send (0)	0.00000500 sec
TIME:1350572092.69508195:	Calculation and result dump (0)	6.95100800 sec
TIME:1350572092.69509602:	Transmitter data send (0)	0.00000400 sec
TIME:1350572099.64462709:	Calculation and result dump (0)	6.94952700 sec
TIME:1350572099.64464092:	Transmitter data send (0)	0.00000400 sec
TIME:1350572106.28597903:	Calculation and result dump (0)	6.64133400 sec
TIME:1350572106.28599596:	Transmitter data send (0)	0.00000600 sec
TIME:1350572113.23545694:	Calculation and result dump (0)	6.94945600 sec
TIME:1350572113.23547101:	Transmitter data send (0)	0.00000400 sec
TIME:1350572120.20242310:	Calculation and result dump (0)	6.96694800 sec
TIME:1350572120.20243692:	Transmitter data send (0)	0.00000500 sec
TIME:1350572127.17897606:	Calculation and result dump (0)	6.97653500 sec
TIME:1350572127.17898989:	Transmitter data send (0)	0.00000400 sec
TIME:1350572134.13101792:	Calculation and result dump (0)	6.95202400 sec
TIME:1350572134.13103199:	Transmitter data send (0)	0.00000500 sec
TIME:1350572141.09260297:	Calculation and result dump (0)	6.96156700 sec
TIME:1350572141.09261703:	Transmitter data send (0)	0.00000400 sec
TIME:1350572148.04267812:	Calculation and result dump (0)	6.95005700 sec
TIME:1350572148.04269195:	Transmitter data send (0)	0.00000500 sec
TIME:1350572154.99410796:	Calculation and result dump (0)	6.95141200 sec
TIME:1350572154.99412203:	Transmitter data send (0)	0.00000500 sec
TIME:1350572161.94584799:	Calculation and result dump (0)	6.95172200 sec
