Number of processors:	32
Transmitters per processor:	8
Processes per node:	4
TIME:1350574047.39234805:	Read input data	9.20080400 sec
Spawning 32 workers to process 256 transmitters ...
TIME:1350574048.86247802:	Dynamic process spawning	1.47010200 sec
TIME:1350574093.70465207:	Common data distribution	44.84157400 sec
TIME:1350574093.70469499:	Transmitter data send (0)	0.00000700 sec
TIME:1350574093.70516801:	Transmitter data send (3)	0.00000500 sec
TIME:1350574093.70518208:	Transmitter data send (1)	0.00000400 sec
TIME:1350574093.70519400:	Transmitter data send (2)	0.00000400 sec
TIME:1350574093.70520806:	Transmitter data send (4)	0.00000500 sec
TIME:1350574093.70522094:	Transmitter data send (5)	0.00000500 sec
TIME:1350574093.70523405:	Transmitter data send (6)	0.00000400 sec
TIME:1350574093.70524693:	Transmitter data send (7)	0.00000500 sec
TIME:1350574093.70526099:	Transmitter data send (8)	0.00000400 sec
TIME:1350574093.70527411:	Transmitter data send (9)	0.00000500 sec
TIME:1350574093.70528793:	Transmitter data send (10)	0.00000500 sec
TIME:1350574093.70530009:	Transmitter data send (11)	0.00000400 sec
TIME:1350574093.70531297:	Transmitter data send (12)	0.00000400 sec
TIME:1350574093.70532608:	Transmitter data send (13)	0.00000500 sec
TIME:1350574093.70533991:	Transmitter data send (14)	0.00000500 sec
TIME:1350574093.70535207:	Transmitter data send (15)	0.00000400 sec
TIME:1350574093.70536494:	Transmitter data send (16)	0.00000400 sec
TIME:1350574093.70537710:	Transmitter data send (17)	0.00000400 sec
TIME:1350574093.70539093:	Transmitter data send (18)	0.00000400 sec
TIME:1350574093.70540309:	Transmitter data send (19)	0.00000400 sec
TIME:1350574093.70542002:	Transmitter data send (20)	0.00000400 sec
TIME:1350574093.70543408:	Transmitter data send (24)	0.00000500 sec
TIME:1350574093.70544505:	Transmitter data send (25)	0.00000400 sec
TIME:1350574093.70547104:	Transmitter data send (26)	0.00000500 sec
TIME:1350574093.70548391:	Transmitter data send (27)	0.00000400 sec
TIME:1350574093.70550394:	Transmitter data send (22)	0.00000400 sec
TIME:1350574093.70551705:	Transmitter data send (21)	0.00000400 sec
TIME:1350574093.70552897:	Transmitter data send (23)	0.00000400 sec
TIME:1350574093.70554304:	Transmitter data send (28)	0.00000500 sec
TIME:1350574093.70555592:	Transmitter data send (29)	0.00000500 sec
TIME:1350574093.70556903:	Transmitter data send (30)	0.00000400 sec
TIME:1350574093.70558190:	Transmitter data send (31)	0.00000500 sec
TIME:1350574102.97025108:	Calculation and result dump (21)	9.26473000 sec
TIME:1350574102.97026491:	Transmitter data send (21)	0.00000500 sec
TIME:1350574102.97550511:	Calculation and result dump (16)	9.27013500 sec
TIME:1350574102.97551703:	Transmitter data send (16)	0.00000400 sec
TIME:1350574102.97646999:	Calculation and result dump (6)	9.27123200 sec
TIME:1350574102.97648311:	Transmitter data send (6)	0.00000500 sec
TIME:1350574103.79461408:	Calculation and result dump (25)	10.08915400 sec
TIME:1350574103.79462695:	Transmitter data send (25)	0.00000400 sec
TIME:1350574103.79520106:	Calculation and result dump (1)	10.09001400 sec
TIME:1350574103.79521298:	Transmitter data send (1)	0.00000500 sec
TIME:1350574103.80205011:	Calculation and result dump (20)	10.09662600 sec
TIME:1350574103.80206299:	Transmitter data send (20)	0.00000400 sec
TIME:1350574103.80312896:	Calculation and result dump (30)	10.09755500 sec
TIME:1350574103.80314207:	Transmitter data send (30)	0.00000400 sec
TIME:1350574103.80849910:	Calculation and result dump (0)	10.10379900 sec
TIME:1350574103.80851102:	Transmitter data send (0)	0.00000400 sec
TIME:1350574103.81262589:	Calculation and result dump (24)	10.10718800 sec
TIME:1350574103.81263804:	Transmitter data send (24)	0.00000400 sec
TIME:1350574103.81373000:	Calculation and result dump (31)	10.10814400 sec
TIME:1350574103.81374311:	Transmitter data send (31)	0.00000500 sec
TIME:1350574103.81407094:	Calculation and result dump (11)	10.10876700 sec
TIME:1350574103.81408191:	Transmitter data send (11)	0.00000400 sec
TIME:1350574103.82189298:	Calculation and result dump (3)	10.11671900 sec
TIME:1350574103.82190609:	Transmitter data send (3)	0.00000400 sec
TIME:1350574103.84593606:	Calculation and result dump (2)	10.14073800 sec
TIME:1350574103.84594893:	Transmitter data send (2)	0.00000400 sec
TIME:1350574103.85107589:	Calculation and result dump (10)	10.14578400 sec
TIME:1350574103.85108805:	Transmitter data send (10)	0.00000400 sec
TIME:1350574103.85809803:	Calculation and result dump (14)	10.15275400 sec
TIME:1350574103.85811090:	Transmitter data send (14)	0.00000500 sec
TIME:1350574103.86018896:	Calculation and result dump (4)	10.15497600 sec
TIME:1350574103.86020207:	Transmitter data send (4)	0.00000500 sec
TIME:1350574103.86315489:	Calculation and result dump (13)	10.15782400 sec
TIME:1350574103.86316800:	Transmitter data send (13)	0.00000400 sec
TIME:1350574103.86966991:	Calculation and result dump (26)	10.16419400 sec
TIME:1350574103.86968207:	Transmitter data send (26)	0.00000400 sec
TIME:1350574103.87700701:	Calculation and result dump (5)	10.17178200 sec
TIME:1350574103.87702107:	Transmitter data send (5)	0.00000600 sec
TIME:1350574103.88646197:	Calculation and result dump (22)	10.18095300 sec
TIME:1350574103.88647389:	Transmitter data send (22)	0.00000400 sec
TIME:1350574103.90071011:	Calculation and result dump (15)	10.19535400 sec
TIME:1350574103.90072298:	Transmitter data send (15)	0.00000500 sec
TIME:1350574103.92319298:	Calculation and result dump (27)	10.21770500 sec
TIME:1350574103.92320609:	Transmitter data send (27)	0.00000500 sec
TIME:1350574103.94117594:	Calculation and result dump (12)	10.23585900 sec
TIME:1350574103.94118905:	Transmitter data send (12)	0.00000400 sec
TIME:1350574104.11567497:	Calculation and result dump (19)	10.41026800 sec
TIME:1350574104.11568809:	Transmitter data send (19)	0.00000400 sec
TIME:1350574104.11580205:	Calculation and result dump (9)	10.41052400 sec
TIME:1350574104.11581302:	Transmitter data send (9)	0.00000400 sec
TIME:1350574104.12544990:	Calculation and result dump (29)	10.41989000 sec
TIME:1350574104.12546301:	Transmitter data send (29)	0.00000400 sec
TIME:1350574104.60908794:	Calculation and result dump (23)	10.90355500 sec
TIME:1350574104.60910106:	Transmitter data send (23)	0.00000400 sec
TIME:1350574104.64210606:	Calculation and result dump (18)	10.93671100 sec
TIME:1350574104.64211893:	Transmitter data send (18)	0.00000500 sec
TIME:1350574104.64651489:	Calculation and result dump (7)	10.94126400 sec
TIME:1350574104.64652705:	Transmitter data send (7)	0.00000400 sec
TIME:1350574104.64974809:	Calculation and result dump (8)	10.94448200 sec
TIME:1350574104.64976096:	Transmitter data send (8)	0.00000500 sec
TIME:1350574104.66341901:	Calculation and result dump (17)	10.95803700 sec
TIME:1350574104.66343093:	Transmitter data send (17)	0.00000400 sec
TIME:1350574104.67167902:	Calculation and result dump (28)	10.96613200 sec
